관광지,유_무료,내국인_외국인,연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,데이터기준일자
국립두타산자연휴양림,유료,내국인,2010,2831,1497,770,894,2600,2763,6024,8578,3128,3383,1595,1920,2022-10-04
국립평창청소년수련원,유료,내국인,2010,3325,3223,13914,21000,18763,20125,18442,17518,11938,21221,10471,9354,2022-10-04
대관령 양떼목장,유료,내국인,2010,29447,15370,5511,27198,65699,33472,48096,69116,28349,49100,24085,1929,2022-10-04
무이예술관,유료,내국인,2010,428,449,338,786,1887,789,2512,5095,2435,1123,603,376,2022-10-04
삼양대관령목장,유료,내국인,2010,21170,12984,5660,25293,65600,31417,51794,86598,33614,57036,22101,1677,2022-10-04
선자령,유료,내국인,2010,0,21697,8788,1341,3195,1599,1620,1651,1628,257,577,2725,2022-10-04
신세계대관령콘도,유료,내국인,2010,480,984,390,250,520,395,480,1148,170,678,348,972,2022-10-04
알펜시아리조트,유료,내국인,2010,39383,38660,9193,7659,8416,8680,40892,86747,17154,36526,11619,48588,2022-10-04
용평 리조트 숙박시설,유료,내국인,2010,485941,324807,161382,97880,144485,124404,127863,176397,124200,143243,170450,429989,2022-10-04
용평리조트 유스호스텔,유료,내국인,2010,6132,2448,792,878,1902,330,473,0,0,0,1064,2451,2022-10-04
이효석문학관,유료,내국인,2010,1943,1619,1363,4010,23063,3403,8307,16029,12939,7058,3295,1674,2022-10-04
켄싱턴플로라호텔(이랜드레져비스평창),유료,내국인,2010,7553,4949,3298,6803,7844,6980,13485,18521,7451,14547,7694,10969,2022-10-04
평창 동강민물고기생태관,유료,내국인,2010,579,439,343,627,2132,843,2333,4650,880,978,844,486,2022-10-04
평창힐링청소년수련원,유료,내국인,2010,0,3800,9400,11696,11970,9800,7300,3933,4200,3900,2332,0,2022-10-04
한국자생식물원,유료,내국인,2010,0,0,0,1345,9908,5593,8114,10454,3232,2922,0,0,2022-10-04
한국전통음식문화체험관,유료,내국인,2010,30,25,75,50,900,400,800,1140,450,700,0,0,2022-10-04
한화리조트,유료,내국인,2010,49340,32636,16704,44893,24410,40262,53860,58870,15045,13036,21360,46805,2022-10-04
허브나라,유료,내국인,2010,9244,8595,6900,19959,55462,33731,50620,81709,29766,30515,12943,6962,2022-10-04
호렙오대산청소년수련원,유료,내국인,2010,2480,1923,2685,6822,7162,6100,4807,3200,1800,3036,2658,514,2022-10-04
휘닉스파크 숙박시설,유료,내국인,2010,408339,230977,48428,32894,60633,60478,136915,185198,71299,63976,114348,276470,2022-10-04
휘닉스파크 유스호스텔,유료,내국인,2010,13944,7460,8576,10712,8528,8132,12552,11826,5272,5368,2768,12704,2022-10-04
대관령 양떼목장,유료,외국인,2010,449,186,80,415,790,407,585,839,344,590,300,23,2022-10-04
알펜시아리조트,유료,외국인,2010,11337,3516,2369,2750,2000,2508,4008,4280,964,4976,3090,15033,2022-10-04
용평 리조트 숙박시설,유료,외국인,2010,17953,16192,6845,3869,3210,3218,2621,3015,2958,5024,6414,18979,2022-10-04
용평리조트 유스호스텔,유료,외국인,2010,383,694,0,0,0,0,0,0,0,0,0,600,2022-10-04
켄싱턴플로라호텔(이랜드레져비스평창),유료,외국인,2010,424,272,176,382,441,395,774,1071,413,837,437,413,2022-10-04
한국자생식물원,유료,외국인,2010,0,0,0,5,56,21,42,82,72,77,0,0,2022-10-04
한국전통음식문화체험관,유료,외국인,2010,50,25,100,100,400,400,300,760,1050,300,0,0,2022-10-04
한화리조트,유료,외국인,2010,1524,1514,868,324,460,686,414,328,558,1170,1578,1882,2022-10-04
허브나라,유료,외국인,2010,14,19,172,570,502,625,172,87,523,654,548,32,2022-10-04
휘닉스파크 숙박시설,유료,외국인,2010,10608,18706,7128,6338,5556,5520,6538,4094,5143,7934,9152,19074,2022-10-04
휘닉스파크 유스호스텔,유료,외국인,2010,356,540,16,0,56,0,72,328,8,320,308,488,2022-10-04
국립두타산자연휴양림,유료,내국인,2011,3423,2668,1205,2049,4196,4121,6169,8633,4814,5044,1918,2687,2022-10-04
국립평창청소년수련원,유료,내국인,2011,12070,12306,14398,15368,15080,19855,17675,15350,12410,15315,11735,13995,2022-10-04
대관령 양떼목장,유료,내국인,2011,0,0,0,20128,64460,45250,47180,93660,36850,70642,25730,18556,2022-10-04
무이예술관,유료,내국인,2011,0,0,342,735,2638,2052,3233,6270,2227,2725,1450,597,2022-10-04
백룡동굴,유료,내국인,2011,323,429,277,616,1628,1381,2575,3488,873,1421,461,205,2022-10-04
삼양대관령목장,유료,내국인,2011,0,0,0,0,55698,41457,43822,95588,32226,70200,24780,11450,2022-10-04
선자령,유료,내국인,2011,76,719,3441,904,814,970,640,594,496,1256,789,4393,2022-10-04
신세계대관령콘도,유료,내국인,2011,100,0,0,84,112,216,680,925,0,432,124,560,2022-10-04
알펜시아리조트,유료,내국인,2011,102598,93139,27743,12567,41774,42871,66917,199483,30566,48748,30462,75274,2022-10-04
용평 리조트 숙박시설,유료,내국인,2011,488188,400648,182720,92458,149143,139355,134907,181806,54390,162474,132532,370823,2022-10-04
용평리조트 유스호스텔,유료,내국인,2011,3693,2539,968,496,5856,1223,1324,2020,0,2,140,0,2022-10-04
이효석문학관,유료,내국인,2011,1943,1536,2473,6242,15314,9972,11291,20436,15442,9644,3702,1908,2022-10-04
켄싱턴플로라호텔(이랜드레져비스평창),유료,내국인,2011,7608,9139,4377,8877,8113,5621,9272,19562,8294,8294,8046,9008,2022-10-04
평창 동강민물고기생태관,유료,내국인,2011,321,443,343,557,1469,1448,1181,2686,781,886,703,408,2022-10-04
평창힐링청소년수련원,유료,내국인,2011,0,0,7881,9063,10016,8744,4600,1902,1900,4396,2492,1961,2022-10-04
한국자생식물원,유료,내국인,2011,0,0,0,730,8846,6375,6204,10049,3493,0,0,0,2022-10-04
한국전통음식문화체험관,유료,내국인,2011,23,262,63,130,800,455,1433,3871,1250,1154,322,604,2022-10-04
