기준시간,기온,풍향,풍속,습도
2020.1.1 0:10,0.97,250.86,2.77,66.14
2020.1.1 0:20,0.95,173.05,2.16,65.78
2020.1.1 0:30,0.98,146.36,2.25,66.43
2020.1.1 0:40,0.94,224.02,2.68,67.21
2020.1.1 0:50,0.98,267.84,2.77,67.13
2020.1.1 1:00,0.92,256.99,2.36,67.11
2020.1.1 1:10,0.94,200.11,2.24,67.2
2020.1.1 1:20,1.08,136.72,2.34,67.38
2020.1.1 1:30,1.16,191.91,2.02,66.94
2020.1.1 1:40,1.2,173.85,1.7,66.56
2020.1.1 1:50,1.26,190.71,1.87,66.39
2020.1.1 2:00,1.29,254.29,1.68,67.59
2020.1.1 2:10,1.33,230.03,1.96,67.4
2020.1.1 2:20,1.4,287.01,1.93,66.7
2020.1.1 2:30,1.4,247.27,1.81,66.22
2020.1.1 2:40,1.4,222.77,1.82,66.45
2020.1.1 2:50,1.4,280.78,2.13,66.84
2020.1.1 3:00,1.4,304.31,2.15,67.15
2020.1.1 3:10,1.48,276.51,2.41,67.14
2020.1.1 3:20,1.55,155.94,2.17,67.33
2020.1.1 3:30,1.58,139.96,1.52,67.13
2020.1.1 3:40,1.6,251.87,1.78,67.5
2020.1.1 3:50,1.64,223.33,2.04,67.85
2020.1.1 4:00,1.62,261.53,1.72,67.94
2020.1.1 4:10,1.62,249.66,2.15,67.81
2020.1.1 4:20,1.72,175.98,1.97,66.55
2020.1.1 4:30,1.69,200.92,2.11,66.78
2020.1.1 4:40,1.69,263.2,2.76,66.05
2020.1.1 4:50,1.73,246.25,1.99,65.36
2020.1.1 5:00,1.71,118.04,2.19,65.34
2020.1.1 5:10,1.7,186.21,1.97,65.57
2020.1.1 5:20,1.75,227.81,2.12,65.17
2020.1.1 5:30,1.8,213.94,1.7,65.46
2020.1.1 5:40,1.8,154.38,1.99,64.91
2020.1.1 5:50,1.73,132.47,1.95,64.45
2020.1.1 6:00,1.81,120.74,2.03,64.51
2020.1.1 6:10,1.86,221.2,2.43,64.28
2020.1.1 6:20,1.83,251.24,1.97,64.53
2020.1.1 6:30,1.88,246.57,1.88,64.91
2020.1.1 6:40,1.9,253.73,2.16,64.31
2020.1.1 6:50,1.9,159.5,1.93,64.03
2020.1.1 7:00,1.99,218.24,2.27,63.28
2020.1.1 7:10,1.96,274.39,2.55,63.28
2020.1.1 7:20,2,172.5,2.34,62.57
2020.1.1 7:30,2.07,186.9,2.74,62.15
2020.1.1 7:40,2.11,281.65,2.23,62.33
2020.1.1 7:50,2.19,33.1,1.85,63.13
2020.1.1 8:00,2.26,70.83,1.8,62.88
2020.1.1 8:10,2.33,138.35,1.75,63.43
2020.1.1 8:20,2.53,201.18,1.82,63.34
2020.1.1 8:30,2.63,187.87,2.55,61.75
2020.1.1 8:40,2.71,256.49,2.07,61.3
2020.1.1 8:50,3.05,247.61,1.89,61.34
2020.1.1 9:00,3.34,238.72,1.83,60.59
2020.1.1 9:10,3.46,268.28,2.16,60.6
2020.1.1 9:20,3.67,244.61,2.02,59.99
2020.1.1 9:30,3.62,166.64,2.62,58.78
2020.1.1 9:40,3.75,194.74,2.98,59.78
2020.1.1 9:50,3.84,221.37,2.97,59.67
2020.1.1 10:00,3.67,175.92,3.05,59.83
2020.1.1 10:10,3.85,184.17,3.18,59.74
2020.1.1 10:20,3.93,217.93,3.1,59.48
2020.1.1 10:30,4.34,177.99,3.09,58.23
2020.1.1 10:40,4.44,206.32,3.24,57.4
2020.1.1 10:50,4.26,136.33,3.29,57.71
2020.1.1 11:00,4.32,174.73,3.03,57.29
2020.1.1 11:10,4.71,124.94,4.47,55.98
2020.1.1 11:20,4.68,240.72,3.99,55.53
2020.1.1 11:30,4.84,212.6,3.97,56.26
2020.1.1 11:40,4.77,221.22,3.33,56.43
2020.1.1 11:50,5.06,196.8,3.58,55.91
2020.1.1 12:00,5.31,214.88,3.15,55.58
2020.1.1 12:10,5.57,238.02,3.43,55.38
2020.1.1 12:20,5.75,120.83,3.68,55.08
2020.1.1 12:30,5.54,231.75,4.46,54.96
2020.1.1 12:40,5.51,179.79,3.78,55.54
2020.1.1 12:50,5.65,228.14,3.47,55.74
2020.1.1 13:00,5.68,231.42,4.1,55.05
2020.1.1 13:10,5.97,146.3,3.57,54.21
2020.1.1 13:20,5.66,198.86,3.39,56.16
2020.1.1 13:30,6.05,140.55,2.97,55.45
2020.1.1 13:40,5.96,146.01,3.64,55.17
2020.1.1 13:50,6.12,162.68,3.1,54.53
2020.1.1 14:00,5.93,221.71,3.77,54.43
2020.1.1 14:10,6.18,213.66,3.37,55.31
2020.1.1 14:20,6.03,196.2,3.57,56.11
2020.1.1 14:30,5.9,103.21,3.83,56.09
2020.1.1 14:40,5.78,224.12,3.3,55.79
2020.1.1 14:50,6.04,179.14,2.91,56.32
2020.1.1 15:00,5.88,255.44,3.86,56.87
2020.1.1 15:10,5.97,183.01,3.58,57.45
2020.1.1 15:20,5.89,214.37,2.95,58.04
2020.1.1 15:30,5.92,160.32,4.73,56.83
2020.1.1 15:40,5.89,195.45,4.09,58.66
2020.1.1 15:50,5.85,303.93,4.17,59.5
2020.1.1 16:00,5.8,170.42,4.33,59.12
2020.1.1 16:10,5.75,295.91,3.98,59.12
2020.1.1 16:20,5.7,268.07,3.96,60.36
2020.1.1 16:30,5.61,215.37,4.05,61.21
2020.1.1 16:40,5.55,269.84,4.33,61.74
2020.1.1 16:50,5.49,160.89,3.86,61.37
2020.1.1 17:00,5.35,185,3.91,61.89
2020.1.1 17:10,5.21,211.52,4.04,61.99
2020.1.1 17:20,5.2,244.43,3.66,62.13
2020.1.1 17:30,5.19,176.24,3.73,62.48
2020.1.1 17:40,5.05,241.38,3.85,63.09
2020.1.1 17:50,5.09,211.29,4.05,62.92
2020.1.1 18:00,4.89,91.61,2.81,64.21
2020.1.1 18:10,4.91,36.62,2.17,64.6
2020.1.1 18:20,4.65,31.94,1.66,66.27
2020.1.1 18:30,4.71,30.29,1.67,66.26
2020.1.1 18:40,4.68,29,1.66,66.67
2020.1.1 18:50,4.89,71.15,0.92,66.08
2020.1.1 19:00,5.11,135.36,1.52,65.25
2020.1.1 19:10,5.1,108.7,1.65,63.93
2020.1.1 19:20,4.99,191.01,1.6,63.7
2020.1.1 19:30,4.95,139.51,1.42,63.78
2020.1.1 19:40,5.08,279.94,1.89,63.05
