date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,637672,708,472,107.2000046,1,121.2000046,1,331,1,1,0
2020-03-01 1:00,637672,708,472,152.6000061,1,172.6000061,1,471.8999939,1,1,0
2020-03-01 2:00,637672,708,472,129.1999969,1,146.1000061,1,634.4000244,1,1,0
2020-03-01 3:00,637672,708,472,149.4000092,1,168.9000092,1,694.7999878,1,1,0
2020-03-01 4:00,637672,708,472,204.5,1,231.1999969,1,656.6000366,1,1,0
2020-03-01 5:00,637672,708,472,226.5,1,256.1000061,1,587.6000366,1,1,0
2020-03-01 6:00,637672,708,472,93.80000305,1,106.0999985,1,614.4000244,1,1,0
2020-03-01 7:00,637672,708,472,133.6999969,1,151.1999969,1,412,1,1,0
2020-03-01 8:00,637672,708,472,154.1999969,1,174.4000092,1,186.5,1,0,0
2020-03-01 9:00,637672,708,472,,,,,,,0,0
2020-03-01 10:00,637672,708,472,,,,,,,0,0
2020-03-01 11:00,637672,708,472,,,,,,,0,0
2020-03-01 12:00,637672,708,472,,,,,,,0,0
2020-03-01 13:00,637672,708,472,,,,,,,0,0
2020-03-01 14:00,637672,708,472,,,,,,,0,0
2020-03-01 15:00,637672,708,472,,,,,,,0,0
2020-03-01 16:00,637672,708,472,,,,,,,0,0
2020-03-01 17:00,637672,708,472,,,,,,,0,0
2020-03-01 18:00,637672,708,472,,,,,,,0,0
2020-03-01 19:00,637672,708,472,,,,,,,0,0
2020-03-01 20:00,637672,708,472,,,,,,,0,0
2020-03-01 21:00,637672,708,472,,,,,,,0,0
2020-03-01 22:00,637672,708,472,,,,,,,0,0
2020-03-01 23:00,637672,708,472,174.1999969,1,196.9000092,1,47.60000229,1,0,0
2020-03-02 0:00,637672,708,472,369.1000061,1,417.6000061,1,78.30000305,1,1,0
2020-03-02 1:00,637672,708,472,526.5,1,595.7000122,1,109.4000015,1,1,0
2020-03-02 2:00,637672,708,472,625.9000244,1,708.2000122,1,134.1000061,1,1,0
2020-03-02 3:00,637672,708,472,679.2000122,1,768.5,1,160.6999969,1,1,0
2020-03-02 4:00,637672,708,472,686.5,1,776.7000122,1,170.9000092,1,1,0
2020-03-02 5:00,637672,708,472,674,1,762.6000366,1,150.9000092,1,1,0
2020-03-02 6:00,637672,708,472,591,1,668.7000122,1,112.8000031,1,1,0
2020-03-02 7:00,637672,708,472,456.6000061,1,516.6000366,1,87.40000153,1,1,0
2020-03-02 8:00,637672,708,472,292.8000183,1,331.3000183,1,56.90000153,1,0,0
2020-03-02 9:00,637672,708,472,,,,,,,0,0
2020-03-02 10:00,637672,708,472,,,,,,,0,0
2020-03-02 11:00,637672,708,472,,,,,,,0,0
