date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,624187,693,487,149.9000092,1,176.1999969,1,284,1,1,0
2020-03-01 1:00,624187,693,487,153,1,179.8000031,1,466.2000122,1,1,0
2020-03-01 2:00,624187,693,487,142.6999969,1,167.6999969,1,614.2000122,1,1,0
2020-03-01 3:00,624187,693,487,138.1000061,1,162.1999969,1,698.5,1,1,0
2020-03-01 4:00,624187,693,487,226.8000031,1,266.5,1,621.1000366,1,1,0
2020-03-01 5:00,624187,693,487,135.4000092,1,159.1999969,1,669.6000366,1,1,0
2020-03-01 6:00,624187,693,487,134.3000031,1,157.8000031,1,562,1,1,0
2020-03-01 7:00,624187,693,487,161.6999969,1,190,1,370.6000061,1,1,0
2020-03-01 8:00,624187,693,487,149,1,175.1000061,1,179.1999969,1,0,0
2020-03-01 9:00,624187,693,487,,,,,,,0,0
2020-03-01 10:00,624187,693,487,,,,,,,0,0
2020-03-01 11:00,624187,693,487,,,,,,,0,0
2020-03-01 12:00,624187,693,487,,,,,,,0,0
2020-03-01 13:00,624187,693,487,,,,,,,0,0
2020-03-01 14:00,624187,693,487,,,,,,,0,0
2020-03-01 15:00,624187,693,487,,,,,,,0,0
2020-03-01 16:00,624187,693,487,,,,,,,0,0
2020-03-01 17:00,624187,693,487,,,,,,,0,0
2020-03-01 18:00,624187,693,487,,,,,,,0,0
2020-03-01 19:00,624187,693,487,,,,,,,0,0
2020-03-01 20:00,624187,693,487,,,,,,,0,0
2020-03-01 21:00,624187,693,487,,,,,,,0,0
2020-03-01 22:00,624187,693,487,,,,,,,0,0
2020-03-01 23:00,624187,693,487,103.8000031,1,122,1,116.5999985,1,0,0
2020-03-02 0:00,624187,693,487,332.6000061,1,390.8000183,1,96.09999847,1,1,0
2020-03-02 1:00,624187,693,487,473.2000122,1,556.1000366,1,133.1000061,1,1,0
2020-03-02 2:00,624187,693,487,520.7000122,1,611.9000244,1,219.9000092,1,1,0
2020-03-02 3:00,624187,693,487,626.4000244,1,736,1,192.4000092,1,1,0
2020-03-02 4:00,624187,693,487,632.9000244,1,743.7000122,1,200.5,1,1,0
2020-03-02 5:00,624187,693,487,622.7999878,1,731.7999878,1,168.4000092,1,1,0
2020-03-02 6:00,624187,693,487,555.1000366,1,652.2999878,1,133.1000061,1,1,0
2020-03-02 7:00,624187,693,487,432.6000061,1,508.3999939,1,98.30000305,1,1,0
2020-03-02 8:00,624187,693,487,271.3999939,1,318.8999939,1,60.10000229,1,0,0
2020-03-02 9:00,624187,693,487,,,,,,,0,0
2020-03-02 10:00,624187,693,487,,,,,,,0,0
2020-03-02 11:00,624187,693,487,,,,,,,0,0
2020-03-02 12:00,624187,693,487,,,,,,,0,0
2020-03-02 13:00,624187,693,487,,,,,,,0,0
2020-03-02 14:00,624187,693,487,,,,,,,0,0
2020-03-02 15:00,624187,693,487,,,,,,,0,0
2020-03-02 16:00,624187,693,487,,,,,,,0,0
2020-03-02 17:00,624187,693,487,,,,,,,0,0
2020-03-02 18:00,624187,693,487,,,,,,,0,0
2020-03-02 19:00,624187,693,487,,,,,,,0,0
2020-03-02 20:00,624187,693,487,,,,,,,0,0
2020-03-02 21:00,624187,693,487,,,,,,,0,0
2020-03-02 22:00,624187,693,487,,,,,,,0,0
2020-03-02 23:00,624187,693,487,123.5,1,145.1000061,1,100.9000015,1,0,0
2020-03-03 0:00,624187,693,487,259.8999939,1,298.7000122,1,184,1,1,0
2020-03-03 1:00,624187,693,487,173.5,1,199.4000092,1,458.6000061,1,1,0
2020-03-03 2:00,624187,693,487,239.6999969,1,275.3999939,1,527.1000366,1,1,0
2020-03-03 3:00,624187,693,487,300.7000122,1,345.6000061,1,543.1000366,1,1,0
2020-03-03 4:00,624187,693,487,107.0999985,1,123.0999985,1,758.9000244,1,1,0
2020-03-03 5:00,624187,693,487,368.3999939,1,423.3999939,1,440.7000122,1,1,0
2020-03-03 6:00,624187,693,487,170.6000061,1,196,1,535.6000366,1,1,0
2020-03-03 7:00,624187,693,487,168.8000031,1,194,1,374.6000061,1,1,0
2020-03-03 8:00,624187,693,487,99,1,113.8000031,1,241.4000092,1,0,0
2020-03-03 9:00,624187,693,487,,,,,,,0,0
2020-03-03 10:00,624187,693,487,,,,,,,0,0
2020-03-03 11:00,624187,693,487,,,,,,,0,0
