date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,634981,705,481,160.1999969,1,178.3000031,1,282.1000061,1,1,0
2020-03-01 1:00,634981,705,481,144.6999969,1,161,1,483.8999939,1,1,0
2020-03-01 2:00,634981,705,481,125.5,1,139.6999969,1,641,1,1,0
2020-03-01 3:00,634981,705,481,187.1000061,1,208.3000031,1,659.5,1,1,0
2020-03-01 4:00,634981,705,481,243.6999969,1,271.2000122,1,619.7999878,1,1,0
2020-03-01 5:00,634981,705,481,179.6999969,1,200,1,636.2999878,1,1,0
2020-03-01 6:00,634981,705,481,131.9000092,1,146.8000031,1,575.4000244,1,1,0
2020-03-01 7:00,634981,705,481,159.3000031,1,177.3000031,1,385.7000122,1,1,0
2020-03-01 8:00,634981,705,481,152.1000061,1,169.3000031,1,187.8000031,1,0,0
2020-03-01 9:00,634981,705,481,,,,,,,0,0
2020-03-01 10:00,634981,705,481,,,,,,,0,0
2020-03-01 11:00,634981,705,481,,,,,,,0,0
2020-03-01 12:00,634981,705,481,,,,,,,0,0
2020-03-01 13:00,634981,705,481,,,,,,,0,0
2020-03-01 14:00,634981,705,481,,,,,,,0,0
2020-03-01 15:00,634981,705,481,,,,,,,0,0
2020-03-01 16:00,634981,705,481,,,,,,,0,0
2020-03-01 17:00,634981,705,481,,,,,,,0,0
2020-03-01 18:00,634981,705,481,,,,,,,0,0
2020-03-01 19:00,634981,705,481,,,,,,,0,0
2020-03-01 20:00,634981,705,481,,,,,,,0,0
2020-03-01 21:00,634981,705,481,,,,,,,0,0
2020-03-01 22:00,634981,705,481,,,,,,,0,0
2020-03-01 23:00,634981,705,481,185.1000061,1,206,1,40.29999924,1,0,0
2020-03-02 0:00,634981,705,481,366.7000122,1,409.1000061,1,79.70000458,1,1,0
2020-03-02 1:00,634981,705,481,520.7000122,1,581,1,121.2000046,1,1,0
2020-03-02 2:00,634981,705,481,620.7999878,1,692.7000122,1,157.8000031,1,1,0
2020-03-02 3:00,634981,705,481,665.4000244,1,742.4000244,1,184.1999969,1,1,0
2020-03-02 4:00,634981,705,481,674.1000366,1,752.2000122,1,192.1000061,1,1,0
2020-03-02 5:00,634981,705,481,656.2999878,1,732.4000244,1,162.1999969,1,1,0
2020-03-02 6:00,634981,705,481,583.9000244,1,651.5,1,125.9000015,1,1,0
2020-03-02 7:00,634981,705,481,456.2000122,1,509,1,91.30000305,1,1,0
2020-03-02 8:00,634981,705,481,289.3000183,1,322.8000183,1,60.20000076,1,0,0
2020-03-02 9:00,634981,705,481,,,,,,,0,0
2020-03-02 10:00,634981,705,481,,,,,,,0,0
2020-03-02 11:00,634981,705,481,,,,,,,0,0
2020-03-02 12:00,634981,705,481,,,,,,,0,0
2020-03-02 13:00,634981,705,481,,,,,,,0,0
2020-03-02 14:00,634981,705,481,,,,,,,0,0
2020-03-02 15:00,634981,705,481,,,,,,,0,0
2020-03-02 16:00,634981,705,481,,,,,,,0,0
2020-03-02 17:00,634981,705,481,,,,,,,0,0
2020-03-02 18:00,634981,705,481,,,,,,,0,0
2020-03-02 19:00,634981,705,481,,,,,,,0,0
2020-03-02 20:00,634981,705,481,,,,,,,0,0
2020-03-02 21:00,634981,705,481,,,,,,,0,0
2020-03-02 22:00,634981,705,481,,,,,,,0,0
2020-03-02 23:00,634981,705,481,128.4000092,1,143.1999969,1,101.8000031,1,0,0
2020-03-03 0:00,634981,705,481,246.1000061,1,277.6000061,1,202.9000092,1,1,0
2020-03-03 1:00,634981,705,481,172.6999969,1,194.9000092,1,463.3999939,1,1,0
2020-03-03 2:00,634981,705,481,456.2000122,1,514.7000122,1,313.7000122,1,1,0
