date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,625971,695,471,83.70000458,1,95.70000458,1,351.6000061,1,1,0
2020-03-01 1:00,625971,695,471,83.30000305,1,95.20000458,1,538.6000366,1,1,0
2020-03-01 2:00,625971,695,471,164.3000031,1,187.9000092,1,593.7999878,1,1,0
2020-03-01 3:00,625971,695,471,180.1000061,1,205.9000092,1,658.5,1,1,0
2020-03-01 4:00,625971,695,471,184.6000061,1,211.1000061,1,671.6000366,1,1,0
2020-03-01 5:00,625971,695,471,148.1999969,1,169.4000092,1,662.6000366,1,1,0
2020-03-01 6:00,625971,695,471,126.9000015,1,145.1000061,1,576.9000244,1,1,0
2020-03-01 7:00,625971,695,471,166.8000031,1,190.6999969,1,374.6000061,1,1,0
2020-03-01 8:00,625971,695,471,132.3000031,1,151.1999969,1,206,1,0,0
2020-03-01 9:00,625971,695,471,,,,,,,0,0
2020-03-01 10:00,625971,695,471,,,,,,,0,0
2020-03-01 11:00,625971,695,471,,,,,,,0,0
2020-03-01 12:00,625971,695,471,,,,,,,0,0
2020-03-01 13:00,625971,695,471,,,,,,,0,0
2020-03-01 14:00,625971,695,471,,,,,,,0,0
2020-03-01 15:00,625971,695,471,,,,,,,0,0
2020-03-01 16:00,625971,695,471,,,,,,,0,0
2020-03-01 17:00,625971,695,471,,,,,,,0,0
2020-03-01 18:00,625971,695,471,,,,,,,0,0
2020-03-01 19:00,625971,695,471,,,,,,,0,0
2020-03-01 20:00,625971,695,471,,,,,,,0,0
2020-03-01 21:00,625971,695,471,,,,,,,0,0
2020-03-01 22:00,625971,695,471,,,,,,,0,0
2020-03-01 23:00,625971,695,471,112.5,1,128.6999969,1,105.2000046,1,0,0
2020-03-02 0:00,625971,695,471,298.3000183,1,341.1000061,1,136.1999969,1,1,0
2020-03-02 1:00,625971,695,471,325.3999939,1,372,1,294.8000183,1,1,0
2020-03-02 2:00,625971,695,471,531.4000244,1,607.6000366,1,221.5,1,1,0
2020-03-02 3:00,625971,695,471,493.6000061,1,564.2999878,1,341,1,1,0
2020-03-02 4:00,625971,695,471,647.4000244,1,740.1000366,1,200.6999969,1,1,0
2020-03-02 5:00,625971,695,471,639.7000122,1,731.2999878,1,170.6000061,1,1,0
2020-03-02 6:00,625971,695,471,570.7999878,1,652.5,1,135.9000092,1,1,0
2020-03-02 7:00,625971,695,471,447.2000122,1,511.3000183,1,100.0999985,1,1,0
2020-03-02 8:00,625971,695,471,281.5,1,321.8000183,1,62.60000229,1,0,0
2020-03-02 9:00,625971,695,471,,,,,,,0,0
2020-03-02 10:00,625971,695,471,,,,,,,0,0
2020-03-02 11:00,625971,695,471,,,,,,,0,0
2020-03-02 12:00,625971,695,471,,,,,,,0,0
2020-03-02 13:00,625971,695,471,,,,,,,0,0
2020-03-02 14:00,625971,695,471,,,,,,,0,0
2020-03-02 15:00,625971,695,471,,,,,,,0,0
2020-03-02 16:00,625971,695,471,,,,,,,0,0
2020-03-02 17:00,625971,695,471,,,,,,,0,0
2020-03-02 18:00,625971,695,471,,,,,,,0,0
2020-03-02 19:00,625971,695,471,,,,,,,0,0
2020-03-02 20:00,625971,695,471,,,,,,,0,0
2020-03-02 21:00,625971,695,471,,,,,,,0,0
2020-03-02 22:00,625971,695,471,,,,,,,0,0
2020-03-02 23:00,625971,695,471,148.3000031,1,169.5,1,73.59999847,1,0,0
2020-03-03 0:00,625971,695,471,270.3000183,1,309.7000122,1,169.5,1,1,0
2020-03-03 1:00,625971,695,471,402.5,1,461.2000122,1,219.8000031,1,1,0
2020-03-03 2:00,625971,695,471,525.4000244,1,601.9000244,1,231.4000092,1,1,0
2020-03-03 3:00,625971,695,471,455.5,1,521.7999878,1,383.8999939,1,1,0
2020-03-03 4:00,625971,695,471,385,1,441,1,473.8999939,1,1,0
2020-03-03 5:00,625971,695,471,218,1,249.6999969,1,598.9000244,1,1,0
2020-03-03 6:00,625971,695,471,238.8000031,1,273.6000061,1,469.3999939,1,1,0
2020-03-03 7:00,625971,695,471,186.6000061,1,213.8000031,1,361.3999939,1,1,0
2020-03-03 8:00,625971,695,471,121.5,1,139.1999969,1,224,1,0,0
2020-03-03 9:00,625971,695,471,,,,,,,0,0
2020-03-03 10:00,625971,695,471,,,,,,,0,0
2020-03-03 11:00,625971,695,471,,,,,,,0,0
2020-03-03 12:00,625971,695,471,,,,,,,0,0
2020-03-03 13:00,625971,695,471,,,,,,,0,0
2020-03-03 14:00,625971,695,471,,,,,,,0,0
2020-03-03 15:00,625971,695,471,,,,,,,0,0
2020-03-03 16:00,625971,695,471,,,,,,,0,0
2020-03-03 17:00,625971,695,471,,,,,,,0,0
2020-03-03 18:00,625971,695,471,,,,,,,0,0
2020-03-03 19:00,625971,695,471,,,,,,,0,0
2020-03-03 20:00,625971,695,471,,,,,,,0,0
2020-03-03 21:00,625971,695,471,,,,,,,0,0
2020-03-03 22:00,625971,695,471,,,,,,,0,0
2020-03-03 23:00,625971,695,471,124.8000031,1,143,1,102.5999985,1,0,0
2020-03-04 0:00,625971,695,471,213.9000092,1,244.6000061,1,233.1000061,1,1,0
2020-03-04 1:00,625971,695,471,379.7000122,1,434.1000061,1,249.1000061,1,1,0
2020-03-04 2:00,625971,695,471,515,1,588.7000122,1,248.1000061,1,1,0
2020-03-04 3:00,625971,695,471,556.7000122,1,636.4000244,1,285.6000061,1,1,0
2020-03-04 4:00,625971,695,471,413.2000122,1,472.3000183,1,450.2000122,1,1,0
2020-03-04 5:00,625971,695,471,520.5,1,595,1,292.8000183,1,1,0
2020-03-04 6:00,625971,695,471,414.5,1,473.8000183,1,293.3999939,1,1,0
2020-03-04 7:00,625971,695,471,426.8000183,1,487.8999939,1,118.9000015,1,1,0
2020-03-04 8:00,625971,695,471,232.6000061,1,265.8000183,1,113.7000046,1,0,0
2020-03-04 9:00,625971,695,471,,,,,,,0,0
2020-03-04 10:00,625971,695,471,,,,,,,0,0
2020-03-04 11:00,625971,695,471,,,,,,,0,0
2020-03-04 12:00,625971,695,471,,,,,,,0,0
2020-03-04 13:00,625971,695,471,,,,,,,0,0
2020-03-04 14:00,625971,695,471,,,,,,,0,0
2020-03-04 15:00,625971,695,471,,,,,,,0,0
2020-03-04 16:00,625971,695,471,,,,,,,0,0
2020-03-04 17:00,625971,695,471,,,,,,,0,0
2020-03-04 18:00,625971,695,471,,,,,,,0,0
2020-03-04 19:00,625971,695,471,,,,,,,0,0
2020-03-04 20:00,625971,695,471,,,,,,,0,0
2020-03-04 21:00,625971,695,471,,,,,,,0,0
2020-03-04 22:00,625971,695,471,,,,,,,0,0
2020-03-04 23:00,625971,695,471,190.5,1,217.8000031,1,40.60000229,1,0,0
2020-03-05 0:00,625971,695,471,277.8999939,1,317.7000122,1,172.4000092,1,1,0
2020-03-05 1:00,625971,695,471,415,1,474.3999939,1,217.8000031,1,1,0
2020-03-05 2:00,625971,695,471,537.6000366,1,614.6000366,1,229.6000061,1,1,0
2020-03-05 3:00,625971,695,471,597.9000244,1,683.6000366,1,247.8000031,1,1,0
2020-03-05 4:00,625971,695,471,521.2000122,1,595.7999878,1,343.6000061,1,1,0
2020-03-05 5:00,625971,695,471,604.1000366,1,690.6000366,1,211,1,1,0
2020-03-05 6:00,625971,695,471,558.7000122,1,638.7000122,1,155.5,1,1,0
2020-03-05 7:00,625971,695,471,436.8000183,1,499.3999939,1,112.0999985,1,1,0
2020-03-05 8:00,625971,695,471,280.8999939,1,321.2000122,1,71.90000153,1,0,0
2020-03-05 9:00,625971,695,471,,,,,,,0,0
2020-03-05 10:00,625971,695,471,,,,,,,0,0
2020-03-05 11:00,625971,695,471,,,,,,,0,0
2020-03-05 12:00,625971,695,471,,,,,,,0,0
2020-03-05 13:00,625971,695,471,,,,,,,0,0
2020-03-05 14:00,625971,695,471,,,,,,,0,0
2020-03-05 15:00,625971,695,471,,,,,,,0,0
2020-03-05 16:00,625971,695,471,,,,,,,0,0
2020-03-05 17:00,625971,695,471,,,,,,,0,0
2020-03-05 18:00,625971,695,471,,,,,,,0,0
2020-03-05 19:00,625971,695,471,,,,,,,0,0
2020-03-05 20:00,625971,695,471,,,,,,,0,0
2020-03-05 21:00,625971,695,471,,,,,,,0,0
2020-03-05 22:00,625971,695,471,,,,,,,0,0
2020-03-05 23:00,625971,695,471,200.1000061,1,228.6999969,1,41,1,0,0
2020-03-06 0:00,625971,695,471,380.1000061,1,434.8999939,1,81.30000305,1,1,0
2020-03-06 1:00,625971,695,471,519.4000244,1,594.2999878,1,124.8000031,1,1,0
2020-03-06 2:00,625971,695,471,609.4000244,1,697.2000122,1,167.6000061,1,1,0
2020-03-06 3:00,625971,695,471,633.2000122,1,724.5,1,215.3000031,1,1,0
2020-03-06 4:00,625971,695,471,465.5,1,532.6000366,1,404.7000122,1,1,0
2020-03-06 5:00,625971,695,471,599.4000244,1,685.7999878,1,219.4000092,1,1,0
2020-03-06 6:00,625971,695,471,579.1000366,1,662.5,1,141.9000092,1,1,0
2020-03-06 7:00,625971,695,471,456.1000061,1,521.7999878,1,105.0999985,1,1,0
2020-03-06 8:00,625971,695,471,297.6000061,1,340.5,1,61.20000076,1,0,0
2020-03-06 9:00,625971,695,471,,,,,,,0,0
2020-03-06 10:00,625971,695,471,,,,,,,0,0
2020-03-06 11:00,625971,695,471,,,,,,,0,0
2020-03-06 12:00,625971,695,471,,,,,,,0,0
2020-03-06 13:00,625971,695,471,,,,,,,0,0
2020-03-06 14:00,625971,695,471,,,,,,,0,0
2020-03-06 15:00,625971,695,471,,,,,,,0,0
2020-03-06 16:00,625971,695,471,,,,,,,0,0
2020-03-06 17:00,625971,695,471,,,,,,,0,0
2020-03-06 18:00,625971,695,471,,,,,,,0,0
2020-03-06 19:00,625971,695,471,,,,,,,0,0
2020-03-06 20:00,625971,695,471,,,,,,,0,0
2020-03-06 21:00,625971,695,471,,,,,,,0,0
2020-03-06 22:00,625971,695,471,,,,,,,0,0
2020-03-06 23:00,625971,695,471,107,1,122.4000015,1,136.6999969,1,0,0
2020-03-07 0:00,625971,695,471,125.3000031,1,143.4000092,1,339.3000183,1,1,0
2020-03-07 1:00,625971,695,471,104.3000031,1,119.4000015,1,546.7999878,1,1,0
2020-03-07 2:00,625971,695,471,135.6999969,1,155.3000031,1,652,1,1,0
