date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,625074,694,474,111.9000015,1,129.6000061,1,322,1,1,0
2020-03-01 1:00,625074,694,474,145.3000031,1,168.3000031,1,473.6000061,1,1,0
2020-03-01 2:00,625074,694,474,128.1999969,1,148.6000061,1,629.6000366,1,1,0
2020-03-01 3:00,625074,694,474,159.4000092,1,184.6000061,1,677.7999878,1,1,0
2020-03-01 4:00,625074,694,474,176.6000061,1,204.6000061,1,677.4000244,1,1,0
2020-03-01 5:00,625074,694,474,149.4000092,1,173.1000061,1,658.9000244,1,1,0
2020-03-01 6:00,625074,694,474,137.1999969,1,158.9000092,1,563.7999878,1,1,0
2020-03-01 7:00,625074,694,474,126,1,145.9000092,1,414,1,1,0
2020-03-01 8:00,625074,694,474,139.1000061,1,161.1000061,1,196.1999969,1,0,0
2020-03-01 9:00,625074,694,474,,,,,,,0,0
2020-03-01 10:00,625074,694,474,,,,,,,0,0
2020-03-01 11:00,625074,694,474,,,,,,,0,0
2020-03-01 12:00,625074,694,474,,,,,,,0,0
2020-03-01 13:00,625074,694,474,,,,,,,0,0
2020-03-01 14:00,625074,694,474,,,,,,,0,0
2020-03-01 15:00,625074,694,474,,,,,,,0,0
2020-03-01 16:00,625074,694,474,,,,,,,0,0
2020-03-01 17:00,625074,694,474,,,,,,,0,0
2020-03-01 18:00,625074,694,474,,,,,,,0,0
2020-03-01 19:00,625074,694,474,,,,,,,0,0
2020-03-01 20:00,625074,694,474,,,,,,,0,0
2020-03-01 21:00,625074,694,474,,,,,,,0,0
2020-03-01 22:00,625074,694,474,,,,,,,0,0
2020-03-01 23:00,625074,694,474,174.9000092,1,202.6000061,1,39.79999924,1,0,0
2020-03-02 0:00,625074,694,474,357,1,413.5,1,72,1,1,0
2020-03-02 1:00,625074,694,474,410.2000122,1,475.2000122,1,202.8000031,1,1,0
2020-03-02 2:00,625074,694,474,566.7999878,1,656.7000122,1,177.9000092,1,1,0
2020-03-02 3:00,625074,694,474,602.7000122,1,698.2000122,1,221,1,1,0
2020-03-02 4:00,625074,694,474,637.9000244,1,739,1,201.6000061,1,1,0
2020-03-02 5:00,625074,694,474,628.7000122,1,728.2999878,1,164.3000031,1,1,0
2020-03-02 6:00,625074,694,474,557.7999878,1,646.2000122,1,130,1,1,0
2020-03-02 7:00,625074,694,474,438.1000061,1,507.5,1,92.90000153,1,1,0
2020-03-02 8:00,625074,694,474,277.7000122,1,321.7000122,1,55.5,1,0,0
2020-03-02 9:00,625074,694,474,,,,,,,0,0
2020-03-02 10:00,625074,694,474,,,,,,,0,0
2020-03-02 11:00,625074,694,474,,,,,,,0,0
2020-03-02 12:00,625074,694,474,,,,,,,0,0
2020-03-02 13:00,625074,694,474,,,,,,,0,0
2020-03-02 14:00,625074,694,474,,,,,,,0,0
2020-03-02 15:00,625074,694,474,,,,,,,0,0
2020-03-02 16:00,625074,694,474,,,,,,,0,0
2020-03-02 17:00,625074,694,474,,,,,,,0,0
2020-03-02 18:00,625074,694,474,,,,,,,0,0
2020-03-02 19:00,625074,694,474,,,,,,,0,0
2020-03-02 20:00,625074,694,474,,,,,,,0,0
2020-03-02 21:00,625074,694,474,,,,,,,0,0
2020-03-02 22:00,625074,694,474,,,,,,,0,0
2020-03-02 23:00,625074,694,474,102.3000031,1,118.5,1,120.5,1,0,0
2020-03-03 0:00,625074,694,474,306.2000122,1,359,1,126.0999985,1,1,0
2020-03-03 1:00,625074,694,474,360.7000122,1,422.8999939,1,254.9000092,1,1,0
2020-03-03 2:00,625074,694,474,370.8999939,1,434.8999939,1,382,1,1,0
2020-03-03 3:00,625074,694,474,354.3000183,1,415.3999939,1,479.7000122,1,1,0
2020-03-03 4:00,625074,694,474,266.1000061,1,312.1000061,1,589.7000122,1,1,0
2020-03-03 5:00,625074,694,474,367.7000122,1,431.1000061,1,435.5,1,1,0
2020-03-03 6:00,625074,694,474,176.9000092,1,207.5,1,528.2000122,1,1,0
2020-03-03 7:00,625074,694,474,189.6999969,1,222.5,1,352.8000183,1,1,0
2020-03-03 8:00,625074,694,474,86.59999847,1,101.5,1,256.8999939,1,0,0
2020-03-03 9:00,625074,694,474,,,,,,,0,0
2020-03-03 10:00,625074,694,474,,,,,,,0,0
2020-03-03 11:00,625074,694,474,,,,,,,0,0
2020-03-03 12:00,625074,694,474,,,,,,,0,0
2020-03-03 13:00,625074,694,474,,,,,,,0,0
2020-03-03 14:00,625074,694,474,,,,,,,0,0
2020-03-03 15:00,625074,694,474,,,,,,,0,0
2020-03-03 16:00,625074,694,474,,,,,,,0,0
2020-03-03 17:00,625074,694,474,,,,,,,0,0
2020-03-03 18:00,625074,694,474,,,,,,,0,0
2020-03-03 19:00,625074,694,474,,,,,,,0,0
2020-03-03 20:00,625074,694,474,,,,,,,0,0
2020-03-03 21:00,625074,694,474,,,,,,,0,0
2020-03-03 22:00,625074,694,474,,,,,,,0,0
2020-03-03 23:00,625074,694,474,130,1,152.4000092,1,95.09999847,1,0,0
2020-03-04 0:00,625074,694,474,207.5,1,243.3000031,1,235.1000061,1,1,0
2020-03-04 1:00,625074,694,474,330.2000122,1,387.1000061,1,292,1,1,0
2020-03-04 2:00,625074,694,474,522.6000366,1,612.7000122,1,227.1000061,1,1,0
2020-03-04 3:00,625074,694,474,592.2000122,1,694.2999878,1,233.8000031,1,1,0
2020-03-04 4:00,625074,694,474,373.1000061,1,437.5,1,481.3999939,1,1,0
2020-03-04 5:00,625074,694,474,422.3999939,1,495.3000183,1,382,1,1,0
2020-03-04 6:00,625074,694,474,392,1,459.6000061,1,305.6000061,1,1,0
2020-03-04 7:00,625074,694,474,328.3000183,1,384.8999939,1,210.5,1,1,0
2020-03-04 8:00,625074,694,474,266.1000061,1,311.8999939,1,71.30000305,1,0,0
2020-03-04 9:00,625074,694,474,,,,,,,0,0
2020-03-04 10:00,625074,694,474,,,,,,,0,0
2020-03-04 11:00,625074,694,474,,,,,,,0,0
2020-03-04 12:00,625074,694,474,,,,,,,0,0
2020-03-04 13:00,625074,694,474,,,,,,,0,0
2020-03-04 14:00,625074,694,474,,,,,,,0,0
2020-03-04 15:00,625074,694,474,,,,,,,0,0
2020-03-04 16:00,625074,694,474,,,,,,,0,0
2020-03-04 17:00,625074,694,474,,,,,,,0,0
2020-03-04 18:00,625074,694,474,,,,,,,0,0
2020-03-04 19:00,625074,694,474,,,,,,,0,0
2020-03-04 20:00,625074,694,474,,,,,,,0,0
2020-03-04 21:00,625074,694,474,,,,,,,0,0
2020-03-04 22:00,625074,694,474,,,,,,,0,0
2020-03-04 23:00,625074,694,474,171.9000092,1,201.5,1,56.20000076,1,0,0
2020-03-05 0:00,625074,694,474,299.2000122,1,350.8000183,1,143.6000061,1,1,0
