date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,636771,707,471,122.4000015,1,141.6000061,1,312.2000122,1,1,0
2020-03-01 1:00,636771,707,471,183.3000031,1,212.1000061,1,435.8000183,1,1,0
2020-03-01 2:00,636771,707,471,128.1000061,1,148.1999969,1,632,1,1,0
2020-03-01 3:00,636771,707,471,224.4000092,1,259.7000122,1,612.9000244,1,1,0
2020-03-01 4:00,636771,707,471,209.6000061,1,242.5,1,646.2000122,1,1,0
2020-03-01 5:00,636771,707,471,210.6000061,1,243.6999969,1,598.5,1,1,0
2020-03-01 6:00,636771,707,471,93.80000305,1,108.5999985,1,612.1000366,1,1,0
2020-03-01 7:00,636771,707,471,141.8000031,1,164.1000061,1,400.5,1,1,0
2020-03-01 8:00,636771,707,471,156.8000031,1,181.4000092,1,180.3000031,1,0,0
2020-03-01 9:00,636771,707,471,,,,,,,0,0
2020-03-01 10:00,636771,707,471,,,,,,,0,0
2020-03-01 11:00,636771,707,471,,,,,,,0,0
2020-03-01 12:00,636771,707,471,,,,,,,0,0
2020-03-01 13:00,636771,707,471,,,,,,,0,0
2020-03-01 14:00,636771,707,471,,,,,,,0,0
2020-03-01 15:00,636771,707,471,,,,,,,0,0
2020-03-01 16:00,636771,707,471,,,,,,,0,0
2020-03-01 17:00,636771,707,471,,,,,,,0,0
2020-03-01 18:00,636771,707,471,,,,,,,0,0
2020-03-01 19:00,636771,707,471,,,,,,,0,0
2020-03-01 20:00,636771,707,471,,,,,,,0,0
2020-03-01 21:00,636771,707,471,,,,,,,0,0
2020-03-01 22:00,636771,707,471,,,,,,,0,0
2020-03-01 23:00,636771,707,471,173.1999969,1,200.4000092,1,44.79999924,1,0,0
2020-03-02 0:00,636771,707,471,352.8999939,1,407.3000183,1,85.20000458,1,1,0
2020-03-02 1:00,636771,707,471,496.8000183,1,573.4000244,1,124.7000046,1,1,0
2020-03-02 2:00,636771,707,471,589.2000122,1,679.9000244,1,165.6999969,1,1,0
2020-03-02 3:00,636771,707,471,626.9000244,1,723.5,1,202.8000031,1,1,0
2020-03-02 4:00,636771,707,471,628.1000366,1,724.9000244,1,216.6000061,1,1,0
2020-03-02 5:00,636771,707,471,627.9000244,1,724.6000366,1,177.6000061,1,1,0
2020-03-02 6:00,636771,707,471,565.6000366,1,652.7999878,1,137.6999969,1,1,0
2020-03-02 7:00,636771,707,471,443.7000122,1,512.1000366,1,101.2000046,1,1,0
2020-03-02 8:00,636771,707,471,280.1000061,1,323.2000122,1,62.79999924,1,0,0
2020-03-02 9:00,636771,707,471,,,,,,,0,0
2020-03-02 10:00,636771,707,471,,,,,,,0,0
2020-03-02 11:00,636771,707,471,,,,,,,0,0
2020-03-02 12:00,636771,707,471,,,,,,,0,0
2020-03-02 13:00,636771,707,471,,,,,,,0,0
2020-03-02 14:00,636771,707,471,,,,,,,0,0
2020-03-02 15:00,636771,707,471,,,,,,,0,0
2020-03-02 16:00,636771,707,471,,,,,,,0,0
