date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,625977,695,477,105.3000031,1,122.8000031,1,329.1000061,1,1,0
2020-03-01 1:00,625977,695,477,185.4000092,1,216.1000061,1,431.3999939,1,1,0
2020-03-01 2:00,625977,695,477,112.3000031,1,130.9000092,1,646,1,1,0
2020-03-01 3:00,625977,695,477,124.9000015,1,145.6000061,1,713,1,1,0
2020-03-01 4:00,625977,695,477,186.6000061,1,217.5,1,665.7000122,1,1,0
2020-03-01 5:00,625977,695,477,156.5,1,182.4000092,1,650.2000122,1,1,0
2020-03-01 6:00,625977,695,477,138.8000031,1,161.6999969,1,560.7000122,1,1,0
2020-03-01 7:00,625977,695,477,150.6000061,1,175.6000061,1,386.6000061,1,1,0
2020-03-01 8:00,625977,695,477,138.1000061,1,160.9000092,1,195.4000092,1,0,0
2020-03-01 9:00,625977,695,477,,,,,,,0,0
2020-03-01 10:00,625977,695,477,,,,,,,0,0
2020-03-01 11:00,625977,695,477,,,,,,,0,0
2020-03-01 12:00,625977,695,477,,,,,,,0,0
2020-03-01 13:00,625977,695,477,,,,,,,0,0
2020-03-01 14:00,625977,695,477,,,,,,,0,0
2020-03-01 15:00,625977,695,477,,,,,,,0,0
2020-03-01 16:00,625977,695,477,,,,,,,0,0
2020-03-01 17:00,625977,695,477,,,,,,,0,0
2020-03-01 18:00,625977,695,477,,,,,,,0,0
2020-03-01 19:00,625977,695,477,,,,,,,0,0
2020-03-01 20:00,625977,695,477,,,,,,,0,0
2020-03-01 21:00,625977,695,477,,,,,,,0,0
2020-03-01 22:00,625977,695,477,,,,,,,0,0
2020-03-01 23:00,625977,695,477,148.6000061,1,173.1999969,1,67.30000305,1,0,0
2020-03-02 0:00,625977,695,477,345.3000183,1,402.3999939,1,88.70000458,1,1,0
2020-03-02 1:00,625977,695,477,484.8999939,1,565.2000122,1,122.8000031,1,1,0
2020-03-02 2:00,625977,695,477,507.6000061,1,591.7000122,1,236.8000031,1,1,0
2020-03-02 3:00,625977,695,477,623.9000244,1,727.1000366,1,195.1999969,1,1,0
2020-03-02 4:00,625977,695,477,667.6000366,1,778.1000366,1,176.6000061,1,1,0
2020-03-02 5:00,625977,695,477,651.7000122,1,759.6000366,1,150.1000061,1,1,0
2020-03-02 6:00,625977,695,477,576,1,671.2999878,1,121.5,1,1,0
2020-03-02 7:00,625977,695,477,446.8999939,1,520.9000244,1,91.90000153,1,1,0
2020-03-02 8:00,625977,695,477,277.6000061,1,323.5,1,59.70000076,1,0,0
2020-03-02 9:00,625977,695,477,,,,,,,0,0
2020-03-02 10:00,625977,695,477,,,,,,,0,0
2020-03-02 11:00,625977,695,477,,,,,,,0,0
2020-03-02 12:00,625977,695,477,,,,,,,0,0
2020-03-02 13:00,625977,695,477,,,,,,,0,0
2020-03-02 14:00,625977,695,477,,,,,,,0,0
2020-03-02 15:00,625977,695,477,,,,,,,0,0
2020-03-02 16:00,625977,695,477,,,,,,,0,0
2020-03-02 17:00,625977,695,477,,,,,,,0,0
2020-03-02 18:00,625977,695,477,,,,,,,0,0
2020-03-02 19:00,625977,695,477,,,,,,,0,0
2020-03-02 20:00,625977,695,477,,,,,,,0,0
2020-03-02 21:00,625977,695,477,,,,,,,0,0
2020-03-02 22:00,625977,695,477,,,,,,,0,0
2020-03-02 23:00,625977,695,477,118.2000046,1,137.6999969,1,104.2000046,1,0,0
2020-03-03 0:00,625977,695,477,317.7000122,1,367.1000061,1,119.7000046,1,1,0
