date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,624177,693,477,108,1,125.5,1,326.5,1,1,0
2020-03-01 1:00,624177,693,477,166.9000092,1,194.1000061,1,451,1,1,0
2020-03-01 2:00,624177,693,477,90.70000458,1,105.4000015,1,668.5,1,1,0
2020-03-01 3:00,624177,693,477,144.4000092,1,167.9000092,1,692.7000122,1,1,0
2020-03-01 4:00,624177,693,477,192.6999969,1,224,1,659.6000366,1,1,0
2020-03-01 5:00,624177,693,477,152.3000031,1,177.1000061,1,654.7000122,1,1,0
2020-03-01 6:00,624177,693,477,148.6000061,1,172.8000031,1,550.6000366,1,1,0
2020-03-01 7:00,624177,693,477,116.2000046,1,135.1000061,1,422.8000183,1,1,0
2020-03-01 8:00,624177,693,477,140.4000092,1,163.1999969,1,193.1999969,1,0,0
2020-03-01 9:00,624177,693,477,,,,,,,0,0
2020-03-01 10:00,624177,693,477,,,,,,,0,0
2020-03-01 11:00,624177,693,477,,,,,,,0,0
2020-03-01 12:00,624177,693,477,,,,,,,0,0
2020-03-01 13:00,624177,693,477,,,,,,,0,0
2020-03-01 14:00,624177,693,477,,,,,,,0,0
2020-03-01 15:00,624177,693,477,,,,,,,0,0
2020-03-01 16:00,624177,693,477,,,,,,,0,0
2020-03-01 17:00,624177,693,477,,,,,,,0,0
2020-03-01 18:00,624177,693,477,,,,,,,0,0
2020-03-01 19:00,624177,693,477,,,,,,,0,0
2020-03-01 20:00,624177,693,477,,,,,,,0,0
2020-03-01 21:00,624177,693,477,,,,,,,0,0
2020-03-01 22:00,624177,693,477,,,,,,,0,0
2020-03-01 23:00,624177,693,477,169.6999969,1,197.1999969,1,47.60000229,1,0,0
2020-03-02 0:00,624177,693,477,296,1,343.6000061,1,135.5,1,1,0
2020-03-02 1:00,624177,693,477,485.6000061,1,563.7000122,1,123.8000031,1,1,0
2020-03-02 2:00,624177,693,477,554.1000366,1,643.2999878,1,190.1000061,1,1,0
2020-03-02 3:00,624177,693,477,592.1000366,1,687.2999878,1,230.6999969,1,1,0
2020-03-02 4:00,624177,693,477,635.1000366,1,737.2999878,1,205.1999969,1,1,0
2020-03-02 5:00,624177,693,477,630.2999878,1,731.7000122,1,169.5,1,1,0
