date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,636767,707,467,116.7000046,1,135.8000031,1,316.1000061,1,1,0
2020-03-01 1:00,636767,707,467,218.1000061,1,253.9000092,1,397.3000183,1,1,0
2020-03-01 2:00,636767,707,467,150.1999969,1,174.8000031,1,607.4000244,1,1,0
2020-03-01 3:00,636767,707,467,255.1999969,1,297.1000061,1,578.9000244,1,1,0
2020-03-01 4:00,636767,707,467,190.1999969,1,221.4000092,1,665.2000122,1,1,0
2020-03-01 5:00,636767,707,467,221.6000061,1,258,1,586.1000366,1,1,0
2020-03-01 6:00,636767,707,467,118,1,137.4000092,1,587,1,1,0
2020-03-01 7:00,636767,707,467,149.4000092,1,173.9000092,1,392.8000183,1,1,0
2020-03-01 8:00,636767,707,467,157.9000092,1,183.8000031,1,179.5,1,0,0
2020-03-01 9:00,636767,707,467,,,,,,,0,0
2020-03-01 10:00,636767,707,467,,,,,,,0,0
2020-03-01 11:00,636767,707,467,,,,,,,0,0
2020-03-01 12:00,636767,707,467,,,,,,,0,0
2020-03-01 13:00,636767,707,467,,,,,,,0,0
2020-03-01 14:00,636767,707,467,,,,,,,0,0
2020-03-01 15:00,636767,707,467,,,,,,,0,0
2020-03-01 16:00,636767,707,467,,,,,,,0,0
2020-03-01 17:00,636767,707,467,,,,,,,0,0
2020-03-01 18:00,636767,707,467,,,,,,,0,0
2020-03-01 19:00,636767,707,467,,,,,,,0,0
2020-03-01 20:00,636767,707,467,,,,,,,0,0
2020-03-01 21:00,636767,707,467,,,,,,,0,0
2020-03-01 22:00,636767,707,467,,,,,,,0,0
2020-03-01 23:00,636767,707,467,165.3000031,1,192.4000092,1,49.20000076,1,0,0
2020-03-02 0:00,636767,707,467,349.1000061,1,407.1000061,1,84.30000305,1,1,0
2020-03-02 1:00,636767,707,467,491.7000122,1,573.2999878,1,124,1,1,0
2020-03-02 2:00,636767,707,467,584.1000366,1,681,1,164.5,1,1,0
2020-03-02 3:00,636767,707,467,621.6000366,1,724.7000122,1,201.6999969,1,1,0
2020-03-02 4:00,636767,707,467,624.5,1,728.2000122,1,214.4000092,1,1,0
2020-03-02 5:00,636767,707,467,623.5,1,726.9000244,1,176.3000031,1,1,0
2020-03-02 6:00,636767,707,467,562.1000366,1,655.4000244,1,136.5,1,1,0
2020-03-02 7:00,636767,707,467,441.6000061,1,514.7999878,1,100.0999985,1,1,0
