date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,635877,706,477,95.30000305,1,109.5,1,342.8000183,1,1,0
2020-03-01 1:00,635877,706,477,157.1000061,1,180.4000092,1,465.8000183,1,1,0
2020-03-01 2:00,635877,706,477,153.6000061,1,176.4000092,1,607.7000122,1,1,0
2020-03-01 3:00,635877,706,477,194.6000061,1,223.5,1,645.7999878,1,1,0
2020-03-01 4:00,635877,706,477,218.3000031,1,250.6999969,1,638.7000122,1,1,0
2020-03-01 5:00,635877,706,477,221.6999969,1,254.6000061,1,588,1,1,0
2020-03-01 6:00,635877,706,477,145.1999969,1,166.8000031,1,558.5,1,1,0
2020-03-01 7:00,635877,706,477,132.8000031,1,152.6000061,1,409.2000122,1,1,0
2020-03-01 8:00,635877,706,477,140.5,1,161.4000092,1,196.4000092,1,0,0
2020-03-01 9:00,635877,706,477,,,,,,,0,0
2020-03-01 10:00,635877,706,477,,,,,,,0,0
2020-03-01 11:00,635877,706,477,,,,,,,0,0
2020-03-01 12:00,635877,706,477,,,,,,,0,0
2020-03-01 13:00,635877,706,477,,,,,,,0,0
2020-03-01 14:00,635877,706,477,,,,,,,0,0
2020-03-01 15:00,635877,706,477,,,,,,,0,0
2020-03-01 16:00,635877,706,477,,,,,,,0,0
2020-03-01 17:00,635877,706,477,,,,,,,0,0
2020-03-01 18:00,635877,706,477,,,,,,,0,0
2020-03-01 19:00,635877,706,477,,,,,,,0,0
2020-03-01 20:00,635877,706,477,,,,,,,0,0
2020-03-01 21:00,635877,706,477,,,,,,,0,0
2020-03-01 22:00,635877,706,477,,,,,,,0,0
2020-03-01 23:00,635877,706,477,177.1999969,1,203.5,1,41.29999924,1,0,0
2020-03-02 0:00,635877,706,477,352.3000183,1,403.8999939,1,89.09999847,1,1,0
2020-03-02 1:00,635877,706,477,500.3000183,1,573.5,1,125.9000015,1,1,0
2020-03-02 2:00,635877,706,477,595.6000366,1,682.7000122,1,164.6000061,1,1,0
2020-03-02 3:00,635877,706,477,630.5,1,722.7999878,1,203.6999969,1,1,0
2020-03-02 4:00,635877,706,477,646.5,1,741.1000366,1,202.5,1,1,0
2020-03-02 5:00,635877,706,477,633.2999878,1,726,1,168.6999969,1,1,0
2020-03-02 6:00,635877,706,477,563.5,1,645.9000244,1,132.1000061,1,1,0
2020-03-02 7:00,635877,706,477,444.7000122,1,509.8000183,1,101.4000015,1,1,0
2020-03-02 8:00,635877,706,477,281.6000061,1,322.8000183,1,61.40000153,1,0,0
2020-03-02 9:00,635877,706,477,,,,,,,0,0
2020-03-02 10:00,635877,706,477,,,,,,,0,0
2020-03-02 11:00,635877,706,477,,,,,,,0,0
2020-03-02 12:00,635877,706,477,,,,,,,0,0
2020-03-02 13:00,635877,706,477,,,,,,,0,0
2020-03-02 14:00,635877,706,477,,,,,,,0,0
2020-03-02 15:00,635877,706,477,,,,,,,0,0
2020-03-02 16:00,635877,706,477,,,,,,,0,0
2020-03-02 17:00,635877,706,477,,,,,,,0,0
2020-03-02 18:00,635877,706,477,,,,,,,0,0
2020-03-02 19:00,635877,706,477,,,,,,,0,0
2020-03-02 20:00,635877,706,477,,,,,,,0,0
2020-03-02 21:00,635877,706,477,,,,,,,0,0
2020-03-02 22:00,635877,706,477,,,,,,,0,0
2020-03-02 23:00,635877,706,477,161.6000061,1,185.3000031,1,62.79999924,1,0,0
2020-03-03 0:00,635877,706,477,226,1,256.6000061,1,220.8000031,1,1,0
2020-03-03 1:00,635877,706,477,150,1,170.3000031,1,484.8000183,1,1,0
2020-03-03 2:00,635877,706,477,278.1000061,1,315.8999939,1,492,1,1,0
2020-03-03 3:00,635877,706,477,378.8000183,1,430.3000183,1,469.3000183,1,1,0
2020-03-03 4:00,635877,706,477,153.6999969,1,174.6000061,1,715.9000244,1,1,0
2020-03-03 5:00,635877,706,477,146.1999969,1,166,1,676,1,1,0
2020-03-03 6:00,635877,706,477,246.6000061,1,280.1000061,1,464.6000061,1,1,0
2020-03-03 7:00,635877,706,477,126.3000031,1,143.5,1,424.8999939,1,1,0
2020-03-03 8:00,635877,706,477,126.5,1,143.6999969,1,219.4000092,1,0,0
2020-03-03 9:00,635877,706,477,,,,,,,0,0
2020-03-03 10:00,635877,706,477,,,,,,,0,0
2020-03-03 11:00,635877,706,477,,,,,,,0,0
2020-03-03 12:00,635877,706,477,,,,,,,0,0
2020-03-03 13:00,635877,706,477,,,,,,,0,0
2020-03-03 14:00,635877,706,477,,,,,,,0,0
2020-03-03 15:00,635877,706,477,,,,,,,0,0
2020-03-03 16:00,635877,706,477,,,,,,,0,0
2020-03-03 17:00,635877,706,477,,,,,,,0,0
2020-03-03 18:00,635877,706,477,,,,,,,0,0
2020-03-03 19:00,635877,706,477,,,,,,,0,0
2020-03-03 20:00,635877,706,477,,,,,,,0,0
2020-03-03 21:00,635877,706,477,,,,,,,0,0
2020-03-03 22:00,635877,706,477,,,,,,,0,0
2020-03-03 23:00,635877,706,477,176.6999969,1,200.6999969,1,54,1,0,0
2020-03-04 0:00,635877,706,477,261.7000122,1,297.3999939,1,189.1999969,1,1,0
2020-03-04 1:00,635877,706,477,459.3999939,1,522,1,173.6999969,1,1,0
2020-03-04 2:00,635877,706,477,552,1,627.2999878,1,216.9000092,1,1,0
2020-03-04 3:00,635877,706,477,628.5,1,714.2000122,1,218.8000031,1,1,0
2020-03-04 4:00,635877,706,477,637.1000366,1,724,1,226.6000061,1,1,0
2020-03-04 5:00,635877,706,477,500.5,1,568.7999878,1,318.2000122,1,1,0
2020-03-04 6:00,635877,706,477,269.8000183,1,306.6000061,1,444.8000183,1,1,0
2020-03-04 7:00,635877,706,477,370.3999939,1,420.8999939,1,179.3000031,1,1,0
2020-03-04 8:00,635877,706,477,272.3000183,1,309.5,1,73.90000153,1,0,0
2020-03-04 9:00,635877,706,477,,,,,,,0,0
2020-03-04 10:00,635877,706,477,,,,,,,0,0
2020-03-04 11:00,635877,706,477,,,,,,,0,0
