date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,636768,707,468,124.7000046,1,145.1999969,1,308,1,1,0
2020-03-01 1:00,636768,707,468,225.8000031,1,262.8999939,1,389.3999939,1,1,0
2020-03-01 2:00,636768,707,468,209.6000061,1,244,1,545.4000244,1,1,0
2020-03-01 3:00,636768,707,468,233.6000061,1,272,1,601.6000366,1,1,0
2020-03-01 4:00,636768,707,468,197.8000031,1,230.3000031,1,657.2000122,1,1,0
2020-03-01 5:00,636768,707,468,220.1000061,1,256.3000183,1,587.5,1,1,0
2020-03-01 6:00,636768,707,468,74.80000305,1,87.09999847,1,632,1,1,0
2020-03-01 7:00,636768,707,468,147.1000061,1,171.3000031,1,394.8000183,1,1,0
2020-03-01 8:00,636768,707,468,149.1999969,1,173.6999969,1,188.3000031,1,0,0
2020-03-01 9:00,636768,707,468,,,,,,,0,0
2020-03-01 10:00,636768,707,468,,,,,,,0,0
2020-03-01 11:00,636768,707,468,,,,,,,0,0
2020-03-01 12:00,636768,707,468,,,,,,,0,0
2020-03-01 13:00,636768,707,468,,,,,,,0,0
2020-03-01 14:00,636768,707,468,,,,,,,0,0
2020-03-01 15:00,636768,707,468,,,,,,,0,0
2020-03-01 16:00,636768,707,468,,,,,,,0,0
2020-03-01 17:00,636768,707,468,,,,,,,0,0
2020-03-01 18:00,636768,707,468,,,,,,,0,0
2020-03-01 19:00,636768,707,468,,,,,,,0,0
2020-03-01 20:00,636768,707,468,,,,,,,0,0
2020-03-01 21:00,636768,707,468,,,,,,,0,0
2020-03-01 22:00,636768,707,468,,,,,,,0,0
2020-03-01 23:00,636768,707,468,171.5,1,199.6999969,1,44.40000153,1,0,0
2020-03-02 0:00,636768,707,468,352,1,409.1000061,1,83.09999847,1,1,0
2020-03-02 1:00,636768,707,468,492.8000183,1,572.7999878,1,124.5,1,1,0
2020-03-02 2:00,636768,707,468,586,1,681.1000366,1,164.5,1,1,0
2020-03-02 3:00,636768,707,468,620.7999878,1,721.5,1,204,1,1,0
2020-03-02 4:00,636768,707,468,622.9000244,1,724,1,217.3000031,1,1,0
2020-03-02 5:00,636768,707,468,623.4000244,1,724.6000366,1,177.9000092,1,1,0
2020-03-02 6:00,636768,707,468,561.2999878,1,652.4000244,1,138.4000092,1,1,0
2020-03-02 7:00,636768,707,468,440.3999939,1,511.8000183,1,102,1,1,0
2020-03-02 8:00,636768,707,468,279,1,324.2000122,1,62.90000153,1,0,0
2020-03-02 9:00,636768,707,468,,,,,,,0,0
2020-03-02 10:00,636768,707,468,,,,,,,0,0
2020-03-02 11:00,636768,707,468,,,,,,,0,0
2020-03-02 12:00,636768,707,468,,,,,,,0,0
2020-03-02 13:00,636768,707,468,,,,,,,0,0
2020-03-02 14:00,636768,707,468,,,,,,,0,0
2020-03-02 15:00,636768,707,468,,,,,,,0,0
2020-03-02 16:00,636768,707,468,,,,,,,0,0
2020-03-02 17:00,636768,707,468,,,,,,,0,0
2020-03-02 18:00,636768,707,468,,,,,,,0,0
2020-03-02 19:00,636768,707,468,,,,,,,0,0
2020-03-02 20:00,636768,707,468,,,,,,,0,0
2020-03-02 21:00,636768,707,468,,,,,,,0,0
2020-03-02 22:00,636768,707,468,,,,,,,0,0
2020-03-02 23:00,636768,707,468,107,1,124.4000015,1,114.3000031,1,0,0
2020-03-03 0:00,636768,707,468,229.6999969,1,264.7000122,1,210.6999969,1,1,0
2020-03-03 1:00,636768,707,468,272.8000183,1,314.3000183,1,353.2000122,1,1,0
2020-03-03 2:00,636768,707,468,249.3000031,1,287.2000122,1,516.2000122,1,1,0
2020-03-03 3:00,636768,707,468,351.1000061,1,404.6000061,1,491.8000183,1,1,0
2020-03-03 4:00,636768,707,468,165,1,190.1000061,1,702.2000122,1,1,0
2020-03-03 5:00,636768,707,468,266.3000183,1,306.8000183,1,550.5,1,1,0
2020-03-03 6:00,636768,707,468,269.6000061,1,310.6000061,1,439.1000061,1,1,0
2020-03-03 7:00,636768,707,468,167.1000061,1,192.5,1,383.3000183,1,1,0
2020-03-03 8:00,636768,707,468,113.9000015,1,131.3000031,1,233.5,1,0,0
2020-03-03 9:00,636768,707,468,,,,,,,0,0
2020-03-03 10:00,636768,707,468,,,,,,,0,0
2020-03-03 11:00,636768,707,468,,,,,,,0,0
2020-03-03 12:00,636768,707,468,,,,,,,0,0
2020-03-03 13:00,636768,707,468,,,,,,,0,0
