date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,637675,708,475,93.20000458,1,103.5999985,1,347.8000183,1,1,0
2020-03-01 1:00,637675,708,475,200.6000061,1,223,1,427.3000183,1,1,0
2020-03-01 2:00,637675,708,475,139.3000031,1,154.8000031,1,627,1,1,0
2020-03-01 3:00,637675,708,475,195.4000092,1,217.1999969,1,651.7000122,1,1,0
2020-03-01 4:00,637675,708,475,202.1999969,1,224.8000031,1,662.2999878,1,1,0
2020-03-01 5:00,637675,708,475,224.9000092,1,250,1,592.7000122,1,1,0
2020-03-01 6:00,637675,708,475,175.6000061,1,195.1000061,1,533.7999878,1,1,0
2020-03-01 7:00,637675,708,475,186.9000092,1,207.6999969,1,360.3999939,1,1,0
2020-03-01 8:00,637675,708,475,156.1999969,1,173.6999969,1,186.1999969,1,0,0
2020-03-01 9:00,637675,708,475,,,,,,,0,0
2020-03-01 10:00,637675,708,475,,,,,,,0,0
2020-03-01 11:00,637675,708,475,,,,,,,0,0
2020-03-01 12:00,637675,708,475,,,,,,,0,0
2020-03-01 13:00,637675,708,475,,,,,,,0,0
2020-03-01 14:00,637675,708,475,,,,,,,0,0
2020-03-01 15:00,637675,708,475,,,,,,,0,0
2020-03-01 16:00,637675,708,475,,,,,,,0,0
2020-03-01 17:00,637675,708,475,,,,,,,0,0
2020-03-01 18:00,637675,708,475,,,,,,,0,0
2020-03-01 19:00,637675,708,475,,,,,,,0,0
2020-03-01 20:00,637675,708,475,,,,,,,0,0
2020-03-01 21:00,637675,708,475,,,,,,,0,0
2020-03-01 22:00,637675,708,475,,,,,,,0,0
2020-03-01 23:00,637675,708,475,191.4000092,1,212.6999969,1,37.29999924,1,0,0
2020-03-02 0:00,637675,708,475,393,1,436.8999939,1,65.5,1,1,0
2020-03-02 1:00,637675,708,475,549.6000366,1,611,1,83.59999847,1,1,0
2020-03-02 2:00,637675,708,475,687.5,1,764.2000122,1,107,1,1,0
2020-03-02 3:00,637675,708,475,749,1,832.6000366,1,126.3000031,1,1,0
2020-03-02 4:00,637675,708,475,743.6000366,1,826.6000366,1,126,1,1,0
2020-03-02 5:00,637675,708,475,716.1000366,1,796,1,106.2000046,1,1,0
2020-03-02 6:00,637675,708,475,649.1000366,1,721.5,1,88.59999847,1,1,0
2020-03-02 7:00,637675,708,475,482.8999939,1,536.7999878,1,68.5,1,1,0
2020-03-02 8:00,637675,708,475,310.7000122,1,345.3999939,1,46.10000229,1,0,0
2020-03-02 9:00,637675,708,475,,,,,,,0,0
2020-03-02 10:00,637675,708,475,,,,,,,0,0
2020-03-02 11:00,637675,708,475,,,,,,,0,0
2020-03-02 12:00,637675,708,475,,,,,,,0,0
2020-03-02 13:00,637675,708,475,,,,,,,0,0
2020-03-02 14:00,637675,708,475,,,,,,,0,0
2020-03-02 15:00,637675,708,475,,,,,,,0,0
2020-03-02 16:00,637675,708,475,,,,,,,0,0
2020-03-02 17:00,637675,708,475,,,,,,,0,0
2020-03-02 18:00,637675,708,475,,,,,,,0,0
2020-03-02 19:00,637675,708,475,,,,,,,0,0
2020-03-02 20:00,637675,708,475,,,,,,,0,0
2020-03-02 21:00,637675,708,475,,,,,,,0,0
2020-03-02 22:00,637675,708,475,,,,,,,0,0
2020-03-02 23:00,637675,708,475,167,1,185.6000061,1,61.90000153,1,0,0
2020-03-03 0:00,637675,708,475,238.9000092,1,264.5,1,213.3000031,1,1,0
2020-03-03 1:00,637675,708,475,256.1000061,1,283.5,1,382.8999939,1,1,0
2020-03-03 2:00,637675,708,475,386.7000122,1,428.1000061,1,391.1000061,1,1,0
2020-03-03 3:00,637675,708,475,360,1,398.6000061,1,498,1,1,0
2020-03-03 4:00,637675,708,475,138.5,1,153.3000031,1,735.4000244,1,1,0
2020-03-03 5:00,637675,708,475,208.1999969,1,230.5,1,618.6000366,1,1,0
2020-03-03 6:00,637675,708,475,302.5,1,334.8000183,1,416.2000122,1,1,0
2020-03-03 7:00,637675,708,475,150.6999969,1,166.8000031,1,404.7000122,1,1,0
2020-03-03 8:00,637675,708,475,164.4000092,1,182,1,185.8000031,1,0,0
2020-03-03 9:00,637675,708,475,,,,,,,0,0
2020-03-03 10:00,637675,708,475,,,,,,,0,0
2020-03-03 11:00,637675,708,475,,,,,,,0,0
2020-03-03 12:00,637675,708,475,,,,,,,0,0
2020-03-03 13:00,637675,708,475,,,,,,,0,0
2020-03-03 14:00,637675,708,475,,,,,,,0,0
2020-03-03 15:00,637675,708,475,,,,,,,0,0
2020-03-03 16:00,637675,708,475,,,,,,,0,0
2020-03-03 17:00,637675,708,475,,,,,,,0,0
2020-03-03 18:00,637675,708,475,,,,,,,0,0
2020-03-03 19:00,637675,708,475,,,,,,,0,0
2020-03-03 20:00,637675,708,475,,,,,,,0,0
2020-03-03 21:00,637675,708,475,,,,,,,0,0
2020-03-03 22:00,637675,708,475,,,,,,,0,0
2020-03-03 23:00,637675,708,475,172.9000092,1,191.4000092,1,61.79999924,1,0,0
2020-03-04 0:00,637675,708,475,238.3000031,1,262.3999939,1,220.1999969,1,1,0
2020-03-04 1:00,637675,708,475,499.2000122,1,549.7000122,1,148.6000061,1,1,0
2020-03-04 2:00,637675,708,475,585.4000244,1,644.6000366,1,201.4000092,1,1,0
2020-03-04 3:00,637675,708,475,658.9000244,1,725.5,1,208.8000031,1,1,0
2020-03-04 4:00,637675,708,475,644.7000122,1,709.7999878,1,239.6999969,1,1,0
2020-03-04 5:00,637675,708,475,371.8999939,1,409.5,1,461.8999939,1,1,0
2020-03-04 6:00,637675,708,475,244,1,268.7000122,1,479.5,1,1,0
2020-03-04 7:00,637675,708,475,321.5,1,354,1,240.1999969,1,1,0
2020-03-04 8:00,637675,708,475,260.6000061,1,287,1,94.90000153,1,0,0
2020-03-04 9:00,637675,708,475,,,,,,,0,0
2020-03-04 10:00,637675,708,475,,,,,,,0,0
2020-03-04 11:00,637675,708,475,,,,,,,0,0
2020-03-04 12:00,637675,708,475,,,,,,,0,0
2020-03-04 13:00,637675,708,475,,,,,,,0,0
2020-03-04 14:00,637675,708,475,,,,,,,0,0
2020-03-04 15:00,637675,708,475,,,,,,,0,0
2020-03-04 16:00,637675,708,475,,,,,,,0,0
2020-03-04 17:00,637675,708,475,,,,,,,0,0
2020-03-04 18:00,637675,708,475,,,,,,,0,0
2020-03-04 19:00,637675,708,475,,,,,,,0,0
2020-03-04 20:00,637675,708,475,,,,,,,0,0
2020-03-04 21:00,637675,708,475,,,,,,,0,0
2020-03-04 22:00,637675,708,475,,,,,,,0,0
2020-03-04 23:00,637675,708,475,210.1000061,1,231.3000031,1,31.10000038,1,0,0
2020-03-05 0:00,637675,708,475,411.3999939,1,453,1,66.90000153,1,1,0
2020-03-05 1:00,637675,708,475,585.4000244,1,644.6000366,1,88,1,1,0
2020-03-05 2:00,637675,708,475,701,1,771.9000244,1,113.7000046,1,1,0
2020-03-05 3:00,637675,708,475,761.1000366,1,838.1000366,1,134,1,1,0
2020-03-05 4:00,637675,708,475,796.1000366,1,876.5,1,120.8000031,1,1,0
2020-03-05 5:00,637675,708,475,750.7000122,1,826.5,1,115.9000015,1,1,0
2020-03-05 6:00,637675,708,475,667,1,734.5,1,89.30000305,1,1,0
2020-03-05 7:00,637675,708,475,519.2999878,1,571.7999878,1,67.5,1,1,0
2020-03-05 8:00,637675,708,475,324.6000061,1,357.3999939,1,46.5,1,0,0
2020-03-05 9:00,637675,708,475,,,,,,,0,0
2020-03-05 10:00,637675,708,475,,,,,,,0,0
2020-03-05 11:00,637675,708,475,,,,,,,0,0
2020-03-05 12:00,637675,708,475,,,,,,,0,0
2020-03-05 13:00,637675,708,475,,,,,,,0,0
2020-03-05 14:00,637675,708,475,,,,,,,0,0
2020-03-05 15:00,637675,708,475,,,,,,,0,0
2020-03-05 16:00,637675,708,475,,,,,,,0,0
2020-03-05 17:00,637675,708,475,,,,,,,0,0
2020-03-05 18:00,637675,708,475,,,,,,,0,0
2020-03-05 19:00,637675,708,475,,,,,,,0,0
2020-03-05 20:00,637675,708,475,,,,,,,0,0
2020-03-05 21:00,637675,708,475,,,,,,,0,0
2020-03-05 22:00,637675,708,475,,,,,,,0,0
2020-03-05 23:00,637675,708,475,201.1999969,1,221.6000061,1,48.29999924,1,0,0
