date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,636773,707,473,105.5,1,122.5999985,1,329.8000183,1,1,0
2020-03-01 1:00,636773,707,473,171.1000061,1,199,1,448.1000061,1,1,0
2020-03-01 2:00,636773,707,473,147.8000031,1,171.9000092,1,611.1000366,1,1,0
2020-03-01 3:00,636773,707,473,222.3000031,1,258.5,1,614.1000366,1,1,0
2020-03-01 4:00,636773,707,473,211.6000061,1,246.1000061,1,642.9000244,1,1,0
2020-03-01 5:00,636773,707,473,239.8000031,1,278.8000183,1,566.7000122,1,1,0
2020-03-01 6:00,636773,707,473,146.9000092,1,170.8000031,1,555.7000122,1,1,0
2020-03-01 7:00,636773,707,473,136.6000061,1,158.8000031,1,404.7000122,1,1,0
2020-03-01 8:00,636773,707,473,154,1,179,1,181.8000031,1,0,0
2020-03-01 9:00,636773,707,473,,,,,,,0,0
2020-03-01 10:00,636773,707,473,,,,,,,0,0
2020-03-01 11:00,636773,707,473,,,,,,,0,0
2020-03-01 12:00,636773,707,473,,,,,,,0,0
2020-03-01 13:00,636773,707,473,,,,,,,0,0
2020-03-01 14:00,636773,707,473,,,,,,,0,0
2020-03-01 15:00,636773,707,473,,,,,,,0,0
2020-03-01 16:00,636773,707,473,,,,,,,0,0
2020-03-01 17:00,636773,707,473,,,,,,,0,0
2020-03-01 18:00,636773,707,473,,,,,,,0,0
2020-03-01 19:00,636773,707,473,,,,,,,0,0
2020-03-01 20:00,636773,707,473,,,,,,,0,0
2020-03-01 21:00,636773,707,473,,,,,,,0,0
2020-03-01 22:00,636773,707,473,,,,,,,0,0
2020-03-01 23:00,636773,707,473,168.1999969,1,195.6000061,1,48.70000076,1,0,0
2020-03-02 0:00,636773,707,473,348.8000183,1,404.8000183,1,87.40000153,1,1,0
2020-03-02 1:00,636773,707,473,491.6000061,1,570.6000366,1,127.0999985,1,1,0
2020-03-02 2:00,636773,707,473,583.7000122,1,677.6000366,1,167.6999969,1,1,0
2020-03-02 3:00,636773,707,473,619.2999878,1,718.7999878,1,206.3000031,1,1,0
2020-03-02 4:00,636773,707,473,622.9000244,1,723,1,217.9000092,1,1,0
2020-03-02 5:00,636773,707,473,620.7999878,1,720.6000366,1,180.1999969,1,1,0
2020-03-02 6:00,636773,707,473,560.5,1,650.6000366,1,138.8000031,1,1,0
2020-03-02 7:00,636773,707,473,440.3000183,1,511.1000061,1,101.4000015,1,1,0
2020-03-02 8:00,636773,707,473,278.3000183,1,323,1,62.29999924,1,0,0
2020-03-02 9:00,636773,707,473,,,,,,,0,0
2020-03-02 10:00,636773,707,473,,,,,,,0,0
2020-03-02 11:00,636773,707,473,,,,,,,0,0
2020-03-02 12:00,636773,707,473,,,,,,,0,0
2020-03-02 13:00,636773,707,473,,,,,,,0,0
2020-03-02 14:00,636773,707,473,,,,,,,0,0
2020-03-02 15:00,636773,707,473,,,,,,,0,0
2020-03-02 16:00,636773,707,473,,,,,,,0,0
2020-03-02 17:00,636773,707,473,,,,,,,0,0
2020-03-02 18:00,636773,707,473,,,,,,,0,0
2020-03-02 19:00,636773,707,473,,,,,,,0,0
2020-03-02 20:00,636773,707,473,,,,,,,0,0
2020-03-02 21:00,636773,707,473,,,,,,,0,0
2020-03-02 22:00,636773,707,473,,,,,,,0,0
2020-03-02 23:00,636773,707,473,145.8000031,1,169.3000031,1,75.70000458,1,0,0
2020-03-03 0:00,636773,707,473,234.6999969,1,270.1000061,1,207.4000092,1,1,0
2020-03-03 1:00,636773,707,473,266.3999939,1,306.5,1,361.3999939,1,1,0
2020-03-03 2:00,636773,707,473,237.1000061,1,272.8999939,1,530,1,1,0
