date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,636775,707,475,89.40000153,1,103.8000031,1,347.3000183,1,1,0
2020-03-01 1:00,636775,707,475,172,1,199.9000092,1,447.8000183,1,1,0
2020-03-01 2:00,636775,707,475,150.6999969,1,175.1000061,1,608.5,1,1,0
2020-03-01 3:00,636775,707,475,192.1000061,1,223.1000061,1,646,1,1,0
2020-03-01 4:00,636775,707,475,205,1,238.1000061,1,650,1,1,0
2020-03-01 5:00,636775,707,475,225.9000092,1,262.5,1,581.2000122,1,1,0
2020-03-01 6:00,636775,707,475,139.6000061,1,162.1999969,1,563.1000366,1,1,0
2020-03-01 7:00,636775,707,475,155.3000031,1,180.4000092,1,384.7000122,1,1,0
2020-03-01 8:00,636775,707,475,152.4000092,1,177.1000061,1,182.9000092,1,0,0
2020-03-01 9:00,636775,707,475,,,,,,,0,0
2020-03-01 10:00,636775,707,475,,,,,,,0,0
2020-03-01 11:00,636775,707,475,,,,,,,0,0
2020-03-01 12:00,636775,707,475,,,,,,,0,0
2020-03-01 13:00,636775,707,475,,,,,,,0,0
2020-03-01 14:00,636775,707,475,,,,,,,0,0
2020-03-01 15:00,636775,707,475,,,,,,,0,0
2020-03-01 16:00,636775,707,475,,,,,,,0,0
2020-03-01 17:00,636775,707,475,,,,,,,0,0
2020-03-01 18:00,636775,707,475,,,,,,,0,0
2020-03-01 19:00,636775,707,475,,,,,,,0,0
2020-03-01 20:00,636775,707,475,,,,,,,0,0
2020-03-01 21:00,636775,707,475,,,,,,,0,0
2020-03-01 22:00,636775,707,475,,,,,,,0,0
2020-03-01 23:00,636775,707,475,172.4000092,1,200.3000031,1,46,1,0,0
2020-03-02 0:00,636775,707,475,346.6000061,1,403.6000061,1,88.80000305,1,1,0
2020-03-02 1:00,636775,707,475,486.2000122,1,566.1000366,1,130.6000061,1,1,0
2020-03-02 2:00,636775,707,475,578.5,1,673.6000366,1,170.8000031,1,1,0
2020-03-02 3:00,636775,707,475,611.2999878,1,711.7999878,1,211.4000092,1,1,0
2020-03-02 4:00,636775,707,475,625.5,1,728.2999878,1,214,1,1,0
2020-03-02 5:00,636775,707,475,615.9000244,1,717.2000122,1,176.8000031,1,1,0
2020-03-02 6:00,636775,707,475,553.2999878,1,644.2999878,1,143,1,1,0
2020-03-02 7:00,636775,707,475,432.8999939,1,504,1,97.70000458,1,1,0
2020-03-02 8:00,636775,707,475,277.3999939,1,323,1,61.79999924,1,0,0
2020-03-02 9:00,636775,707,475,,,,,,,0,0
2020-03-02 10:00,636775,707,475,,,,,,,0,0
2020-03-02 11:00,636775,707,475,,,,,,,0,0
2020-03-02 12:00,636775,707,475,,,,,,,0,0
2020-03-02 13:00,636775,707,475,,,,,,,0,0
2020-03-02 14:00,636775,707,475,,,,,,,0,0
2020-03-02 15:00,636775,707,475,,,,,,,0,0
2020-03-02 16:00,636775,707,475,,,,,,,0,0
2020-03-02 17:00,636775,707,475,,,,,,,0,0
2020-03-02 18:00,636775,707,475,,,,,,,0,0
2020-03-02 19:00,636775,707,475,,,,,,,0,0
2020-03-02 20:00,636775,707,475,,,,,,,0,0
2020-03-02 21:00,636775,707,475,,,,,,,0,0
2020-03-02 22:00,636775,707,475,,,,,,,0,0
2020-03-02 23:00,636775,707,475,152.6999969,1,177.8000031,1,68.80000305,1,0,0
2020-03-03 0:00,636775,707,475,223.4000092,1,258.7000122,1,218.3000031,1,1,0
2020-03-03 1:00,636775,707,475,238.6000061,1,276.2000122,1,389.1000061,1,1,0
2020-03-03 2:00,636775,707,475,256.8999939,1,297.3999939,1,508.2000122,1,1,0
2020-03-03 3:00,636775,707,475,399.3000183,1,462.3000183,1,440.3999939,1,1,0
2020-03-03 4:00,636775,707,475,165.3000031,1,191.4000092,1,700.9000244,1,1,0
2020-03-03 5:00,636775,707,475,225.9000092,1,261.6000061,1,590.2999878,1,1,0
2020-03-03 6:00,636775,707,475,261.8000183,1,303.1000061,1,444.3999939,1,1,0
2020-03-03 7:00,636775,707,475,156.6999969,1,181.4000092,1,391.3000183,1,1,0
2020-03-03 8:00,636775,707,475,140.3000031,1,162.5,1,203.1999969,1,0,0
2020-03-03 9:00,636775,707,475,,,,,,,0,0
2020-03-03 10:00,636775,707,475,,,,,,,0,0
2020-03-03 11:00,636775,707,475,,,,,,,0,0
2020-03-03 12:00,636775,707,475,,,,,,,0,0
2020-03-03 13:00,636775,707,475,,,,,,,0,0
2020-03-03 14:00,636775,707,475,,,,,,,0,0
2020-03-03 15:00,636775,707,475,,,,,,,0,0
2020-03-03 16:00,636775,707,475,,,,,,,0,0
2020-03-03 17:00,636775,707,475,,,,,,,0,0
2020-03-03 18:00,636775,707,475,,,,,,,0,0
2020-03-03 19:00,636775,707,475,,,,,,,0,0
2020-03-03 20:00,636775,707,475,,,,,,,0,0
2020-03-03 21:00,636775,707,475,,,,,,,0,0
2020-03-03 22:00,636775,707,475,,,,,,,0,0
2020-03-03 23:00,636775,707,475,164,1,189.8000031,1,63.10000229,1,0,0
2020-03-04 0:00,636775,707,475,229.5,1,263.6000061,1,219,1,1,0
2020-03-04 1:00,636775,707,475,466.3000183,1,535.5,1,161.1000061,1,1,0
2020-03-04 2:00,636775,707,475,546.2999878,1,627.5,1,216.5,1,1,0
2020-03-04 3:00,636775,707,475,569.1000366,1,653.6000366,1,273.1000061,1,1,0
2020-03-04 4:00,636775,707,475,627.5,1,720.7000122,1,229.6000061,1,1,0
2020-03-04 5:00,636775,707,475,318,1,365.2000122,1,501.3999939,1,1,0
2020-03-04 6:00,636775,707,475,251.6000061,1,289,1,461,1,1,0
2020-03-04 7:00,636775,707,475,381.8999939,1,438.6000061,1,163.9000092,1,1,0
2020-03-04 8:00,636775,707,475,266.8999939,1,306.5,1,77.30000305,1,0,0
2020-03-04 9:00,636775,707,475,,,,,,,0,0
2020-03-04 10:00,636775,707,475,,,,,,,0,0
2020-03-04 11:00,636775,707,475,,,,,,,0,0
2020-03-04 12:00,636775,707,475,,,,,,,0,0
2020-03-04 13:00,636775,707,475,,,,,,,0,0
2020-03-04 14:00,636775,707,475,,,,,,,0,0
2020-03-04 15:00,636775,707,475,,,,,,,0,0
2020-03-04 16:00,636775,707,475,,,,,,,0,0
2020-03-04 17:00,636775,707,475,,,,,,,0,0
2020-03-04 18:00,636775,707,475,,,,,,,0,0
2020-03-04 19:00,636775,707,475,,,,,,,0,0
2020-03-04 20:00,636775,707,475,,,,,,,0,0
2020-03-04 21:00,636775,707,475,,,,,,,0,0
2020-03-04 22:00,636775,707,475,,,,,,,0,0
2020-03-04 23:00,636775,707,475,192.3000031,1,220.9000092,1,40.29999924,1,0,0
2020-03-05 0:00,636775,707,475,362.8000183,1,416.3000183,1,92.59999847,1,1,0
2020-03-05 1:00,636775,707,475,501,1,575,1,136.9000092,1,1,0
2020-03-05 2:00,636775,707,475,593.4000244,1,681.1000366,1,177.6000061,1,1,0
2020-03-05 3:00,636775,707,475,625.4000244,1,717.7999878,1,218.6999969,1,1,0
2020-03-05 4:00,636775,707,475,640.2000122,1,734.7000122,1,221.4000092,1,1,0
2020-03-05 5:00,636775,707,475,628.6000366,1,721.5,1,189.8000031,1,1,0
2020-03-05 6:00,636775,707,475,571.5,1,655.9000244,1,144.6000061,1,1,0
