date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,628690,698,490,190.1000061,1,213.5,1,252.1000061,1,1,0
2020-03-01 1:00,628690,698,490,233.3000031,1,262.1000061,1,394,1,1,0
2020-03-01 2:00,628690,698,490,119.3000031,1,134,1,646.2000122,1,1,0
2020-03-01 3:00,628690,698,490,132.9000092,1,149.3000031,1,711.6000366,1,1,0
2020-03-01 4:00,628690,698,490,280,1,314.5,1,579.2000122,1,1,0
2020-03-01 5:00,628690,698,490,153.9000092,1,172.9000092,1,658.1000366,1,1,0
2020-03-01 6:00,628690,698,490,173.6000061,1,195,1,529,1,1,0
2020-03-01 7:00,628690,698,490,106.0999985,1,119.2000046,1,434.3000183,1,1,0
2020-03-01 8:00,628690,698,490,129.8000031,1,145.8000031,1,205.1000061,1,0,0
2020-03-01 9:00,628690,698,490,,,,,,,0,0
2020-03-01 10:00,628690,698,490,,,,,,,0,0
2020-03-01 11:00,628690,698,490,,,,,,,0,0
2020-03-01 12:00,628690,698,490,,,,,,,0,0
2020-03-01 13:00,628690,698,490,,,,,,,0,0
2020-03-01 14:00,628690,698,490,,,,,,,0,0
2020-03-01 15:00,628690,698,490,,,,,,,0,0
2020-03-01 16:00,628690,698,490,,,,,,,0,0
2020-03-01 17:00,628690,698,490,,,,,,,0,0
2020-03-01 18:00,628690,698,490,,,,,,,0,0
2020-03-01 19:00,628690,698,490,,,,,,,0,0
2020-03-01 20:00,628690,698,490,,,,,,,0,0
2020-03-01 21:00,628690,698,490,,,,,,,0,0
2020-03-01 22:00,628690,698,490,,,,,,,0,0
2020-03-01 23:00,628690,698,490,130.6999969,1,146.8000031,1,95.90000153,1,0,0
2020-03-02 0:00,628690,698,490,377.3000183,1,423.8000183,1,77.40000153,1,1,0
2020-03-02 1:00,628690,698,490,480.1000061,1,539.2999878,1,149.9000092,1,1,0
2020-03-02 2:00,628690,698,490,624.2999878,1,701.2000122,1,151.9000092,1,1,0
2020-03-02 3:00,628690,698,490,674.1000366,1,757.2000122,1,178.6999969,1,1,0
2020-03-02 4:00,628690,698,490,669.6000366,1,752.1000366,1,195.5,1,1,0
2020-03-02 5:00,628690,698,490,661.2999878,1,742.7999878,1,161.4000092,1,1,0
2020-03-02 6:00,628690,698,490,587.4000244,1,659.7999878,1,128.1999969,1,1,0
2020-03-02 7:00,628690,698,490,457.7000122,1,514.1000366,1,94.30000305,1,1,0
2020-03-02 8:00,628690,698,490,287.1000061,1,322.3999939,1,57.29999924,1,0,0
2020-03-02 9:00,628690,698,490,,,,,,,0,0
2020-03-02 10:00,628690,698,490,,,,,,,0,0
2020-03-02 11:00,628690,698,490,,,,,,,0,0
2020-03-02 12:00,628690,698,490,,,,,,,0,0
2020-03-02 13:00,628690,698,490,,,,,,,0,0
2020-03-02 14:00,628690,698,490,,,,,,,0,0
2020-03-02 15:00,628690,698,490,,,,,,,0,0
2020-03-02 16:00,628690,698,490,,,,,,,0,0
2020-03-02 17:00,628690,698,490,,,,,,,0,0
2020-03-02 18:00,628690,698,490,,,,,,,0,0
2020-03-02 19:00,628690,698,490,,,,,,,0,0
2020-03-02 20:00,628690,698,490,,,,,,,0,0
2020-03-02 21:00,628690,698,490,,,,,,,0,0
2020-03-02 22:00,628690,698,490,,,,,,,0,0
2020-03-02 23:00,628690,698,490,121.5,1,136.5,1,110.3000031,1,0,0
2020-03-03 0:00,628690,698,490,259.7000122,1,292.5,1,191.3000031,1,1,0
2020-03-03 1:00,628690,698,490,200,1,225.3000031,1,437.1000061,1,1,0
2020-03-03 2:00,628690,698,490,249.1000061,1,280.6000061,1,524.1000366,1,1,0
2020-03-03 3:00,628690,698,490,473.7000122,1,533.5,1,375.7000122,1,1,0
2020-03-03 4:00,628690,698,490,153.6000061,1,173,1,715.2000122,1,1,0
2020-03-03 5:00,628690,698,490,168.6999969,1,190,1,651.2000122,1,1,0
2020-03-03 6:00,628690,698,490,151.3000031,1,170.4000092,1,559.1000366,1,1,0
2020-03-03 7:00,628690,698,490,161.1999969,1,181.5,1,385.8000183,1,1,0
2020-03-03 8:00,628690,698,490,138.3000031,1,155.8000031,1,203.3000031,1,0,0
2020-03-03 9:00,628690,698,490,,,,,,,0,0
2020-03-03 10:00,628690,698,490,,,,,,,0,0
2020-03-03 11:00,628690,698,490,,,,,,,0,0
2020-03-03 12:00,628690,698,490,,,,,,,0,0
2020-03-03 13:00,628690,698,490,,,,,,,0,0
2020-03-03 14:00,628690,698,490,,,,,,,0,0
2020-03-03 15:00,628690,698,490,,,,,,,0,0
2020-03-03 16:00,628690,698,490,,,,,,,0,0
2020-03-03 17:00,628690,698,490,,,,,,,0,0
2020-03-03 18:00,628690,698,490,,,,,,,0,0
2020-03-03 19:00,628690,698,490,,,,,,,0,0
2020-03-03 20:00,628690,698,490,,,,,,,0,0
2020-03-03 21:00,628690,698,490,,,,,,,0,0
2020-03-03 22:00,628690,698,490,,,,,,,0,0
2020-03-03 23:00,628690,698,490,160.9000092,1,181.1999969,1,75.30000305,1,0,0
2020-03-04 0:00,628690,698,490,300.1000061,1,338,1,155.5,1,1,0
2020-03-04 1:00,628690,698,490,487.7000122,1,549.2999878,1,150.9000092,1,1,0
2020-03-04 2:00,628690,698,490,585.5,1,659.4000244,1,188.5,1,1,0
2020-03-04 3:00,628690,698,490,630.1000366,1,709.7000122,1,222,1,1,0
2020-03-04 4:00,628690,698,490,636.1000366,1,716.5,1,231.3000031,1,1,0
2020-03-04 5:00,628690,698,490,653.4000244,1,735.9000244,1,164.8000031,1,1,0
2020-03-04 6:00,628690,698,490,546.6000366,1,615.6000366,1,162.9000092,1,1,0
2020-03-04 7:00,628690,698,490,430.3999939,1,484.7000122,1,117.0999985,1,1,0
2020-03-04 8:00,628690,698,490,311.5,1,350.8000183,1,43.20000076,1,0,0
2020-03-04 9:00,628690,698,490,,,,,,,0,0
2020-03-04 10:00,628690,698,490,,,,,,,0,0
2020-03-04 11:00,628690,698,490,,,,,,,0,0
2020-03-04 12:00,628690,698,490,,,,,,,0,0
2020-03-04 13:00,628690,698,490,,,,,,,0,0
2020-03-04 14:00,628690,698,490,,,,,,,0,0
2020-03-04 15:00,628690,698,490,,,,,,,0,0
2020-03-04 16:00,628690,698,490,,,,,,,0,0
2020-03-04 17:00,628690,698,490,,,,,,,0,0
2020-03-04 18:00,628690,698,490,,,,,,,0,0
2020-03-04 19:00,628690,698,490,,,,,,,0,0
2020-03-04 20:00,628690,698,490,,,,,,,0,0
2020-03-04 21:00,628690,698,490,,,,,,,0,0
2020-03-04 22:00,628690,698,490,,,,,,,0,0
2020-03-04 23:00,628690,698,490,206.1999969,1,232.3000031,1,34.5,1,0,0
2020-03-05 0:00,628690,698,490,368.7000122,1,415.7000122,1,95.90000153,1,1,0
2020-03-05 1:00,628690,698,490,519.2999878,1,585.4000244,1,131.4000092,1,1,0
2020-03-05 2:00,628690,698,490,624.9000244,1,704.5,1,161.6999969,1,1,0
2020-03-05 3:00,628690,698,490,656.6000366,1,740.1000366,1,202.3000031,1,1,0
