date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,635866,706,466,114,1,131.6000061,1,319.6000061,1,1,0
2020-03-01 1:00,635866,706,466,184.1000061,1,212.5,1,434.3000183,1,1,0
2020-03-01 2:00,635866,706,466,101.2000046,1,116.9000015,1,659.2999878,1,1,0
2020-03-01 3:00,635866,706,466,275.8999939,1,318.5,1,559.7000122,1,1,0
2020-03-01 4:00,635866,706,466,185.1999969,1,213.8000031,1,672,1,1,0
2020-03-01 5:00,635866,706,466,216.9000092,1,250.3000031,1,593.1000366,1,1,0
2020-03-01 6:00,635866,706,466,153.1000061,1,176.8000031,1,551.7999878,1,1,0
2020-03-01 7:00,635866,706,466,144.3000031,1,166.6000061,1,399.6000061,1,1,0
2020-03-01 8:00,635866,706,466,156,1,180,1,183.1999969,1,0,0
2020-03-01 9:00,635866,706,466,,,,,,,0,0
2020-03-01 10:00,635866,706,466,,,,,,,0,0
2020-03-01 11:00,635866,706,466,,,,,,,0,0
2020-03-01 12:00,635866,706,466,,,,,,,0,0
2020-03-01 13:00,635866,706,466,,,,,,,0,0
2020-03-01 14:00,635866,706,466,,,,,,,0,0
2020-03-01 15:00,635866,706,466,,,,,,,0,0
2020-03-01 16:00,635866,706,466,,,,,,,0,0
2020-03-01 17:00,635866,706,466,,,,,,,0,0
2020-03-01 18:00,635866,706,466,,,,,,,0,0
2020-03-01 19:00,635866,706,466,,,,,,,0,0
2020-03-01 20:00,635866,706,466,,,,,,,0,0
2020-03-01 21:00,635866,706,466,,,,,,,0,0
2020-03-01 22:00,635866,706,466,,,,,,,0,0
2020-03-01 23:00,635866,706,466,156.4000092,1,180.5,1,57.29999924,1,0,0
2020-03-02 0:00,635866,706,466,351.8000183,1,407.5,1,83.80000305,1,1,0
2020-03-02 1:00,635866,706,466,496,1,574.5,1,122.9000015,1,1,0
2020-03-02 2:00,635866,706,466,589.6000366,1,682.7999878,1,163,1,1,0
2020-03-02 3:00,635866,706,466,627.9000244,1,727.2000122,1,199.9000092,1,1,0
2020-03-02 4:00,635866,706,466,632.4000244,1,732.4000244,1,211.4000092,1,1,0
2020-03-02 5:00,635866,706,466,629.4000244,1,728.9000244,1,175,1,1,0
2020-03-02 6:00,635866,706,466,566.5,1,656,1,136.1999969,1,1,0
2020-03-02 7:00,635866,706,466,444,1,514.2000122,1,100.8000031,1,1,0
2020-03-02 8:00,635866,706,466,280.5,1,324.8000183,1,63,1,0,0
2020-03-02 9:00,635866,706,466,,,,,,,0,0
2020-03-02 10:00,635866,706,466,,,,,,,0,0
2020-03-02 11:00,635866,706,466,,,,,,,0,0
2020-03-02 12:00,635866,706,466,,,,,,,0,0
2020-03-02 13:00,635866,706,466,,,,,,,0,0
2020-03-02 14:00,635866,706,466,,,,,,,0,0
2020-03-02 15:00,635866,706,466,,,,,,,0,0
2020-03-02 16:00,635866,706,466,,,,,,,0,0
2020-03-02 17:00,635866,706,466,,,,,,,0,0
2020-03-02 18:00,635866,706,466,,,,,,,0,0
2020-03-02 19:00,635866,706,466,,,,,,,0,0
2020-03-02 20:00,635866,706,466,,,,,,,0,0
2020-03-02 21:00,635866,706,466,,,,,,,0,0
2020-03-02 22:00,635866,706,466,,,,,,,0,0
2020-03-02 23:00,635866,706,466,100.0999985,1,116,1,121.2000046,1,0,0
2020-03-03 0:00,635866,706,466,215,1,247.3000031,1,225.8000031,1,1,0
2020-03-03 1:00,635866,706,466,348.3999939,1,400.7000122,1,275.1000061,1,1,0
2020-03-03 2:00,635866,706,466,282.8999939,1,325.5,1,481.6000061,1,1,0
2020-03-03 3:00,635866,706,466,348.3000183,1,400.7000122,1,495.1000061,1,1,0
2020-03-03 4:00,635866,706,466,236.1999969,1,271.7000122,1,628.9000244,1,1,0
2020-03-03 5:00,635866,706,466,273.5,1,314.6000061,1,543.7000122,1,1,0
2020-03-03 6:00,635866,706,466,282.6000061,1,325,1,426.5,1,1,0
2020-03-03 7:00,635866,706,466,178.9000092,1,205.8000031,1,371.8999939,1,1,0
2020-03-03 8:00,635866,706,466,91.09999847,1,104.8000031,1,258,1,0,0
2020-03-03 9:00,635866,706,466,,,,,,,0,0
2020-03-03 10:00,635866,706,466,,,,,,,0,0
2020-03-03 11:00,635866,706,466,,,,,,,0,0
2020-03-03 12:00,635866,706,466,,,,,,,0,0
2020-03-03 13:00,635866,706,466,,,,,,,0,0
2020-03-03 14:00,635866,706,466,,,,,,,0,0
2020-03-03 15:00,635866,706,466,,,,,,,0,0
2020-03-03 16:00,635866,706,466,,,,,,,0,0
2020-03-03 17:00,635866,706,466,,,,,,,0,0
2020-03-03 18:00,635866,706,466,,,,,,,0,0
2020-03-03 19:00,635866,706,466,,,,,,,0,0
2020-03-03 20:00,635866,706,466,,,,,,,0,0
2020-03-03 21:00,635866,706,466,,,,,,,0,0
2020-03-03 22:00,635866,706,466,,,,,,,0,0
2020-03-03 23:00,635866,706,466,139,1,159.8000031,1,86.90000153,1,0,0
2020-03-04 0:00,635866,706,466,165.3000031,1,189.9000092,1,282.3999939,1,1,0
2020-03-04 1:00,635866,706,466,402.3000183,1,462.2000122,1,224.8000031,1,1,0
2020-03-04 2:00,635866,706,466,475.5,1,546.4000244,1,287.8999939,1,1,0
2020-03-04 3:00,635866,706,466,342.3000183,1,393.3999939,1,506.3000183,1,1,0
2020-03-04 4:00,635866,706,466,583.1000366,1,670,1,275.3999939,1,1,0
2020-03-04 5:00,635866,706,466,631.2999878,1,725.4000244,1,178.8000031,1,1,0
2020-03-04 6:00,635866,706,466,548.2000122,1,629.9000244,1,156.5,1,1,0
2020-03-04 7:00,635866,706,466,446.3999939,1,512.9000244,1,108,1,1,0
2020-03-04 8:00,635866,706,466,290,1,333.2000122,1,63,1,0,0
2020-03-04 9:00,635866,706,466,,,,,,,0,0
2020-03-04 10:00,635866,706,466,,,,,,,0,0
2020-03-04 11:00,635866,706,466,,,,,,,0,0
2020-03-04 12:00,635866,706,466,,,,,,,0,0
2020-03-04 13:00,635866,706,466,,,,,,,0,0
2020-03-04 14:00,635866,706,466,,,,,,,0,0
2020-03-04 15:00,635866,706,466,,,,,,,0,0
2020-03-04 16:00,635866,706,466,,,,,,,0,0
2020-03-04 17:00,635866,706,466,,,,,,,0,0
2020-03-04 18:00,635866,706,466,,,,,,,0,0
2020-03-04 19:00,635866,706,466,,,,,,,0,0
2020-03-04 20:00,635866,706,466,,,,,,,0,0
2020-03-04 21:00,635866,706,466,,,,,,,0,0
2020-03-04 22:00,635866,706,466,,,,,,,0,0
2020-03-04 23:00,635866,706,466,154.6999969,1,177.6999969,1,76,1,0,0
2020-03-05 0:00,635866,706,466,359.3000183,1,413.3999939,1,92.40000153,1,1,0
2020-03-05 1:00,635866,706,466,504.3999939,1,580.2999878,1,131.3000031,1,1,0
2020-03-05 2:00,635866,706,466,598.9000244,1,689.1000366,1,170.6999969,1,1,0
2020-03-05 3:00,635866,706,466,634.9000244,1,730.5,1,209.1999969,1,1,0
2020-03-05 4:00,635866,706,466,634,1,729.5,1,224.5,1,1,0
2020-03-05 5:00,635866,706,466,641.9000244,1,738.6000366,1,178.6000061,1,1,0
2020-03-05 6:00,635866,706,466,581.6000366,1,669.2000122,1,136.6999969,1,1,0
2020-03-05 7:00,635866,706,466,459.7000122,1,529,1,99.59999847,1,1,0
2020-03-05 8:00,635866,706,466,293.7000122,1,337.8999939,1,62.60000229,1,0,0
2020-03-05 9:00,635866,706,466,,,,,,,0,0
2020-03-05 10:00,635866,706,466,,,,,,,0,0
2020-03-05 11:00,635866,706,466,,,,,,,0,0
2020-03-05 12:00,635866,706,466,,,,,,,0,0
2020-03-05 13:00,635866,706,466,,,,,,,0,0
2020-03-05 14:00,635866,706,466,,,,,,,0,0
2020-03-05 15:00,635866,706,466,,,,,,,0,0
2020-03-05 16:00,635866,706,466,,,,,,,0,0
2020-03-05 17:00,635866,706,466,,,,,,,0,0
2020-03-05 18:00,635866,706,466,,,,,,,0,0
2020-03-05 19:00,635866,706,466,,,,,,,0,0
2020-03-05 20:00,635866,706,466,,,,,,,0,0
2020-03-05 21:00,635866,706,466,,,,,,,0,0
2020-03-05 22:00,635866,706,466,,,,,,,0,0
2020-03-05 23:00,635866,706,466,164.6000061,1,189.3000031,1,70.70000458,1,0,0
2020-03-06 0:00,635866,706,466,362,1,416.5,1,89,1,1,0
2020-03-06 1:00,635866,706,466,512.4000244,1,589.4000244,1,129.1000061,1,1,0
2020-03-06 2:00,635866,706,466,579.2000122,1,666.2000122,1,189.6999969,1,1,0
2020-03-06 3:00,635866,706,466,567.6000366,1,652.9000244,1,282.2000122,1,1,0
2020-03-06 4:00,635866,706,466,387.3000183,1,445.5,1,485.7000122,1,1,0
2020-03-06 5:00,635866,706,466,576.2000122,1,662.7999878,1,243.1999969,1,1,0
2020-03-06 6:00,635866,706,466,535.4000244,1,615.9000244,1,176.8000031,1,1,0
2020-03-06 7:00,635866,706,466,454.6000061,1,522.9000244,1,106.9000015,1,1,0
2020-03-06 8:00,635866,706,466,284.6000061,1,327.3000183,1,72.90000153,1,0,0
2020-03-06 9:00,635866,706,466,,,,,,,0,0
2020-03-06 10:00,635866,706,466,,,,,,,0,0
2020-03-06 11:00,635866,706,466,,,,,,,0,0
2020-03-06 12:00,635866,706,466,,,,,,,0,0
2020-03-06 13:00,635866,706,466,,,,,,,0,0
2020-03-06 14:00,635866,706,466,,,,,,,0,0
2020-03-06 15:00,635866,706,466,,,,,,,0,0
2020-03-06 16:00,635866,706,466,,,,,,,0,0
2020-03-06 17:00,635866,706,466,,,,,,,0,0
2020-03-06 18:00,635866,706,466,,,,,,,0,0
2020-03-06 19:00,635866,706,466,,,,,,,0,0
2020-03-06 20:00,635866,706,466,,,,,,,0,0
2020-03-06 21:00,635866,706,466,,,,,,,0,0
2020-03-06 22:00,635866,706,466,,,,,,,0,0
2020-03-06 23:00,635866,706,466,84.30000305,1,97,1,158.9000092,1,0,0
2020-03-07 0:00,635866,706,466,175.1999969,1,201.5,1,287.3999939,1,1,0
2020-03-07 1:00,635866,706,466,0,1,0,1,795.2000122,1,1,0
2020-03-07 2:00,635866,706,466,115.7000046,1,133,1,673.6000366,1,1,0
2020-03-07 3:00,635866,706,466,84.30000305,1,97,1,786.2999878,1,1,0
