date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,627767,697,467,116.2000046,1,137.6999969,1,313,1,1,0
2020-03-01 1:00,627767,697,467,155.8000031,1,184.6999969,1,457.7000122,1,1,0
2020-03-01 2:00,627767,697,467,77.20000458,1,91.5,1,680.2000122,1,1,0
2020-03-01 3:00,627767,697,467,181.5,1,215.1999969,1,650.4000244,1,1,0
2020-03-01 4:00,627767,697,467,177.6999969,1,210.6999969,1,672.7000122,1,1,0
2020-03-01 5:00,627767,697,467,159.5,1,189.1000061,1,646,1,1,0
2020-03-01 6:00,627767,697,467,148.6000061,1,176.1999969,1,550.2999878,1,1,0
2020-03-01 7:00,627767,697,467,123.7000046,1,146.6999969,1,415.7000122,1,1,0
2020-03-01 8:00,627767,697,467,125.5999985,1,149,1,209.6999969,1,0,0
2020-03-01 9:00,627767,697,467,,,,,,,0,0
2020-03-01 10:00,627767,697,467,,,,,,,0,0
2020-03-01 11:00,627767,697,467,,,,,,,0,0
2020-03-01 12:00,627767,697,467,,,,,,,0,0
2020-03-01 13:00,627767,697,467,,,,,,,0,0
2020-03-01 14:00,627767,697,467,,,,,,,0,0
2020-03-01 15:00,627767,697,467,,,,,,,0,0
2020-03-01 16:00,627767,697,467,,,,,,,0,0
2020-03-01 17:00,627767,697,467,,,,,,,0,0
2020-03-01 18:00,627767,697,467,,,,,,,0,0
2020-03-01 19:00,627767,697,467,,,,,,,0,0
2020-03-01 20:00,627767,697,467,,,,,,,0,0
2020-03-01 21:00,627767,697,467,,,,,,,0,0
2020-03-01 22:00,627767,697,467,,,,,,,0,0
2020-03-01 23:00,627767,697,467,152.4000092,1,180.6999969,1,57.29999924,1,0,0
2020-03-02 0:00,627767,697,467,348.5,1,413.2000122,1,78.90000153,1,1,0
2020-03-02 1:00,627767,697,467,405.5,1,480.7000122,1,196.6999969,1,1,0
2020-03-02 2:00,627767,697,467,281.5,1,333.7000122,1,467.3999939,1,1,0
2020-03-02 3:00,627767,697,467,562.9000244,1,667.2999878,1,248.8000031,1,1,0
2020-03-02 4:00,627767,697,467,621.4000244,1,736.7000122,1,206.5,1,1,0
2020-03-02 5:00,627767,697,467,621.4000244,1,736.7999878,1,167.6000061,1,1,0
2020-03-02 6:00,627767,697,467,556.7999878,1,660.1000366,1,131.6000061,1,1,0
2020-03-02 7:00,627767,697,467,433.8999939,1,514.4000244,1,99.20000458,1,1,0
2020-03-02 8:00,627767,697,467,274.7000122,1,325.7000122,1,61.20000076,1,0,0
2020-03-02 9:00,627767,697,467,,,,,,,0,0
2020-03-02 10:00,627767,697,467,,,,,,,0,0
2020-03-02 11:00,627767,697,467,,,,,,,0,0
2020-03-02 12:00,627767,697,467,,,,,,,0,0
2020-03-02 13:00,627767,697,467,,,,,,,0,0
2020-03-02 14:00,627767,697,467,,,,,,,0,0
2020-03-02 15:00,627767,697,467,,,,,,,0,0
2020-03-02 16:00,627767,697,467,,,,,,,0,0
2020-03-02 17:00,627767,697,467,,,,,,,0,0
2020-03-02 18:00,627767,697,467,,,,,,,0,0
2020-03-02 19:00,627767,697,467,,,,,,,0,0
2020-03-02 20:00,627767,697,467,,,,,,,0,0
2020-03-02 21:00,627767,697,467,,,,,,,0,0
2020-03-02 22:00,627767,697,467,,,,,,,0,0
2020-03-02 23:00,627767,697,467,132.6000061,1,157.1999969,1,83.5,1,0,0
2020-03-03 0:00,627767,697,467,255.1000061,1,291.7000122,1,184.8000031,1,1,0
2020-03-03 1:00,627767,697,467,425.3999939,1,486.3999939,1,196.6000061,1,1,0
2020-03-03 2:00,627767,697,467,575.7000122,1,658.2000122,1,180.8000031,1,1,0
2020-03-03 3:00,627767,697,467,364.2000122,1,416.5,1,478.8999939,1,1,0
2020-03-03 4:00,627767,697,467,173.9000092,1,198.8000031,1,692.2000122,1,1,0
2020-03-03 5:00,627767,697,467,173.8000031,1,198.8000031,1,645.7000122,1,1,0
2020-03-03 6:00,627767,697,467,289.3999939,1,330.8999939,1,419.2000122,1,1,0
2020-03-03 7:00,627767,697,467,170.9000092,1,195.4000092,1,379.5,1,1,0
2020-03-03 8:00,627767,697,467,111.9000015,1,127.9000015,1,235.6999969,1,0,0
2020-03-03 9:00,627767,697,467,,,,,,,0,0
2020-03-03 10:00,627767,697,467,,,,,,,0,0
2020-03-03 11:00,627767,697,467,,,,,,,0,0
2020-03-03 12:00,627767,697,467,,,,,,,0,0
2020-03-03 13:00,627767,697,467,,,,,,,0,0
2020-03-03 14:00,627767,697,467,,,,,,,0,0
2020-03-03 15:00,627767,697,467,,,,,,,0,0
2020-03-03 16:00,627767,697,467,,,,,,,0,0
2020-03-03 17:00,627767,697,467,,,,,,,0,0
2020-03-03 18:00,627767,697,467,,,,,,,0,0
2020-03-03 19:00,627767,697,467,,,,,,,0,0
2020-03-03 20:00,627767,697,467,,,,,,,0,0
2020-03-03 21:00,627767,697,467,,,,,,,0,0
2020-03-03 22:00,627767,697,467,,,,,,,0,0
2020-03-03 23:00,627767,697,467,126.8000031,1,145,1,99.70000458,1,0,0
2020-03-04 0:00,627767,697,467,187.5,1,215,1,258.8000183,1,1,0
2020-03-04 1:00,627767,697,467,380.7000122,1,436.6000061,1,246.3000031,1,1,0
2020-03-04 2:00,627767,697,467,495.1000061,1,567.7999878,1,266.8000183,1,1,0
2020-03-04 3:00,627767,697,467,596.9000244,1,684.5,1,242.6000061,1,1,0
2020-03-04 4:00,627767,697,467,478.7000122,1,549,1,382,1,1,0
2020-03-04 5:00,627767,697,467,410.5,1,470.8000183,1,405.5,1,1,0
2020-03-04 6:00,627767,697,467,504.5,1,578.6000366,1,200.6000061,1,1,0
2020-03-04 7:00,627767,697,467,387.2000122,1,444,1,159.8000031,1,1,0
2020-03-04 8:00,627767,697,467,212.9000092,1,244.1999969,1,134.8000031,1,0,0
2020-03-04 9:00,627767,697,467,,,,,,,0,0
2020-03-04 10:00,627767,697,467,,,,,,,0,0
2020-03-04 11:00,627767,697,467,,,,,,,0,0
2020-03-04 12:00,627767,697,467,,,,,,,0,0
2020-03-04 13:00,627767,697,467,,,,,,,0,0
2020-03-04 14:00,627767,697,467,,,,,,,0,0
2020-03-04 15:00,627767,697,467,,,,,,,0,0
2020-03-04 16:00,627767,697,467,,,,,,,0,0
2020-03-04 17:00,627767,697,467,,,,,,,0,0
2020-03-04 18:00,627767,697,467,,,,,,,0,0
2020-03-04 19:00,627767,697,467,,,,,,,0,0
2020-03-04 20:00,627767,697,467,,,,,,,0,0
2020-03-04 21:00,627767,697,467,,,,,,,0,0
2020-03-04 22:00,627767,697,467,,,,,,,0,0
2020-03-04 23:00,627767,697,467,115.5,1,132.4000092,1,116.0999985,1,0,0
2020-03-05 0:00,627767,697,467,152.6000061,1,174.9000092,1,299.8999939,1,1,0
