date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,626873,696,473,100.7000046,1,117.0999985,1,333.2000122,1,1,0
2020-03-01 1:00,626873,696,473,126.8000031,1,147.5,1,492.3999939,1,1,0
2020-03-01 2:00,626873,696,473,161.1000061,1,187.3000031,1,594.9000244,1,1,0
2020-03-01 3:00,626873,696,473,178.1999969,1,207.1999969,1,657.7000122,1,1,0
2020-03-01 4:00,626873,696,473,184.5,1,214.5,1,668.7999878,1,1,0
2020-03-01 5:00,626873,696,473,166.5,1,193.6000061,1,640.9000244,1,1,0
2020-03-01 6:00,626873,696,473,185.8000031,1,216,1,513,1,1,0
2020-03-01 7:00,626873,696,473,169.9000092,1,197.5,1,368.2000122,1,1,0
2020-03-01 8:00,626873,696,473,137.8000031,1,160.1999969,1,197.5,1,0,0
2020-03-01 9:00,626873,696,473,,,,,,,0,0
2020-03-01 10:00,626873,696,473,,,,,,,0,0
2020-03-01 11:00,626873,696,473,,,,,,,0,0
2020-03-01 12:00,626873,696,473,,,,,,,0,0
2020-03-01 13:00,626873,696,473,,,,,,,0,0
2020-03-01 14:00,626873,696,473,,,,,,,0,0
2020-03-01 15:00,626873,696,473,,,,,,,0,0
2020-03-01 16:00,626873,696,473,,,,,,,0,0
2020-03-01 17:00,626873,696,473,,,,,,,0,0
2020-03-01 18:00,626873,696,473,,,,,,,0,0
2020-03-01 19:00,626873,696,473,,,,,,,0,0
2020-03-01 20:00,626873,696,473,,,,,,,0,0
2020-03-01 21:00,626873,696,473,,,,,,,0,0
2020-03-01 22:00,626873,696,473,,,,,,,0,0
2020-03-01 23:00,626873,696,473,107.2000046,1,124.7000046,1,109.5999985,1,0,0
2020-03-02 0:00,626873,696,473,324.6000061,1,377.3000183,1,104.4000015,1,1,0
2020-03-02 1:00,626873,696,473,427.7000122,1,497.1000061,1,183.1999969,1,1,0
2020-03-02 2:00,626873,696,473,503.8000183,1,585.7000122,1,241.8000031,1,1,0
2020-03-02 3:00,626873,696,473,584.7999878,1,679.7999878,1,237.8000031,1,1,0
2020-03-02 4:00,626873,696,473,646.1000366,1,751,1,191.1999969,1,1,0
