date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,625976,695,476,106,1,122.2000046,1,329.3000183,1,1,0
2020-03-01 1:00,625976,695,476,182.1999969,1,210.1999969,1,436.5,1,1,0
2020-03-01 2:00,625976,695,476,112.2000046,1,129.4000092,1,647.1000366,1,1,0
2020-03-01 3:00,625976,695,476,141,1,162.6000061,1,697.7999878,1,1,0
2020-03-01 4:00,625976,695,476,186.3000031,1,214.8000031,1,668.1000366,1,1,0
2020-03-01 5:00,625976,695,476,156.6999969,1,180.6999969,1,651.7999878,1,1,0
2020-03-01 6:00,625976,695,476,156,1,179.9000092,1,544.6000366,1,1,0
2020-03-01 7:00,625976,695,476,128,1,147.6000061,1,412,1,1,0
2020-03-01 8:00,625976,695,476,136.1000061,1,156.9000092,1,199.3000031,1,0,0
2020-03-01 9:00,625976,695,476,,,,,,,0,0
2020-03-01 10:00,625976,695,476,,,,,,,0,0
2020-03-01 11:00,625976,695,476,,,,,,,0,0
2020-03-01 12:00,625976,695,476,,,,,,,0,0
2020-03-01 13:00,625976,695,476,,,,,,,0,0
2020-03-01 14:00,625976,695,476,,,,,,,0,0
2020-03-01 15:00,625976,695,476,,,,,,,0,0
2020-03-01 16:00,625976,695,476,,,,,,,0,0
2020-03-01 17:00,625976,695,476,,,,,,,0,0
2020-03-01 18:00,625976,695,476,,,,,,,0,0
2020-03-01 19:00,625976,695,476,,,,,,,0,0
2020-03-01 20:00,625976,695,476,,,,,,,0,0
2020-03-01 21:00,625976,695,476,,,,,,,0,0
2020-03-01 22:00,625976,695,476,,,,,,,0,0
2020-03-01 23:00,625976,695,476,174.6000061,1,201.3000031,1,41.70000076,1,0,0
2020-03-02 0:00,625976,695,476,328.5,1,378.8000183,1,103.8000031,1,1,0
2020-03-02 1:00,625976,695,476,374.8000183,1,432.2000122,1,242,1,1,0
2020-03-02 2:00,625976,695,476,466.6000061,1,538.1000366,1,284.8000183,1,1,0
2020-03-02 3:00,625976,695,476,621.9000244,1,717.1000366,1,204.1000061,1,1,0
2020-03-02 4:00,625976,695,476,639.2999878,1,737.2000122,1,205.5,1,1,0
2020-03-02 5:00,625976,695,476,632.6000366,1,729.5,1,171.4000092,1,1,0
2020-03-02 6:00,625976,695,476,564.9000244,1,651.5,1,135.8000031,1,1,0
2020-03-02 7:00,625976,695,476,443.2000122,1,511.1000061,1,99.09999847,1,1,0
2020-03-02 8:00,625976,695,476,278.1000061,1,320.7000122,1,62,1,0,0
2020-03-02 9:00,625976,695,476,,,,,,,0,0
2020-03-02 10:00,625976,695,476,,,,,,,0,0
2020-03-02 11:00,625976,695,476,,,,,,,0,0
2020-03-02 12:00,625976,695,476,,,,,,,0,0
2020-03-02 13:00,625976,695,476,,,,,,,0,0
2020-03-02 14:00,625976,695,476,,,,,,,0,0
2020-03-02 15:00,625976,695,476,,,,,,,0,0
2020-03-02 16:00,625976,695,476,,,,,,,0,0
2020-03-02 17:00,625976,695,476,,,,,,,0,0
2020-03-02 18:00,625976,695,476,,,,,,,0,0
2020-03-02 19:00,625976,695,476,,,,,,,0,0
2020-03-02 20:00,625976,695,476,,,,,,,0,0
2020-03-02 21:00,625976,695,476,,,,,,,0,0
2020-03-02 22:00,625976,695,476,,,,,,,0,0
2020-03-02 23:00,625976,695,476,118.0999985,1,136.1999969,1,105.3000031,1,0,0
2020-03-03 0:00,625976,695,476,295.3999939,1,343.2000122,1,140.8000031,1,1,0
2020-03-03 1:00,625976,695,476,450.6000061,1,523.5,1,164.9000092,1,1,0
2020-03-03 2:00,625976,695,476,386.3999939,1,448.8999939,1,369.7000122,1,1,0
2020-03-03 3:00,625976,695,476,395.8999939,1,460,1,439.8999939,1,1,0
2020-03-03 4:00,625976,695,476,248.4000092,1,288.6000061,1,610.7999878,1,1,0
2020-03-03 5:00,625976,695,476,315.3999939,1,366.3999939,1,493.3999939,1,1,0
2020-03-03 6:00,625976,695,476,132.5,1,154,1,575.9000244,1,1,0
2020-03-03 7:00,625976,695,476,175.8000031,1,204.3000031,1,368.6000061,1,1,0
2020-03-03 8:00,625976,695,476,64.5,1,74.90000153,1,280.1000061,1,0,0
2020-03-03 9:00,625976,695,476,,,,,,,0,0
2020-03-03 10:00,625976,695,476,,,,,,,0,0
2020-03-03 11:00,625976,695,476,,,,,,,0,0
2020-03-03 12:00,625976,695,476,,,,,,,0,0
2020-03-03 13:00,625976,695,476,,,,,,,0,0
2020-03-03 14:00,625976,695,476,,,,,,,0,0
2020-03-03 15:00,625976,695,476,,,,,,,0,0
2020-03-03 16:00,625976,695,476,,,,,,,0,0
2020-03-03 17:00,625976,695,476,,,,,,,0,0
2020-03-03 18:00,625976,695,476,,,,,,,0,0
