date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,625073,694,473,98.30000305,1,113.2000046,1,336.3999939,1,1,0
2020-03-01 1:00,625073,694,473,102.7000046,1,118.4000015,1,518.2999878,1,1,0
2020-03-01 2:00,625073,694,473,139,1,160.1000061,1,619,1,1,0
2020-03-01 3:00,625073,694,473,173.1999969,1,199.5,1,664.2999878,1,1,0
2020-03-01 4:00,625073,694,473,178,1,205.1000061,1,676.9000244,1,1,0
2020-03-01 5:00,625073,694,473,156.1000061,1,179.9000092,1,652.9000244,1,1,0
2020-03-01 6:00,625073,694,473,147.9000092,1,170.4000092,1,553.7000122,1,1,0
2020-03-01 7:00,625073,694,473,133.1000061,1,153.4000092,1,407.6000061,1,1,0
2020-03-01 8:00,625073,694,473,140,1,161.3000031,1,196.3000031,1,0,0
2020-03-01 9:00,625073,694,473,,,,,,,0,0
2020-03-01 10:00,625073,694,473,,,,,,,0,0
2020-03-01 11:00,625073,694,473,,,,,,,0,0
2020-03-01 12:00,625073,694,473,,,,,,,0,0
2020-03-01 13:00,625073,694,473,,,,,,,0,0
2020-03-01 14:00,625073,694,473,,,,,,,0,0
2020-03-01 15:00,625073,694,473,,,,,,,0,0
2020-03-01 16:00,625073,694,473,,,,,,,0,0
2020-03-01 17:00,625073,694,473,,,,,,,0,0
2020-03-01 18:00,625073,694,473,,,,,,,0,0
2020-03-01 19:00,625073,694,473,,,,,,,0,0
2020-03-01 20:00,625073,694,473,,,,,,,0,0
2020-03-01 21:00,625073,694,473,,,,,,,0,0
2020-03-01 22:00,625073,694,473,,,,,,,0,0
2020-03-01 23:00,625073,694,473,140.4000092,1,161.8000031,1,76.09999847,1,0,0
2020-03-02 0:00,625073,694,473,346.8000183,1,399.6000061,1,84.20000458,1,1,0
2020-03-02 1:00,625073,694,473,407.1000061,1,469,1,208.1999969,1,1,0
2020-03-02 2:00,625073,694,473,575.5,1,663.1000366,1,175.6999969,1,1,0
2020-03-02 3:00,625073,694,473,578.7000122,1,666.7999878,1,249.1000061,1,1,0
2020-03-02 4:00,625073,694,473,640.5,1,738,1,202.5,1,1,0
2020-03-02 5:00,625073,694,473,637.1000366,1,734.1000366,1,168.5,1,1,0
2020-03-02 6:00,625073,694,473,570.6000366,1,657.4000244,1,132.1000061,1,1,0
2020-03-02 7:00,625073,694,473,446.7000122,1,514.7000122,1,97.30000305,1,1,0
2020-03-02 8:00,625073,694,473,281.2000122,1,324,1,60.5,1,0,0
2020-03-02 9:00,625073,694,473,,,,,,,0,0
2020-03-02 10:00,625073,694,473,,,,,,,0,0
2020-03-02 11:00,625073,694,473,,,,,,,0,0
2020-03-02 12:00,625073,694,473,,,,,,,0,0
2020-03-02 13:00,625073,694,473,,,,,,,0,0
2020-03-02 14:00,625073,694,473,,,,,,,0,0
2020-03-02 15:00,625073,694,473,,,,,,,0,0
2020-03-02 16:00,625073,694,473,,,,,,,0,0
2020-03-02 17:00,625073,694,473,,,,,,,0,0
2020-03-02 18:00,625073,694,473,,,,,,,0,0
2020-03-02 19:00,625073,694,473,,,,,,,0,0
2020-03-02 20:00,625073,694,473,,,,,,,0,0
2020-03-02 21:00,625073,694,473,,,,,,,0,0
2020-03-02 22:00,625073,694,473,,,,,,,0,0
2020-03-02 23:00,625073,694,473,118.3000031,1,136.3000031,1,104.0999985,1,0,0
2020-03-03 0:00,625073,694,473,275.5,1,314.8000183,1,165.4000092,1,1,0
2020-03-03 1:00,625073,694,473,271.3999939,1,310.1000061,1,355.8999939,1,1,0
2020-03-03 2:00,625073,694,473,409.3999939,1,467.8000183,1,352.3000183,1,1,0
2020-03-03 3:00,625073,694,473,389.1000061,1,444.5,1,453.5,1,1,0
2020-03-03 4:00,625073,694,473,269.2000122,1,307.6000061,1,593.7000122,1,1,0
2020-03-03 5:00,625073,694,473,272.2000122,1,311,1,543.6000366,1,1,0
2020-03-03 6:00,625073,694,473,193.1000061,1,220.6000061,1,516.6000366,1,1,0
2020-03-03 7:00,625073,694,473,202.1000061,1,230.9000092,1,345.5,1,1,0
2020-03-03 8:00,625073,694,473,98.70000458,1,112.7000046,1,247.1000061,1,0,0
2020-03-03 9:00,625073,694,473,,,,,,,0,0
2020-03-03 10:00,625073,694,473,,,,,,,0,0
2020-03-03 11:00,625073,694,473,,,,,,,0,0
2020-03-03 12:00,625073,694,473,,,,,,,0,0
2020-03-03 13:00,625073,694,473,,,,,,,0,0
2020-03-03 14:00,625073,694,473,,,,,,,0,0
2020-03-03 15:00,625073,694,473,,,,,,,0,0
