date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,626876,696,476,93.59999847,1,108.8000031,1,341.6000061,1,1,0
2020-03-01 1:00,626876,696,476,207.6000061,1,241.4000092,1,408.7000122,1,1,0
2020-03-01 2:00,626876,696,476,133.3000031,1,154.9000092,1,624.5,1,1,0
2020-03-01 3:00,626876,696,476,131.1999969,1,152.6000061,1,707,1,1,0
2020-03-01 4:00,626876,696,476,194.3000031,1,225.9000092,1,658.5,1,1,0
2020-03-01 5:00,626876,696,476,154.1999969,1,179.3000031,1,653.4000244,1,1,0
2020-03-01 6:00,626876,696,476,151.4000092,1,176,1,548.4000244,1,1,0
2020-03-01 7:00,626876,696,476,127.5999985,1,148.4000092,1,411.5,1,1,0
2020-03-01 8:00,626876,696,476,141.6000061,1,164.6000061,1,192.6000061,1,0,0
2020-03-01 9:00,626876,696,476,,,,,,,0,0
2020-03-01 10:00,626876,696,476,,,,,,,0,0
2020-03-01 11:00,626876,696,476,,,,,,,0,0
2020-03-01 12:00,626876,696,476,,,,,,,0,0
2020-03-01 13:00,626876,696,476,,,,,,,0,0
2020-03-01 14:00,626876,696,476,,,,,,,0,0
2020-03-01 15:00,626876,696,476,,,,,,,0,0
2020-03-01 16:00,626876,696,476,,,,,,,0,0
2020-03-01 17:00,626876,696,476,,,,,,,0,0
2020-03-01 18:00,626876,696,476,,,,,,,0,0
2020-03-01 19:00,626876,696,476,,,,,,,0,0
2020-03-01 20:00,626876,696,476,,,,,,,0,0
2020-03-01 21:00,626876,696,476,,,,,,,0,0
2020-03-01 22:00,626876,696,476,,,,,,,0,0
2020-03-01 23:00,626876,696,476,122.2000046,1,142.1000061,1,95,1,0,0
2020-03-02 0:00,626876,696,476,255.8000031,1,297.3999939,1,177.1999969,1,1,0
2020-03-02 1:00,626876,696,476,352.3000183,1,409.6000061,1,262.6000061,1,1,0
2020-03-02 2:00,626876,696,476,431.6000061,1,501.8000183,1,317.7000122,1,1,0
2020-03-02 3:00,626876,696,476,632.7000122,1,735.6000366,1,187.8000031,1,1,0
2020-03-02 4:00,626876,696,476,642.4000244,1,746.9000244,1,194.8000031,1,1,0
2020-03-02 5:00,626876,696,476,628.6000366,1,730.7999878,1,162.1000061,1,1,0
2020-03-02 6:00,626876,696,476,557.6000366,1,648.2999878,1,128,1,1,0
2020-03-02 7:00,626876,696,476,435.6000061,1,506.5,1,93.5,1,1,0
2020-03-02 8:00,626876,696,476,275.1000061,1,319.8000183,1,62.70000076,1,0,0
2020-03-02 9:00,626876,696,476,,,,,,,0,0
2020-03-02 10:00,626876,696,476,,,,,,,0,0
2020-03-02 11:00,626876,696,476,,,,,,,0,0
2020-03-02 12:00,626876,696,476,,,,,,,0,0
2020-03-02 13:00,626876,696,476,,,,,,,0,0
2020-03-02 14:00,626876,696,476,,,,,,,0,0
2020-03-02 15:00,626876,696,476,,,,,,,0,0
2020-03-02 16:00,626876,696,476,,,,,,,0,0
2020-03-02 17:00,626876,696,476,,,,,,,0,0
2020-03-02 18:00,626876,696,476,,,,,,,0,0
2020-03-02 19:00,626876,696,476,,,,,,,0,0
2020-03-02 20:00,626876,696,476,,,,,,,0,0
2020-03-02 21:00,626876,696,476,,,,,,,0,0
2020-03-02 22:00,626876,696,476,,,,,,,0,0
2020-03-02 23:00,626876,696,476,113.5999985,1,132.1000061,1,109.0999985,1,0,0
2020-03-03 0:00,626876,696,476,265.5,1,314.3999939,1,166.9000092,1,1,0
2020-03-03 1:00,626876,696,476,435.3999939,1,515.6000366,1,172.3000031,1,1,0
2020-03-03 2:00,626876,696,476,240.6999969,1,285,1,517.2000122,1,1,0
2020-03-03 3:00,626876,696,476,380,1,450.1000061,1,449.1000061,1,1,0
2020-03-03 4:00,626876,696,476,214.1000061,1,253.6000061,1,642.5,1,1,0
2020-03-03 5:00,626876,696,476,206.8000031,1,244.9000092,1,602.9000244,1,1,0
2020-03-03 6:00,626876,696,476,130,1,154,1,576.1000366,1,1,0
2020-03-03 7:00,626876,696,476,172.6999969,1,204.6000061,1,368.6000061,1,1,0
2020-03-03 8:00,626876,696,476,71.09999847,1,84.20000458,1,271.8999939,1,0,0
2020-03-03 9:00,626876,696,476,,,,,,,0,0
2020-03-03 10:00,626876,696,476,,,,,,,0,0
2020-03-03 11:00,626876,696,476,,,,,,,0,0
2020-03-03 12:00,626876,696,476,,,,,,,0,0
2020-03-03 13:00,626876,696,476,,,,,,,0,0
2020-03-03 14:00,626876,696,476,,,,,,,0,0
2020-03-03 15:00,626876,696,476,,,,,,,0,0
2020-03-03 16:00,626876,696,476,,,,,,,0,0
2020-03-03 17:00,626876,696,476,,,,,,,0,0
2020-03-03 18:00,626876,696,476,,,,,,,0,0
2020-03-03 19:00,626876,696,476,,,,,,,0,0
2020-03-03 20:00,626876,696,476,,,,,,,0,0
2020-03-03 21:00,626876,696,476,,,,,,,0,0
2020-03-03 22:00,626876,696,476,,,,,,,0,0
2020-03-03 23:00,626876,696,476,135.1999969,1,160.1000061,1,89.09999847,1,0,0
2020-03-04 0:00,626876,696,476,208.1999969,1,246.6000061,1,233,1,1,0
2020-03-04 1:00,626876,696,476,419.1000061,1,496.3000183,1,194.6000061,1,1,0
2020-03-04 2:00,626876,696,476,466.6000061,1,552.6000366,1,281.7000122,1,1,0
2020-03-04 3:00,626876,696,476,617.2999878,1,731,1,201.1999969,1,1,0
2020-03-04 4:00,626876,696,476,595.1000366,1,704.7000122,1,241.5,1,1,0
2020-03-04 5:00,626876,696,476,428.6000061,1,507.6000061,1,371,1,1,0
2020-03-04 6:00,626876,696,476,311.8999939,1,369.3999939,1,386.5,1,1,0
2020-03-04 7:00,626876,696,476,359.8000183,1,426.1000061,1,173.1999969,1,1,0
2020-03-04 8:00,626876,696,476,264,1,312.7000122,1,70.09999847,1,0,0
2020-03-04 9:00,626876,696,476,,,,,,,0,0
2020-03-04 10:00,626876,696,476,,,,,,,0,0
2020-03-04 11:00,626876,696,476,,,,,,,0,0
2020-03-04 12:00,626876,696,476,,,,,,,0,0
2020-03-04 13:00,626876,696,476,,,,,,,0,0
2020-03-04 14:00,626876,696,476,,,,,,,0,0
2020-03-04 15:00,626876,696,476,,,,,,,0,0
2020-03-04 16:00,626876,696,476,,,,,,,0,0
2020-03-04 17:00,626876,696,476,,,,,,,0,0
2020-03-04 18:00,626876,696,476,,,,,,,0,0
2020-03-04 19:00,626876,696,476,,,,,,,0,0
2020-03-04 20:00,626876,696,476,,,,,,,0,0
2020-03-04 21:00,626876,696,476,,,,,,,0,0
2020-03-04 22:00,626876,696,476,,,,,,,0,0
2020-03-04 23:00,626876,696,476,176.6000061,1,209.1000061,1,50.20000076,1,0,0
2020-03-05 0:00,626876,696,476,277.8000183,1,327.8999939,1,165,1,1,0
2020-03-05 1:00,626876,696,476,376.7000122,1,444.6000061,1,246.1000061,1,1,0
2020-03-05 2:00,626876,696,476,510.8999939,1,603,1,241.1999969,1,1,0
2020-03-05 3:00,626876,696,476,552.2999878,1,651.9000244,1,276.8999939,1,1,0
2020-03-05 4:00,626876,696,476,628.6000366,1,742,1,212.5,1,1,0
2020-03-05 5:00,626876,696,476,579.9000244,1,684.5,1,216.1999969,1,1,0
2020-03-05 6:00,626876,696,476,539.1000366,1,636.2999878,1,150.5,1,1,0
2020-03-05 7:00,626876,696,476,436.1000061,1,514.7999878,1,97.20000458,1,1,0
2020-03-05 8:00,626876,696,476,281.6000061,1,332.3999939,1,55.90000153,1,0,0
2020-03-05 9:00,626876,696,476,,,,,,,0,0
2020-03-05 10:00,626876,696,476,,,,,,,0,0
2020-03-05 11:00,626876,696,476,,,,,,,0,0
2020-03-05 12:00,626876,696,476,,,,,,,0,0
2020-03-05 13:00,626876,696,476,,,,,,,0,0
2020-03-05 14:00,626876,696,476,,,,,,,0,0
2020-03-05 15:00,626876,696,476,,,,,,,0,0
2020-03-05 16:00,626876,696,476,,,,,,,0,0
2020-03-05 17:00,626876,696,476,,,,,,,0,0
2020-03-05 18:00,626876,696,476,,,,,,,0,0
2020-03-05 19:00,626876,696,476,,,,,,,0,0
2020-03-05 20:00,626876,696,476,,,,,,,0,0
2020-03-05 21:00,626876,696,476,,,,,,,0,0
2020-03-05 22:00,626876,696,476,,,,,,,0,0
2020-03-05 23:00,626876,696,476,194.6000061,1,229.6999969,1,41.90000153,1,0,0
2020-03-06 0:00,626876,696,476,373.5,1,432.6000061,1,84.40000153,1,1,0
2020-03-06 1:00,626876,696,476,509.2000122,1,589.7000122,1,120.7000046,1,1,0
2020-03-06 2:00,626876,696,476,602.4000244,1,697.6000366,1,161,1,1,0
2020-03-06 3:00,626876,696,476,640.2999878,1,741.5,1,201,1,1,0
2020-03-06 4:00,626876,696,476,431.7000122,1,499.8999939,1,434.3000183,1,1,0
