date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,625070,694,470,84.80000305,1,98.59999847,1,348.6000061,1,1,0
2020-03-01 1:00,625070,694,470,87.20000458,1,101.5,1,532.7000122,1,1,0
2020-03-01 2:00,625070,694,470,162.4000092,1,189,1,592.6000366,1,1,0
2020-03-01 3:00,625070,694,470,173.1000061,1,201.4000092,1,662.4000244,1,1,0
2020-03-01 4:00,625070,694,470,188.4000092,1,219.1999969,1,664.2999878,1,1,0
2020-03-01 5:00,625070,694,470,145.6000061,1,169.4000092,1,662.7000122,1,1,0
2020-03-01 6:00,625070,694,470,76.40000153,1,88.90000153,1,627.6000366,1,1,0
2020-03-01 7:00,625070,694,470,135.6999969,1,157.8000031,1,404.3999939,1,1,0
2020-03-01 8:00,625070,694,470,133.4000092,1,155.1999969,1,202.8000031,1,0,0
2020-03-01 9:00,625070,694,470,,,,,,,0,0
2020-03-01 10:00,625070,694,470,,,,,,,0,0
2020-03-01 11:00,625070,694,470,,,,,,,0,0
2020-03-01 12:00,625070,694,470,,,,,,,0,0
2020-03-01 13:00,625070,694,470,,,,,,,0,0
2020-03-01 14:00,625070,694,470,,,,,,,0,0
2020-03-01 15:00,625070,694,470,,,,,,,0,0
2020-03-01 16:00,625070,694,470,,,,,,,0,0
2020-03-01 17:00,625070,694,470,,,,,,,0,0
2020-03-01 18:00,625070,694,470,,,,,,,0,0
2020-03-01 19:00,625070,694,470,,,,,,,0,0
2020-03-01 20:00,625070,694,470,,,,,,,0,0
2020-03-01 21:00,625070,694,470,,,,,,,0,0
2020-03-01 22:00,625070,694,470,,,,,,,0,0
2020-03-01 23:00,625070,694,470,137.1000061,1,159.5,1,77.09999847,1,0,0
2020-03-02 0:00,625070,694,470,228,1,264.8000183,1,204.4000092,1,1,0
2020-03-02 1:00,625070,694,470,287,1,333.2000122,1,329.5,1,1,0
2020-03-02 2:00,625070,694,470,539.5,1,626.2999878,1,204.5,1,1,0
2020-03-02 3:00,625070,694,470,471.2000122,1,547.1000366,1,356.5,1,1,0
2020-03-02 4:00,625070,694,470,636.2999878,1,738.7000122,1,204.5,1,1,0
2020-03-02 5:00,625070,694,470,631.9000244,1,733.6000366,1,169.1000061,1,1,0
2020-03-02 6:00,625070,694,470,561.6000366,1,651.9000244,1,136.4000092,1,1,0
2020-03-02 7:00,625070,694,470,438.8999939,1,509.5,1,101.5999985,1,1,0
2020-03-02 8:00,625070,694,470,277.2000122,1,321.8000183,1,62.90000153,1,0,0
2020-03-02 9:00,625070,694,470,,,,,,,0,0
2020-03-02 10:00,625070,694,470,,,,,,,0,0
2020-03-02 11:00,625070,694,470,,,,,,,0,0
2020-03-02 12:00,625070,694,470,,,,,,,0,0
2020-03-02 13:00,625070,694,470,,,,,,,0,0
2020-03-02 14:00,625070,694,470,,,,,,,0,0
2020-03-02 15:00,625070,694,470,,,,,,,0,0
2020-03-02 16:00,625070,694,470,,,,,,,0,0
2020-03-02 17:00,625070,694,470,,,,,,,0,0
2020-03-02 18:00,625070,694,470,,,,,,,0,0
2020-03-02 19:00,625070,694,470,,,,,,,0,0
2020-03-02 20:00,625070,694,470,,,,,,,0,0
2020-03-02 21:00,625070,694,470,,,,,,,0,0
2020-03-02 22:00,625070,694,470,,,,,,,0,0
2020-03-02 23:00,625070,694,470,129.4000092,1,150.1999969,1,90.59999847,1,0,0
