date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,625080,694,480,0,1,0,1,534.6000366,1,1,0
2020-03-01 1:00,625080,694,480,111.4000015,1,128.9000092,1,510.6000061,1,1,0
2020-03-01 2:00,625080,694,480,97.5,1,112.8000031,1,662.7000122,1,1,0
2020-03-01 3:00,625080,694,480,128.6000061,1,148.8000031,1,710.4000244,1,1,0
2020-03-01 4:00,625080,694,480,198.4000092,1,229.6000061,1,654.7999878,1,1,0
2020-03-01 5:00,625080,694,480,120.2000046,1,139.1000061,1,688.7999878,1,1,0
2020-03-01 6:00,625080,694,480,153.1000061,1,177.1000061,1,546.2999878,1,1,0
2020-03-01 7:00,625080,694,480,110.0999985,1,127.4000015,1,429,1,1,0
2020-03-01 8:00,625080,694,480,144.4000092,1,167.1000061,1,188.8000031,1,0,0
2020-03-01 9:00,625080,694,480,,,,,,,0,0
2020-03-01 10:00,625080,694,480,,,,,,,0,0
2020-03-01 11:00,625080,694,480,,,,,,,0,0
2020-03-01 12:00,625080,694,480,,,,,,,0,0
2020-03-01 13:00,625080,694,480,,,,,,,0,0
2020-03-01 14:00,625080,694,480,,,,,,,0,0
2020-03-01 15:00,625080,694,480,,,,,,,0,0
2020-03-01 16:00,625080,694,480,,,,,,,0,0
2020-03-01 17:00,625080,694,480,,,,,,,0,0
2020-03-01 18:00,625080,694,480,,,,,,,0,0
2020-03-01 19:00,625080,694,480,,,,,,,0,0
2020-03-01 20:00,625080,694,480,,,,,,,0,0
2020-03-01 21:00,625080,694,480,,,,,,,0,0
2020-03-01 22:00,625080,694,480,,,,,,,0,0
2020-03-01 23:00,625080,694,480,140,1,162,1,78.40000153,1,0,0
2020-03-02 0:00,625080,694,480,358,1,414.2000122,1,81.09999847,1,1,0
2020-03-02 1:00,625080,694,480,450.3000183,1,521,1,163.1999969,1,1,0
2020-03-02 2:00,625080,694,480,592.2999878,1,685.2999878,1,161.1000061,1,1,0
2020-03-02 3:00,625080,694,480,635.2000122,1,735,1,193,1,1,0
2020-03-02 4:00,625080,694,480,645.5,1,746.9000244,1,198.6000061,1,1,0
2020-03-02 5:00,625080,694,480,637.5,1,737.6000366,1,165.3000031,1,1,0
2020-03-02 6:00,625080,694,480,566.9000244,1,655.9000244,1,132,1,1,0
2020-03-02 7:00,625080,694,480,443.3000183,1,512.9000244,1,96.90000153,1,1,0
2020-03-02 8:00,625080,694,480,278.8000183,1,322.6000061,1,59.5,1,0,0
2020-03-02 9:00,625080,694,480,,,,,,,0,0
2020-03-02 10:00,625080,694,480,,,,,,,0,0
2020-03-02 11:00,625080,694,480,,,,,,,0,0
2020-03-02 12:00,625080,694,480,,,,,,,0,0
2020-03-02 13:00,625080,694,480,,,,,,,0,0
2020-03-02 14:00,625080,694,480,,,,,,,0,0
2020-03-02 15:00,625080,694,480,,,,,,,0,0
2020-03-02 16:00,625080,694,480,,,,,,,0,0
2020-03-02 17:00,625080,694,480,,,,,,,0,0
2020-03-02 18:00,625080,694,480,,,,,,,0,0
2020-03-02 19:00,625080,694,480,,,,,,,0,0
2020-03-02 20:00,625080,694,480,,,,,,,0,0
2020-03-02 21:00,625080,694,480,,,,,,,0,0
2020-03-02 22:00,625080,694,480,,,,,,,0,0
2020-03-02 23:00,625080,694,480,118.5999985,1,137.1999969,1,105.8000031,1,0,0
2020-03-03 0:00,625080,694,480,374.2000122,1,432.1000061,1,62.20000076,1,1,0
2020-03-03 1:00,625080,694,480,405.2000122,1,467.8000183,1,216,1,1,0
2020-03-03 2:00,625080,694,480,223.8000031,1,258.3999939,1,541.6000366,1,1,0
2020-03-03 3:00,625080,694,480,391.1000061,1,451.6000061,1,447.6000061,1,1,0
2020-03-03 4:00,625080,694,480,261.2000122,1,301.5,1,599,1,1,0
2020-03-03 5:00,625080,694,480,248.4000092,1,286.8000183,1,564.5,1,1,0
2020-03-03 6:00,625080,694,480,102.7000046,1,118.5999985,1,606.7999878,1,1,0
