date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,636769,707,469,124.0999985,1,142.3000031,1,310.8999939,1,1,0
2020-03-01 1:00,636769,707,469,227.6000061,1,260.8999939,1,391.5,1,1,0
2020-03-01 2:00,636769,707,469,163.6999969,1,187.6000061,1,596.2999878,1,1,0
2020-03-01 3:00,636769,707,469,243,1,278.5,1,595.7999878,1,1,0
2020-03-01 4:00,636769,707,469,206.1999969,1,236.3000031,1,651.7000122,1,1,0
2020-03-01 5:00,636769,707,469,220.8000031,1,253.1000061,1,590.2999878,1,1,0
2020-03-01 6:00,636769,707,469,50.40000153,1,57.70000076,1,658.2000122,1,1,0
2020-03-01 7:00,636769,707,469,145.6999969,1,167,1,398.3999939,1,1,0
2020-03-01 8:00,636769,707,469,151.6000061,1,173.8000031,1,187.9000092,1,0,0
2020-03-01 9:00,636769,707,469,,,,,,,0,0
2020-03-01 10:00,636769,707,469,,,,,,,0,0
2020-03-01 11:00,636769,707,469,,,,,,,0,0
2020-03-01 12:00,636769,707,469,,,,,,,0,0
2020-03-01 13:00,636769,707,469,,,,,,,0,0
2020-03-01 14:00,636769,707,469,,,,,,,0,0
2020-03-01 15:00,636769,707,469,,,,,,,0,0
2020-03-01 16:00,636769,707,469,,,,,,,0,0
2020-03-01 17:00,636769,707,469,,,,,,,0,0
2020-03-01 18:00,636769,707,469,,,,,,,0,0
2020-03-01 19:00,636769,707,469,,,,,,,0,0
2020-03-01 20:00,636769,707,469,,,,,,,0,0
2020-03-01 21:00,636769,707,469,,,,,,,0,0
2020-03-01 22:00,636769,707,469,,,,,,,0,0
2020-03-01 23:00,636769,707,469,175.1000061,1,200.6999969,1,44,1,0,0
2020-03-02 0:00,636769,707,469,356.3000183,1,408.5,1,83.90000153,1,1,0
2020-03-02 1:00,636769,707,469,501.3999939,1,574.7000122,1,123.4000015,1,1,0
