date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,635876,706,476,90.40000153,1,105,1,346.6000061,1,1,0
2020-03-01 1:00,635876,706,476,181.1000061,1,210.5,1,438.5,1,1,0
2020-03-01 2:00,635876,706,476,169.8000031,1,197.4000092,1,588.6000366,1,1,0
2020-03-01 3:00,635876,706,476,185.8000031,1,215.9000092,1,652.6000366,1,1,0
2020-03-01 4:00,635876,706,476,211.3000031,1,245.6000061,1,643.2999878,1,1,0
2020-03-01 5:00,635876,706,476,221.6000061,1,257.5,1,585.5,1,1,0
2020-03-01 6:00,635876,706,476,153.6999969,1,178.6000061,1,548.2000122,1,1,0
2020-03-01 7:00,635876,706,476,156.5,1,181.8000031,1,383.2000122,1,1,0
2020-03-01 8:00,635876,706,476,142.3000031,1,165.4000092,1,193.1000061,1,0,0
2020-03-01 9:00,635876,706,476,,,,,,,0,0
2020-03-01 10:00,635876,706,476,,,,,,,0,0
2020-03-01 11:00,635876,706,476,,,,,,,0,0
2020-03-01 12:00,635876,706,476,,,,,,,0,0
2020-03-01 13:00,635876,706,476,,,,,,,0,0
2020-03-01 14:00,635876,706,476,,,,,,,0,0
2020-03-01 15:00,635876,706,476,,,,,,,0,0
2020-03-01 16:00,635876,706,476,,,,,,,0,0
2020-03-01 17:00,635876,706,476,,,,,,,0,0
2020-03-01 18:00,635876,706,476,,,,,,,0,0
2020-03-01 19:00,635876,706,476,,,,,,,0,0
2020-03-01 20:00,635876,706,476,,,,,,,0,0
2020-03-01 21:00,635876,706,476,,,,,,,0,0
2020-03-01 22:00,635876,706,476,,,,,,,0,0
2020-03-01 23:00,635876,706,476,174.9000092,1,203.3000031,1,41.10000229,1,0,0
2020-03-02 0:00,635876,706,476,345.5,1,403.2000122,1,89.30000305,1,1,0
2020-03-02 1:00,635876,706,476,488.5,1,570.1000366,1,128,1,1,0
2020-03-02 2:00,635876,706,476,583.9000244,1,681.4000244,1,165.4000092,1,1,0
2020-03-02 3:00,635876,706,476,619,1,722.4000244,1,203.9000092,1,1,0
2020-03-02 4:00,635876,706,476,622.2000122,1,726.1000366,1,215.6999969,1,1,0
2020-03-02 5:00,635876,706,476,618.7000122,1,722,1,178.9000092,1,1,0
2020-03-02 6:00,635876,706,476,556.2999878,1,649.2000122,1,139.3000031,1,1,0
2020-03-02 7:00,635876,706,476,435.8000183,1,508.5,1,102.5,1,1,0
2020-03-02 8:00,635876,706,476,276.2000122,1,322.3000183,1,62,1,0,0
2020-03-02 9:00,635876,706,476,,,,,,,0,0
2020-03-02 10:00,635876,706,476,,,,,,,0,0
2020-03-02 11:00,635876,706,476,,,,,,,0,0
2020-03-02 12:00,635876,706,476,,,,,,,0,0
2020-03-02 13:00,635876,706,476,,,,,,,0,0
2020-03-02 14:00,635876,706,476,,,,,,,0,0
2020-03-02 15:00,635876,706,476,,,,,,,0,0
2020-03-02 16:00,635876,706,476,,,,,,,0,0
2020-03-02 17:00,635876,706,476,,,,,,,0,0
2020-03-02 18:00,635876,706,476,,,,,,,0,0
2020-03-02 19:00,635876,706,476,,,,,,,0,0
2020-03-02 20:00,635876,706,476,,,,,,,0,0
2020-03-02 21:00,635876,706,476,,,,,,,0,0
2020-03-02 22:00,635876,706,476,,,,,,,0,0
2020-03-02 23:00,635876,706,476,130.5,1,152.3000031,1,92.09999847,1,0,0
2020-03-03 0:00,635876,706,476,217.6999969,1,251.1999969,1,225.3000031,1,1,0
2020-03-03 1:00,635876,706,476,204.6999969,1,236.3000031,1,425.3000183,1,1,0
2020-03-03 2:00,635876,706,476,268.3000183,1,309.6000061,1,497.5,1,1,0
2020-03-03 3:00,635876,706,476,395.6000061,1,456.5,1,445.7000122,1,1,0
2020-03-03 4:00,635876,706,476,153,1,176.6000061,1,714.2000122,1,1,0
2020-03-03 5:00,635876,706,476,191.5,1,221,1,626.7000122,1,1,0
2020-03-03 6:00,635876,706,476,249.5,1,287.8999939,1,457.8999939,1,1,0
2020-03-03 7:00,635876,706,476,139.8000031,1,161.3000031,1,409.1000061,1,1,0
2020-03-03 8:00,635876,706,476,129.3000031,1,149.1999969,1,214.8000031,1,0,0
2020-03-03 9:00,635876,706,476,,,,,,,0,0
2020-03-03 10:00,635876,706,476,,,,,,,0,0
2020-03-03 11:00,635876,706,476,,,,,,,0,0
2020-03-03 12:00,635876,706,476,,,,,,,0,0
2020-03-03 13:00,635876,706,476,,,,,,,0,0
2020-03-03 14:00,635876,706,476,,,,,,,0,0
2020-03-03 15:00,635876,706,476,,,,,,,0,0
2020-03-03 16:00,635876,706,476,,,,,,,0,0
2020-03-03 17:00,635876,706,476,,,,,,,0,0
2020-03-03 18:00,635876,706,476,,,,,,,0,0
2020-03-03 19:00,635876,706,476,,,,,,,0,0
2020-03-03 20:00,635876,706,476,,,,,,,0,0
2020-03-03 21:00,635876,706,476,,,,,,,0,0
2020-03-03 22:00,635876,706,476,,,,,,,0,0
2020-03-03 23:00,635876,706,476,171.1000061,1,197.5,1,56.5,1,0,0
2020-03-04 0:00,635876,706,476,260,1,295.8000183,1,190.3000031,1,1,0
2020-03-04 1:00,635876,706,476,484.3999939,1,551.1000366,1,147.4000092,1,1,0
2020-03-04 2:00,635876,706,476,562.5,1,639.9000244,1,205.5,1,1,0
2020-03-04 3:00,635876,706,476,618.4000244,1,703.4000244,1,228.4000092,1,1,0
2020-03-04 4:00,635876,706,476,632.2999878,1,719.2000122,1,230.9000092,1,1,0
2020-03-04 5:00,635876,706,476,385.8999939,1,439,1,435,1,1,0
