date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,632286,702,486,176.1999969,1,205.9000092,1,258.3000183,1,1,0
2020-03-01 1:00,632286,702,486,166.3000031,1,194.3000031,1,454.7000122,1,1,0
2020-03-01 2:00,632286,702,486,124.3000031,1,145.3000031,1,636.2000122,1,1,0
2020-03-01 3:00,632286,702,486,169.3000031,1,197.8000031,1,668.7000122,1,1,0
2020-03-01 4:00,632286,702,486,239.8000031,1,280.2000122,1,611.1000366,1,1,0
2020-03-01 5:00,632286,702,486,130.5,1,152.5,1,677.7999878,1,1,0
2020-03-01 6:00,632286,702,486,160.1000061,1,187.1000061,1,537.7000122,1,1,0
2020-03-01 7:00,632286,702,486,143.5,1,167.6999969,1,392.3999939,1,1,0
2020-03-01 8:00,632286,702,486,169.3000031,1,197.9000092,1,160.1999969,1,0,0
2020-03-01 9:00,632286,702,486,,,,,,,0,0
2020-03-01 10:00,632286,702,486,,,,,,,0,0
2020-03-01 11:00,632286,702,486,,,,,,,0,0
2020-03-01 12:00,632286,702,486,,,,,,,0,0
2020-03-01 13:00,632286,702,486,,,,,,,0,0
2020-03-01 14:00,632286,702,486,,,,,,,0,0
2020-03-01 15:00,632286,702,486,,,,,,,0,0
2020-03-01 16:00,632286,702,486,,,,,,,0,0
2020-03-01 17:00,632286,702,486,,,,,,,0,0
2020-03-01 18:00,632286,702,486,,,,,,,0,0
2020-03-01 19:00,632286,702,486,,,,,,,0,0
2020-03-01 20:00,632286,702,486,,,,,,,0,0
2020-03-01 21:00,632286,702,486,,,,,,,0,0
2020-03-01 22:00,632286,702,486,,,,,,,0,0
2020-03-01 23:00,632286,702,486,172.1999969,1,201.1999969,1,48.20000076,1,0,0
2020-03-02 0:00,632286,702,486,349.6000061,1,409.2000122,1,87.20000458,1,1,0
2020-03-02 1:00,632286,702,486,490.6000061,1,574.2000122,1,126.5,1,1,0
2020-03-02 2:00,632286,702,486,581.4000244,1,680.5,1,166.6999969,1,1,0
2020-03-02 3:00,632286,702,486,620.6000366,1,726.2999878,1,201,1,1,0
2020-03-02 4:00,632286,702,486,622,1,728,1,213.4000092,1,1,0
2020-03-02 5:00,632286,702,486,619.2000122,1,724.7000122,1,175.3000031,1,1,0
2020-03-02 6:00,632286,702,486,555.2999878,1,650,1,136.4000092,1,1,0
