date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,637667,708,467,104.5999985,1,117.9000015,1,325.1000061,1,1,0
2020-03-01 1:00,637667,708,467,191.8000031,1,203.4000092,1,430.1000061,1,1,0
2020-03-01 2:00,637667,708,467,152.8000031,1,159.4000092,1,611.6000366,1,1,0
2020-03-01 3:00,637667,708,467,258.8999939,1,269,1,587.6000366,1,1,0
2020-03-01 4:00,637667,708,467,173.8000031,1,180.5,1,691,1,1,0
2020-03-01 5:00,637667,708,467,210.1000061,1,218.6000061,1,608.1000366,1,1,0
2020-03-01 6:00,637667,708,467,89,1,93.30000305,1,621.1000366,1,1,0
2020-03-01 7:00,637667,708,467,158.6000061,1,171.1000061,1,384.7000122,1,1,0
2020-03-01 8:00,637667,708,467,137.1999969,1,165.5,1,185.6000061,1,0,0
2020-03-01 9:00,637667,708,467,,,,,,,0,0
2020-03-01 10:00,637667,708,467,,,,,,,0,0
2020-03-01 11:00,637667,708,467,,,,,,,0,0
2020-03-01 12:00,637667,708,467,,,,,,,0,0
2020-03-01 13:00,637667,708,467,,,,,,,0,0
2020-03-01 14:00,637667,708,467,,,,,,,0,0
2020-03-01 15:00,637667,708,467,,,,,,,0,0
2020-03-01 16:00,637667,708,467,,,,,,,0,0
2020-03-01 17:00,637667,708,467,,,,,,,0,0
2020-03-01 18:00,637667,708,467,,,,,,,0,0
2020-03-01 19:00,637667,708,467,,,,,,,0,0
2020-03-01 20:00,637667,708,467,,,,,,,0,0
2020-03-01 21:00,637667,708,467,,,,,,,0,0
2020-03-01 22:00,637667,708,467,,,,,,,0,0
2020-03-01 23:00,637667,708,467,111,1,161.6000061,1,47.90000153,1,0,0
2020-03-02 0:00,637667,708,467,312.3999939,1,351.1000061,1,76.70000458,1,1,0
2020-03-02 1:00,637667,708,467,485.3999939,1,514.2000122,1,98.20000458,1,1,0
2020-03-02 2:00,637667,708,467,597.1000366,1,622.7999878,1,123.3000031,1,1,0
2020-03-02 3:00,637667,708,467,654.6000366,1,680.1000366,1,142.5,1,1,0
2020-03-02 4:00,637667,708,467,733.5,1,761.6000366,1,136.1999969,1,1,0
2020-03-02 5:00,637667,708,467,645.2999878,1,671.2000122,1,127.5999985,1,1,0
2020-03-02 6:00,637667,708,467,613.6000366,1,642.9000244,1,96.20000458,1,1,0
2020-03-02 7:00,637667,708,467,417.2000122,1,449.6000061,1,87.09999847,1,1,0
2020-03-02 8:00,637667,708,467,230.5,1,277.2000122,1,59.29999924,1,0,0
2020-03-02 9:00,637667,708,467,,,,,,,0,0
2020-03-02 10:00,637667,708,467,,,,,,,0,0
2020-03-02 11:00,637667,708,467,,,,,,,0,0
2020-03-02 12:00,637667,708,467,,,,,,,0,0
2020-03-02 13:00,637667,708,467,,,,,,,0,0
2020-03-02 14:00,637667,708,467,,,,,,,0,0
2020-03-02 15:00,637667,708,467,,,,,,,0,0
2020-03-02 16:00,637667,708,467,,,,,,,0,0
2020-03-02 17:00,637667,708,467,,,,,,,0,0
2020-03-02 18:00,637667,708,467,,,,,,,0,0
2020-03-02 19:00,637667,708,467,,,,,,,0,0
2020-03-02 20:00,637667,708,467,,,,,,,0,0
2020-03-02 21:00,637667,708,467,,,,,,,0,0
2020-03-02 22:00,637667,708,467,,,,,,,0,0
2020-03-02 23:00,637667,708,467,91.40000153,1,131.5,1,99.40000153,1,0,0
2020-03-03 0:00,637667,708,467,212.9000092,1,238.6999969,1,218.9000092,1,1,0
2020-03-03 1:00,637667,708,467,296.2000122,1,313.5,1,334.1000061,1,1,0
2020-03-03 2:00,637667,708,467,383,1,399.3000183,1,390.3999939,1,1,0
2020-03-03 3:00,637667,708,467,471.2000122,1,489.5,1,384.7000122,1,1,0
2020-03-03 4:00,637667,708,467,264.6000061,1,274.7000122,1,609.2000122,1,1,0
2020-03-03 5:00,637667,708,467,244,1,253.8000031,1,582.6000366,1,1,0
2020-03-03 6:00,637667,708,467,274.2000122,1,287.2000122,1,442.3999939,1,1,0
2020-03-03 7:00,637667,708,467,160.8000031,1,173,1,390.3999939,1,1,0
2020-03-03 8:00,637667,708,467,112.2000046,1,134.5,1,222.6000061,1,0,0
2020-03-03 9:00,637667,708,467,,,,,,,0,0
2020-03-03 10:00,637667,708,467,,,,,,,0,0
2020-03-03 11:00,637667,708,467,,,,,,,0,0
2020-03-03 12:00,637667,708,467,,,,,,,0,0
2020-03-03 13:00,637667,708,467,,,,,,,0,0
2020-03-03 14:00,637667,708,467,,,,,,,0,0
2020-03-03 15:00,637667,708,467,,,,,,,0,0
2020-03-03 16:00,637667,708,467,,,,,,,0,0
2020-03-03 17:00,637667,708,467,,,,,,,0,0
2020-03-03 18:00,637667,708,467,,,,,,,0,0
2020-03-03 19:00,637667,708,467,,,,,,,0,0
2020-03-03 20:00,637667,708,467,,,,,,,0,0
2020-03-03 21:00,637667,708,467,,,,,,,0,0
2020-03-03 22:00,637667,708,467,,,,,,,0,0
2020-03-03 23:00,637667,708,467,115.3000031,1,164,1,73.30000305,1,0,0
2020-03-04 0:00,637667,708,467,161.1999969,1,180.1999969,1,280.3000183,1,1,0
2020-03-04 1:00,637667,708,467,412.7000122,1,436.5,1,220.6999969,1,1,0
2020-03-04 2:00,637667,708,467,435,1,453.3999939,1,343.1000061,1,1,0
2020-03-04 3:00,637667,708,467,359.3999939,1,373.3000183,1,501.2000122,1,1,0
2020-03-04 4:00,637667,708,467,631.4000244,1,655.5,1,247.1999969,1,1,0
2020-03-04 5:00,637667,708,467,619,1,643.6000366,1,154.1000061,1,1,0
2020-03-04 6:00,637667,708,467,465.5,1,487.3999939,1,253.6999969,1,1,0
2020-03-04 7:00,637667,708,467,406.7000122,1,437.3000183,1,101.5999985,1,1,0
2020-03-04 8:00,637667,708,467,236.9000092,1,283,1,60.40000153,1,0,0
2020-03-04 9:00,637667,708,467,,,,,,,0,0
2020-03-04 10:00,637667,708,467,,,,,,,0,0
2020-03-04 11:00,637667,708,467,,,,,,,0,0
2020-03-04 12:00,637667,708,467,,,,,,,0,0
2020-03-04 13:00,637667,708,467,,,,,,,0,0
2020-03-04 14:00,637667,708,467,,,,,,,0,0
2020-03-04 15:00,637667,708,467,,,,,,,0,0
2020-03-04 16:00,637667,708,467,,,,,,,0,0
2020-03-04 17:00,637667,708,467,,,,,,,0,0
2020-03-04 18:00,637667,708,467,,,,,,,0,0
2020-03-04 19:00,637667,708,467,,,,,,,0,0
2020-03-04 20:00,637667,708,467,,,,,,,0,0
2020-03-04 21:00,637667,708,467,,,,,,,0,0
2020-03-04 22:00,637667,708,467,,,,,,,0,0
2020-03-04 23:00,637667,708,467,122.9000015,1,172.9000092,1,51.20000076,1,0,0
2020-03-05 0:00,637667,708,467,321.6000061,1,358.6000061,1,82.70000458,1,1,0
2020-03-05 1:00,637667,708,467,487.8999939,1,515.6000366,1,108.4000015,1,1,0
