date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,633159,703,459,142.1999969,1,173.1000061,1,279.6000061,1,1,0
2020-03-01 1:00,633159,703,459,149.5,1,182,1,459.2000122,1,1,0
2020-03-01 2:00,633159,703,459,130.3000031,1,158.6000061,1,619.7999878,1,1,0
2020-03-01 3:00,633159,703,459,148.1000061,1,180.1999969,1,682.5,1,1,0
2020-03-01 4:00,633159,703,459,158,1,192.3000031,1,690.6000366,1,1,0
2020-03-01 5:00,633159,703,459,174.8000031,1,212.6999969,1,626.7999878,1,1,0
2020-03-01 6:00,633159,703,459,86.5,1,105.2000046,1,616.7000122,1,1,0
2020-03-01 7:00,633159,703,459,173,1,210.5,1,361.3999939,1,1,0
2020-03-01 8:00,633159,703,459,129.9000092,1,158.1000061,1,204.6999969,1,0,0
2020-03-01 9:00,633159,703,459,,,,,,,0,0
2020-03-01 10:00,633159,703,459,,,,,,,0,0
2020-03-01 11:00,633159,703,459,,,,,,,0,0
2020-03-01 12:00,633159,703,459,,,,,,,0,0
2020-03-01 13:00,633159,703,459,,,,,,,0,0
2020-03-01 14:00,633159,703,459,,,,,,,0,0
2020-03-01 15:00,633159,703,459,,,,,,,0,0
2020-03-01 16:00,633159,703,459,,,,,,,0,0
2020-03-01 17:00,633159,703,459,,,,,,,0,0
2020-03-01 18:00,633159,703,459,,,,,,,0,0
2020-03-01 19:00,633159,703,459,,,,,,,0,0
2020-03-01 20:00,633159,703,459,,,,,,,0,0
2020-03-01 21:00,633159,703,459,,,,,,,0,0
2020-03-01 22:00,633159,703,459,,,,,,,0,0
2020-03-01 23:00,633159,703,459,142,1,172.8000031,1,62.20000076,1,0,0
2020-03-02 0:00,633159,703,459,310.2000122,1,372.8999939,1,105.0999985,1,1,0
2020-03-02 1:00,633159,703,459,461.5,1,554.7999878,1,134.8000031,1,1,0
2020-03-02 2:00,633159,703,459,545.1000366,1,655.2999878,1,178.3000031,1,1,0
2020-03-02 3:00,633159,703,459,581.2000122,1,698.6000366,1,218.9000092,1,1,0
2020-03-02 4:00,633159,703,459,578.2000122,1,695.1000366,1,243.3000031,1,1,0
2020-03-02 5:00,633159,703,459,600,1,721.2000122,1,180.4000092,1,1,0
2020-03-02 6:00,633159,703,459,535.9000244,1,644.2000122,1,145.1000061,1,1,0
2020-03-02 7:00,633159,703,459,409.8999939,1,492.7000122,1,117.0999985,1,1,0
2020-03-02 8:00,633159,703,459,269.1000061,1,323.5,1,65.40000153,1,0,0
2020-03-02 9:00,633159,703,459,,,,,,,0,0
2020-03-02 10:00,633159,703,459,,,,,,,0,0
2020-03-02 11:00,633159,703,459,,,,,,,0,0
2020-03-02 12:00,633159,703,459,,,,,,,0,0
2020-03-02 13:00,633159,703,459,,,,,,,0,0
2020-03-02 14:00,633159,703,459,,,,,,,0,0
2020-03-02 15:00,633159,703,459,,,,,,,0,0
2020-03-02 16:00,633159,703,459,,,,,,,0,0
