date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,636774,707,474,95.30000305,1,110.3000031,1,341.2000122,1,1,0
2020-03-01 1:00,636774,707,474,175.1000061,1,202.5,1,445.2000122,1,1,0
2020-03-01 2:00,636774,707,474,142.9000092,1,165.3000031,1,617.1000366,1,1,0
2020-03-01 3:00,636774,707,474,210.4000092,1,243.4000092,1,627.7000122,1,1,0
2020-03-01 4:00,636774,707,474,208.6000061,1,241.3000031,1,647.2000122,1,1,0
2020-03-01 5:00,636774,707,474,240.1000061,1,277.8000183,1,567.5,1,1,0
2020-03-01 6:00,636774,707,474,140.1999969,1,162.1999969,1,563.2999878,1,1,0
2020-03-01 7:00,636774,707,474,146.5,1,169.5,1,394.8000183,1,1,0
2020-03-01 8:00,636774,707,474,155,1,179.3000031,1,181.1999969,1,0,0
2020-03-01 9:00,636774,707,474,,,,,,,0,0
2020-03-01 10:00,636774,707,474,,,,,,,0,0
2020-03-01 11:00,636774,707,474,,,,,,,0,0
2020-03-01 12:00,636774,707,474,,,,,,,0,0
2020-03-01 13:00,636774,707,474,,,,,,,0,0
2020-03-01 14:00,636774,707,474,,,,,,,0,0
2020-03-01 15:00,636774,707,474,,,,,,,0,0
2020-03-01 16:00,636774,707,474,,,,,,,0,0
2020-03-01 17:00,636774,707,474,,,,,,,0,0
2020-03-01 18:00,636774,707,474,,,,,,,0,0
2020-03-01 19:00,636774,707,474,,,,,,,0,0
2020-03-01 20:00,636774,707,474,,,,,,,0,0
2020-03-01 21:00,636774,707,474,,,,,,,0,0
2020-03-01 22:00,636774,707,474,,,,,,,0,0
2020-03-01 23:00,636774,707,474,171.6999969,1,198.6999969,1,46.79999924,1,0,0
2020-03-02 0:00,636774,707,474,349.1000061,1,405.2000122,1,87.5,1,1,0
2020-03-02 1:00,636774,707,474,490.8999939,1,569.7000122,1,127.9000015,1,1,0
2020-03-02 2:00,636774,707,474,584,1,677.7999878,1,167.6999969,1,1,0
2020-03-02 3:00,636774,707,474,621.2000122,1,720.9000244,1,204.8000031,1,1,0
2020-03-02 4:00,636774,707,474,622.2000122,1,722.1000366,1,218.6000061,1,1,0
2020-03-02 5:00,636774,707,474,623,1,723,1,178.4000092,1,1,0
2020-03-02 6:00,636774,707,474,562.4000244,1,652.7000122,1,137.1999969,1,1,0
2020-03-02 7:00,636774,707,474,443,1,514.1000366,1,99,1,1,0
2020-03-02 8:00,636774,707,474,281.3000183,1,326.3999939,1,59.70000076,1,0,0
2020-03-02 9:00,636774,707,474,,,,,,,0,0
2020-03-02 10:00,636774,707,474,,,,,,,0,0
2020-03-02 11:00,636774,707,474,,,,,,,0,0
2020-03-02 12:00,636774,707,474,,,,,,,0,0
2020-03-02 13:00,636774,707,474,,,,,,,0,0
2020-03-02 14:00,636774,707,474,,,,,,,0,0
2020-03-02 15:00,636774,707,474,,,,,,,0,0
2020-03-02 16:00,636774,707,474,,,,,,,0,0
2020-03-02 17:00,636774,707,474,,,,,,,0,0
2020-03-02 18:00,636774,707,474,,,,,,,0,0
2020-03-02 19:00,636774,707,474,,,,,,,0,0
2020-03-02 20:00,636774,707,474,,,,,,,0,0
2020-03-02 21:00,636774,707,474,,,,,,,0,0
2020-03-02 22:00,636774,707,474,,,,,,,0,0
2020-03-02 23:00,636774,707,474,160.5,1,186.3000031,1,60.79999924,1,0,0
2020-03-03 0:00,636774,707,474,241.9000092,1,277.5,1,201.1000061,1,1,0
