date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,625075,694,475,108.4000015,1,126.5999985,1,325.1000061,1,1,0
2020-03-01 1:00,625075,694,475,171.8000031,1,200.6000061,1,444.8999939,1,1,0
2020-03-01 2:00,625075,694,475,97.30000305,1,113.5999985,1,661.2000122,1,1,0
2020-03-01 3:00,625075,694,475,146.8000031,1,171.4000092,1,689.7000122,1,1,0
2020-03-01 4:00,625075,694,475,175.3000031,1,204.6000061,1,677.2999878,1,1,0
2020-03-01 5:00,625075,694,475,148.4000092,1,173.1999969,1,658.7000122,1,1,0
2020-03-01 6:00,625075,694,475,154.6000061,1,180.4000092,1,544.2999878,1,1,0
2020-03-01 7:00,625075,694,475,110.3000031,1,128.6999969,1,429.2000122,1,1,0
2020-03-01 8:00,625075,694,475,130.9000092,1,152.8000031,1,203.3000031,1,0,0
2020-03-01 9:00,625075,694,475,,,,,,,0,0
2020-03-01 10:00,625075,694,475,,,,,,,0,0
2020-03-01 11:00,625075,694,475,,,,,,,0,0
2020-03-01 12:00,625075,694,475,,,,,,,0,0
2020-03-01 13:00,625075,694,475,,,,,,,0,0
2020-03-01 14:00,625075,694,475,,,,,,,0,0
2020-03-01 15:00,625075,694,475,,,,,,,0,0
2020-03-01 16:00,625075,694,475,,,,,,,0,0
2020-03-01 17:00,625075,694,475,,,,,,,0,0
2020-03-01 18:00,625075,694,475,,,,,,,0,0
2020-03-01 19:00,625075,694,475,,,,,,,0,0
2020-03-01 20:00,625075,694,475,,,,,,,0,0
2020-03-01 21:00,625075,694,475,,,,,,,0,0
2020-03-01 22:00,625075,694,475,,,,,,,0,0
2020-03-01 23:00,625075,694,475,178.4000092,1,208.1999969,1,35.10000229,1,0,0
2020-03-02 0:00,625075,694,475,347.5,1,405.5,1,79.5,1,1,0
2020-03-02 1:00,625075,694,475,306.5,1,357.7000122,1,308.7000122,1,1,0
2020-03-02 2:00,625075,694,475,469.5,1,548,1,275.7000122,1,1,0
2020-03-02 3:00,625075,694,475,620,1,723.6000366,1,200.6999969,1,1,0
2020-03-02 4:00,625075,694,475,640,1,746.9000244,1,194.6000061,1,1,0
2020-03-02 5:00,625075,694,475,627.4000244,1,732.2000122,1,160.6999969,1,1,0
2020-03-02 6:00,625075,694,475,557.7999878,1,650.9000244,1,125.5999985,1,1,0
2020-03-02 7:00,625075,694,475,435.5,1,508.2000122,1,92,1,1,0
2020-03-02 8:00,625075,694,475,276.2000122,1,322.3000183,1,61.10000229,1,0,0
2020-03-02 9:00,625075,694,475,,,,,,,0,0
2020-03-02 10:00,625075,694,475,,,,,,,0,0
2020-03-02 11:00,625075,694,475,,,,,,,0,0
2020-03-02 12:00,625075,694,475,,,,,,,0,0
2020-03-02 13:00,625075,694,475,,,,,,,0,0
2020-03-02 14:00,625075,694,475,,,,,,,0,0
2020-03-02 15:00,625075,694,475,,,,,,,0,0
2020-03-02 16:00,625075,694,475,,,,,,,0,0
2020-03-02 17:00,625075,694,475,,,,,,,0,0
2020-03-02 18:00,625075,694,475,,,,,,,0,0
2020-03-02 19:00,625075,694,475,,,,,,,0,0
2020-03-02 20:00,625075,694,475,,,,,,,0,0
2020-03-02 21:00,625075,694,475,,,,,,,0,0
2020-03-02 22:00,625075,694,475,,,,,,,0,0
2020-03-02 23:00,625075,694,475,112.7000046,1,131.6000061,1,109.0999985,1,0,0
2020-03-03 0:00,625075,694,475,309.3999939,1,363.8999939,1,122,1,1,0
2020-03-03 1:00,625075,694,475,388.3999939,1,456.8000183,1,224.6000061,1,1,0
2020-03-03 2:00,625075,694,475,389.6000061,1,458.2000122,1,361.2000122,1,1,0
2020-03-03 3:00,625075,694,475,378.6000061,1,445.3000183,1,453,1,1,0
2020-03-03 4:00,625075,694,475,297.5,1,349.8999939,1,555.7000122,1,1,0
2020-03-03 5:00,625075,694,475,342.7000122,1,403.1000061,1,460.6000061,1,1,0
2020-03-03 6:00,625075,694,475,147.8000031,1,173.9000092,1,558.2000122,1,1,0
2020-03-03 7:00,625075,694,475,179,1,210.6000061,1,363.2000122,1,1,0
2020-03-03 8:00,625075,694,475,79.59999847,1,93.70000458,1,263.6000061,1,0,0
2020-03-03 9:00,625075,694,475,,,,,,,0,0
2020-03-03 10:00,625075,694,475,,,,,,,0,0
2020-03-03 11:00,625075,694,475,,,,,,,0,0
2020-03-03 12:00,625075,694,475,,,,,,,0,0
2020-03-03 13:00,625075,694,475,,,,,,,0,0
2020-03-03 14:00,625075,694,475,,,,,,,0,0
2020-03-03 15:00,625075,694,475,,,,,,,0,0
2020-03-03 16:00,625075,694,475,,,,,,,0,0
2020-03-03 17:00,625075,694,475,,,,,,,0,0
2020-03-03 18:00,625075,694,475,,,,,,,0,0
2020-03-03 19:00,625075,694,475,,,,,,,0,0
2020-03-03 20:00,625075,694,475,,,,,,,0,0
2020-03-03 21:00,625075,694,475,,,,,,,0,0
2020-03-03 22:00,625075,694,475,,,,,,,0,0
2020-03-03 23:00,625075,694,475,129.1999969,1,152,1,95.90000153,1,0,0
2020-03-04 0:00,625075,694,475,213.6999969,1,246.3000031,1,232.6999969,1,1,0
2020-03-04 1:00,625075,694,475,341.3000183,1,393.3000183,1,286.7000122,1,1,0
2020-03-04 2:00,625075,694,475,541.5,1,624,1,217,1,1,0
2020-03-04 3:00,625075,694,475,623.9000244,1,719,1,211.6999969,1,1,0
2020-03-04 4:00,625075,694,475,405.7000122,1,467.5,1,454.3999939,1,1,0
2020-03-04 5:00,625075,694,475,472.5,1,544.5,1,337.7000122,1,1,0
2020-03-04 6:00,625075,694,475,354.7000122,1,408.8000183,1,351.1000061,1,1,0
2020-03-04 7:00,625075,694,475,349.5,1,402.8000183,1,194.1999969,1,1,0
2020-03-04 8:00,625075,694,475,204.8000031,1,236,1,139.1999969,1,0,0
2020-03-04 9:00,625075,694,475,,,,,,,0,0
2020-03-04 10:00,625075,694,475,,,,,,,0,0
2020-03-04 11:00,625075,694,475,,,,,,,0,0
2020-03-04 12:00,625075,694,475,,,,,,,0,0
2020-03-04 13:00,625075,694,475,,,,,,,0,0
2020-03-04 14:00,625075,694,475,,,,,,,0,0
2020-03-04 15:00,625075,694,475,,,,,,,0,0
2020-03-04 16:00,625075,694,475,,,,,,,0,0
2020-03-04 17:00,625075,694,475,,,,,,,0,0
2020-03-04 18:00,625075,694,475,,,,,,,0,0
2020-03-04 19:00,625075,694,475,,,,,,,0,0
2020-03-04 20:00,625075,694,475,,,,,,,0,0
2020-03-04 21:00,625075,694,475,,,,,,,0,0
2020-03-04 22:00,625075,694,475,,,,,,,0,0
2020-03-04 23:00,625075,694,475,176.9000092,1,203.9000092,1,54.40000153,1,0,0
2020-03-05 0:00,625075,694,475,219.4000092,1,252.8000031,1,232,1,1,0
2020-03-05 1:00,625075,694,475,414,1,477.1000061,1,216.4000092,1,1,0
2020-03-05 2:00,625075,694,475,506,1,583.1000366,1,258.6000061,1,1,0
2020-03-05 3:00,625075,694,475,539.6000366,1,621.7999878,1,303.6000061,1,1,0
2020-03-05 4:00,625075,694,475,637.7999878,1,735,1,218.4000092,1,1,0
2020-03-05 5:00,625075,694,475,611.2999878,1,704.4000244,1,198.1000061,1,1,0
2020-03-05 6:00,625075,694,475,518.2000122,1,597.1000366,1,185.6999969,1,1,0
2020-03-05 7:00,625075,694,475,434.7000122,1,501,1,115.8000031,1,1,0
2020-03-05 8:00,625075,694,475,292.6000061,1,337.2000122,1,51.90000153,1,0,0
2020-03-05 9:00,625075,694,475,,,,,,,0,0
2020-03-05 10:00,625075,694,475,,,,,,,0,0
2020-03-05 11:00,625075,694,475,,,,,,,0,0
2020-03-05 12:00,625075,694,475,,,,,,,0,0
2020-03-05 13:00,625075,694,475,,,,,,,0,0
2020-03-05 14:00,625075,694,475,,,,,,,0,0
2020-03-05 15:00,625075,694,475,,,,,,,0,0
2020-03-05 16:00,625075,694,475,,,,,,,0,0
2020-03-05 17:00,625075,694,475,,,,,,,0,0
2020-03-05 18:00,625075,694,475,,,,,,,0,0
2020-03-05 19:00,625075,694,475,,,,,,,0,0
2020-03-05 20:00,625075,694,475,,,,,,,0,0
2020-03-05 21:00,625075,694,475,,,,,,,0,0
2020-03-05 22:00,625075,694,475,,,,,,,0,0
2020-03-05 23:00,625075,694,475,199.1999969,1,229.6000061,1,41.60000229,1,0,0
2020-03-06 0:00,625075,694,475,380.2000122,1,435.6000061,1,81.90000153,1,1,0
2020-03-06 1:00,625075,694,475,517.9000244,1,593.4000244,1,126.3000031,1,1,0
2020-03-06 2:00,625075,694,475,606.6000366,1,695.1000366,1,169.6000061,1,1,0
2020-03-06 3:00,625075,694,475,644.7999878,1,738.7999878,1,203.1000061,1,1,0
2020-03-06 4:00,625075,694,475,412.8000183,1,473,1,458.2000122,1,1,0
2020-03-06 5:00,625075,694,475,623.5,1,714.4000244,1,193.1999969,1,1,0
2020-03-06 6:00,625075,694,475,575.2999878,1,659.1000366,1,133.8000031,1,1,0
2020-03-06 7:00,625075,694,475,448.7000122,1,514.1000366,1,101.5,1,1,0
2020-03-06 8:00,625075,694,475,218.1999969,1,250,1,133.6999969,1,0,0
2020-03-06 9:00,625075,694,475,,,,,,,0,0
2020-03-06 10:00,625075,694,475,,,,,,,0,0
2020-03-06 11:00,625075,694,475,,,,,,,0,0
2020-03-06 12:00,625075,694,475,,,,,,,0,0
2020-03-06 13:00,625075,694,475,,,,,,,0,0
2020-03-06 14:00,625075,694,475,,,,,,,0,0
2020-03-06 15:00,625075,694,475,,,,,,,0,0
2020-03-06 16:00,625075,694,475,,,,,,,0,0
2020-03-06 17:00,625075,694,475,,,,,,,0,0
2020-03-06 18:00,625075,694,475,,,,,,,0,0
2020-03-06 19:00,625075,694,475,,,,,,,0,0
2020-03-06 20:00,625075,694,475,,,,,,,0,0
2020-03-06 21:00,625075,694,475,,,,,,,0,0
2020-03-06 22:00,625075,694,475,,,,,,,0,0
2020-03-06 23:00,625075,694,475,0,1,0,1,301.2000122,1,0,0
2020-03-07 0:00,625075,694,475,102.9000015,1,117.7000046,1,363.7000122,1,1,0
2020-03-07 1:00,625075,694,475,174.3000031,1,199.4000092,1,475.8999939,1,1,0
2020-03-07 2:00,625075,694,475,71.40000153,1,81.59999847,1,718.7999878,1,1,0
2020-03-07 3:00,625075,694,475,0,1,0,1,1058,1,1,0
2020-03-07 4:00,625075,694,475,0,1,0,1,1077.400024,1,1,0
2020-03-07 5:00,625075,694,475,0,1,0,1,1018.799988,1,1,0
2020-03-07 6:00,625075,694,475,0,1,0,1,886.1000366,1,1,0
2020-03-07 7:00,625075,694,475,124.5,1,142.4000092,1,439.1000061,1,1,0
2020-03-07 8:00,625075,694,475,130.3000031,1,149.1000061,1,227.6999969,1,0,0
2020-03-07 9:00,625075,694,475,,,,,,,0,0
2020-03-07 10:00,625075,694,475,,,,,,,0,0
2020-03-07 11:00,625075,694,475,,,,,,,0,0
2020-03-07 12:00,625075,694,475,,,,,,,0,0
2020-03-07 13:00,625075,694,475,,,,,,,0,0
2020-03-07 14:00,625075,694,475,,,,,,,0,0
2020-03-07 15:00,625075,694,475,,,,,,,0,0
2020-03-07 16:00,625075,694,475,,,,,,,0,0
2020-03-07 17:00,625075,694,475,,,,,,,0,0
2020-03-07 18:00,625075,694,475,,,,,,,0,0
2020-03-07 19:00,625075,694,475,,,,,,,0,0
2020-03-07 20:00,625075,694,475,,,,,,,0,0
2020-03-07 21:00,625075,694,475,,,,,,,0,0
2020-03-07 22:00,625075,694,475,,,,,,,0,0
2020-03-07 23:00,625075,694,475,209.5,1,239.6000061,1,43.29999924,1,0,0
2020-03-08 0:00,625075,694,475,398.6000061,1,453.3000183,1,77.90000153,1,1,0
2020-03-08 1:00,625075,694,475,542.2000122,1,616.6000366,1,118.3000031,1,1,0
2020-03-08 2:00,625075,694,475,633,1,719.9000244,1,160.1999969,1,1,0
2020-03-08 3:00,625075,694,475,671.2999878,1,763.4000244,1,190,1,1,0
2020-03-08 4:00,625075,694,475,661.6000366,1,752.4000244,1,216.6999969,1,1,0
2020-03-08 5:00,625075,694,475,661.7000122,1,752.6000366,1,175.9000092,1,1,0
2020-03-08 6:00,625075,694,475,588.1000366,1,668.7999878,1,143.1000061,1,1,0
2020-03-08 7:00,625075,694,475,461.3999939,1,524.7000122,1,108.0999985,1,1,0
2020-03-08 8:00,625075,694,475,304.2000122,1,346,1,61.90000153,1,0,0
2020-03-08 9:00,625075,694,475,,,,,,,0,0
2020-03-08 10:00,625075,694,475,,,,,,,0,0
2020-03-08 11:00,625075,694,475,,,,,,,0,0
2020-03-08 12:00,625075,694,475,,,,,,,0,0
2020-03-08 13:00,625075,694,475,,,,,,,0,0
2020-03-08 14:00,625075,694,475,,,,,,,0,0
2020-03-08 15:00,625075,694,475,,,,,,,0,0
2020-03-08 16:00,625075,694,475,,,,,,,0,0
2020-03-08 17:00,625075,694,475,,,,,,,0,0
2020-03-08 18:00,625075,694,475,,,,,,,0,0
2020-03-08 19:00,625075,694,475,,,,,,,0,0
2020-03-08 20:00,625075,694,475,,,,,,,0,0
2020-03-08 21:00,625075,694,475,,,,,,,0,0
2020-03-08 22:00,625075,694,475,,,,,,,0,0
2020-03-08 23:00,625075,694,475,73.90000153,1,84.09999847,1,183.1000061,1,0,0
2020-03-09 0:00,625075,694,475,205.5,1,234.3000031,1,269.2000122,1,1,0
2020-03-09 1:00,625075,694,475,82,1,93.5,1,581,1,1,0
2020-03-09 2:00,625075,694,475,109.7000046,1,125.0999985,1,689.2999878,1,1,0
2020-03-09 3:00,625075,694,475,174.4000092,1,198.9000092,1,701.7999878,1,1,0
2020-03-09 4:00,625075,694,475,128.6999969,1,146.8000031,1,764.1000366,1,1,0
2020-03-09 5:00,625075,694,475,122.4000015,1,139.6000061,1,721.7000122,1,1,0
2020-03-09 6:00,625075,694,475,152.1000061,1,173.4000092,1,581.5,1,1,0
2020-03-09 7:00,625075,694,475,0,1,0,1,697,1,1,0
2020-03-09 8:00,625075,694,475,120,1,136.8000031,1,245.6000061,1,0,0
2020-03-09 9:00,625075,694,475,,,,,,,0,0
2020-03-09 10:00,625075,694,475,,,,,,,0,0
2020-03-09 11:00,625075,694,475,,,,,,,0,0
2020-03-09 12:00,625075,694,475,,,,,,,0,0
2020-03-09 13:00,625075,694,475,,,,,,,0,0
2020-03-09 14:00,625075,694,475,,,,,,,0,0
2020-03-09 15:00,625075,694,475,,,,,,,0,0
2020-03-09 16:00,625075,694,475,,,,,,,0,0
2020-03-09 17:00,625075,694,475,,,,,,,0,0
2020-03-09 18:00,625075,694,475,,,,,,,0,0
2020-03-09 19:00,625075,694,475,,,,,,,0,0
2020-03-09 20:00,625075,694,475,,,,,,,0,0
2020-03-09 21:00,625075,694,475,,,,,,,0,0
2020-03-09 22:00,625075,694,475,,,,,,,0,0
2020-03-09 23:00,625075,694,475,0,1,0,1,320.3999939,1,0,0
2020-03-10 0:00,625075,694,475,0,1,0,1,588.7000122,1,1,0
2020-03-10 1:00,625075,694,475,84,1,95.80000305,1,583.9000244,1,1,0
2020-03-10 2:00,625075,694,475,0,1,0,1,979,1,1,0
2020-03-10 3:00,625075,694,475,0,1,0,1,1074.300049,1,1,0
2020-03-10 4:00,625075,694,475,0,1,0,1,1092.800049,1,1,0
2020-03-10 5:00,625075,694,475,74,1,84.30000305,1,775.2999878,1,1,0
