date,,dim_y,dim_x,ASR,ASR_DQF1,DSR,DSR_DQF1,RSR,RSR_DQF1,SW_DQF,gk2a_imager_projection
2020-03-01 0:00,625078,694,478,94.90000153,1,110.2000046,1,340.7000122,1,1,0
2020-03-01 1:00,625078,694,478,139.1999969,1,161.6999969,1,480.6000061,1,1,0
2020-03-01 2:00,625078,694,478,103.0999985,1,119.7000046,1,656.1000366,1,1,0
2020-03-01 3:00,625078,694,478,110.4000015,1,128.1999969,1,728.7999878,1,1,0
2020-03-01 4:00,625078,694,478,195.6999969,1,227.1999969,1,656.9000244,1,1,0
2020-03-01 5:00,625078,694,478,141.6000061,1,164.4000092,1,666.2999878,1,1,0
2020-03-01 6:00,625078,694,478,133.6000061,1,155.1000061,1,566.5,1,1,0
2020-03-01 7:00,625078,694,478,116.8000031,1,135.6999969,1,422.2000122,1,1,0
2020-03-01 8:00,625078,694,478,142.4000092,1,165.4000092,1,191,1,0,0
2020-03-01 9:00,625078,694,478,,,,,,,0,0
2020-03-01 10:00,625078,694,478,,,,,,,0,0
2020-03-01 11:00,625078,694,478,,,,,,,0,0
2020-03-01 12:00,625078,694,478,,,,,,,0,0
2020-03-01 13:00,625078,694,478,,,,,,,0,0
2020-03-01 14:00,625078,694,478,,,,,,,0,0
2020-03-01 15:00,625078,694,478,,,,,,,0,0
2020-03-01 16:00,625078,694,478,,,,,,,0,0
2020-03-01 17:00,625078,694,478,,,,,,,0,0
2020-03-01 18:00,625078,694,478,,,,,,,0,0
2020-03-01 19:00,625078,694,478,,,,,,,0,0
2020-03-01 20:00,625078,694,478,,,,,,,0,0
2020-03-01 21:00,625078,694,478,,,,,,,0,0
2020-03-01 22:00,625078,694,478,,,,,,,0,0
2020-03-01 23:00,625078,694,478,119.8000031,1,139.1999969,1,98.20000458,1,0,0
2020-03-02 0:00,625078,694,478,339.3000183,1,394.1000061,1,94.80000305,1,1,0
2020-03-02 1:00,625078,694,478,474.3000183,1,550.7999878,1,140.1999969,1,1,0
2020-03-02 2:00,625078,694,478,542.2999878,1,629.7999878,1,202.6999969,1,1,0
2020-03-02 3:00,625078,694,478,619.4000244,1,719.2999878,1,203.9000092,1,1,0
2020-03-02 4:00,625078,694,478,631.9000244,1,733.9000244,1,207.8000031,1,1,0
2020-03-02 5:00,625078,694,478,622,1,722.2999878,1,176.3000031,1,1,0
2020-03-02 6:00,625078,694,478,557.1000366,1,647,1,138.6000061,1,1,0
2020-03-02 7:00,625078,694,478,433.3999939,1,503.3000183,1,104.0999985,1,1,0
2020-03-02 8:00,625078,694,478,273.7000122,1,317.8999939,1,63.40000153,1,0,0
2020-03-02 9:00,625078,694,478,,,,,,,0,0
2020-03-02 10:00,625078,694,478,,,,,,,0,0
2020-03-02 11:00,625078,694,478,,,,,,,0,0
2020-03-02 12:00,625078,694,478,,,,,,,0,0
2020-03-02 13:00,625078,694,478,,,,,,,0,0
2020-03-02 14:00,625078,694,478,,,,,,,0,0
2020-03-02 15:00,625078,694,478,,,,,,,0,0
2020-03-02 16:00,625078,694,478,,,,,,,0,0
2020-03-02 17:00,625078,694,478,,,,,,,0,0
2020-03-02 18:00,625078,694,478,,,,,,,0,0
2020-03-02 19:00,625078,694,478,,,,,,,0,0
2020-03-02 20:00,625078,694,478,,,,,,,0,0
2020-03-02 21:00,625078,694,478,,,,,,,0,0
2020-03-02 22:00,625078,694,478,,,,,,,0,0
2020-03-02 23:00,625078,694,478,119.8000031,1,139.1000061,1,103.4000015,1,0,0
2020-03-03 0:00,625078,694,478,345.7000122,1,404.3999939,1,91.80000305,1,1,0
2020-03-03 1:00,625078,694,478,405.8000183,1,474.8000183,1,209.1999969,1,1,0
2020-03-03 2:00,625078,694,478,260.1000061,1,304.3000183,1,500,1,1,0
2020-03-03 3:00,625078,694,478,357,1,417.7000122,1,478,1,1,0
2020-03-03 4:00,625078,694,478,252.3000031,1,295.2000122,1,604.7999878,1,1,0
2020-03-03 5:00,625078,694,478,296.6000061,1,347,1,510.7000122,1,1,0
2020-03-03 6:00,625078,694,478,145.1999969,1,169.9000092,1,561.2000122,1,1,0
2020-03-03 7:00,625078,694,478,177.3000031,1,207.4000092,1,365.3000183,1,1,0
2020-03-03 8:00,625078,694,478,79.5,1,93.09999847,1,263.2000122,1,0,0
2020-03-03 9:00,625078,694,478,,,,,,,0,0
2020-03-03 10:00,625078,694,478,,,,,,,0,0
2020-03-03 11:00,625078,694,478,,,,,,,0,0
2020-03-03 12:00,625078,694,478,,,,,,,0,0
2020-03-03 13:00,625078,694,478,,,,,,,0,0
2020-03-03 14:00,625078,694,478,,,,,,,0,0
2020-03-03 15:00,625078,694,478,,,,,,,0,0
2020-03-03 16:00,625078,694,478,,,,,,,0,0
2020-03-03 17:00,625078,694,478,,,,,,,0,0
2020-03-03 18:00,625078,694,478,,,,,,,0,0
2020-03-03 19:00,625078,694,478,,,,,,,0,0
2020-03-03 20:00,625078,694,478,,,,,,,0,0
2020-03-03 21:00,625078,694,478,,,,,,,0,0
2020-03-03 22:00,625078,694,478,,,,,,,0,0
2020-03-03 23:00,625078,694,478,134.6000061,1,157.5,1,92,1,0,0
2020-03-04 0:00,625078,694,478,236.3000031,1,276.1000061,1,206.8000031,1,1,0
2020-03-04 1:00,625078,694,478,397.7000122,1,464.8000183,1,223.1999969,1,1,0
2020-03-04 2:00,625078,694,478,520.2000122,1,608,1,231.9000092,1,1,0
2020-03-04 3:00,625078,694,478,622.7000122,1,727.7999878,1,204,1,1,0
2020-03-04 4:00,625078,694,478,621.4000244,1,726.2999878,1,221.8000031,1,1,0
2020-03-04 5:00,625078,694,478,521.5,1,609.5,1,278.8999939,1,1,0
2020-03-04 6:00,625078,694,478,370.7000122,1,433.2000122,1,328.5,1,1,0
2020-03-04 7:00,625078,694,478,345.6000061,1,403.8999939,1,192.3000031,1,1,0
2020-03-04 8:00,625078,694,478,238,1,278.2000122,1,100.4000015,1,0,0
2020-03-04 9:00,625078,694,478,,,,,,,0,0
2020-03-04 10:00,625078,694,478,,,,,,,0,0
2020-03-04 11:00,625078,694,478,,,,,,,0,0
2020-03-04 12:00,625078,694,478,,,,,,,0,0
2020-03-04 13:00,625078,694,478,,,,,,,0,0
2020-03-04 14:00,625078,694,478,,,,,,,0,0
2020-03-04 15:00,625078,694,478,,,,,,,0,0
2020-03-04 16:00,625078,694,478,,,,,,,0,0
2020-03-04 17:00,625078,694,478,,,,,,,0,0
2020-03-04 18:00,625078,694,478,,,,,,,0,0
2020-03-04 19:00,625078,694,478,,,,,,,0,0
2020-03-04 20:00,625078,694,478,,,,,,,0,0
2020-03-04 21:00,625078,694,478,,,,,,,0,0
2020-03-04 22:00,625078,694,478,,,,,,,0,0
2020-03-04 23:00,625078,694,478,144.5,1,169,1,86.90000153,1,0,0
2020-03-05 0:00,625078,694,478,348.3000183,1,407.1000061,1,94.30000305,1,1,0
2020-03-05 1:00,625078,694,478,448.2000122,1,523.7999878,1,175.1000061,1,1,0
2020-03-05 2:00,625078,694,478,570,1,666.2000122,1,184.4000092,1,1,0
2020-03-05 3:00,625078,694,478,593.1000366,1,693.2000122,1,239.6999969,1,1,0
2020-03-05 4:00,625078,694,478,611.6000366,1,714.9000244,1,236.5,1,1,0
2020-03-05 5:00,625078,694,478,589.9000244,1,689.4000244,1,211.3000031,1,1,0
2020-03-05 6:00,625078,694,478,516.7000122,1,603.9000244,1,179,1,1,0
2020-03-05 7:00,625078,694,478,421,1,492.1000061,1,116.8000031,1,1,0
2020-03-05 8:00,625078,694,478,291.1000061,1,340.3000183,1,56.5,1,0,0
2020-03-05 9:00,625078,694,478,,,,,,,0,0
2020-03-05 10:00,625078,694,478,,,,,,,0,0
2020-03-05 11:00,625078,694,478,,,,,,,0,0
2020-03-05 12:00,625078,694,478,,,,,,,0,0
2020-03-05 13:00,625078,694,478,,,,,,,0,0
2020-03-05 14:00,625078,694,478,,,,,,,0,0
2020-03-05 15:00,625078,694,478,,,,,,,0,0
2020-03-05 16:00,625078,694,478,,,,,,,0,0
2020-03-05 17:00,625078,694,478,,,,,,,0,0
2020-03-05 18:00,625078,694,478,,,,,,,0,0
2020-03-05 19:00,625078,694,478,,,,,,,0,0
2020-03-05 20:00,625078,694,478,,,,,,,0,0
2020-03-05 21:00,625078,694,478,,,,,,,0,0
2020-03-05 22:00,625078,694,478,,,,,,,0,0
2020-03-05 23:00,625078,694,478,205.3000031,1,240,1,35.10000229,1,0,0
2020-03-06 0:00,625078,694,478,370.8999939,1,430.3000183,1,86.40000153,1,1,0
2020-03-06 1:00,625078,694,478,500.6000061,1,580.7000122,1,135.8000031,1,1,0
2020-03-06 2:00,625078,694,478,586.1000366,1,679.9000244,1,176.9000092,1,1,0
2020-03-06 3:00,625078,694,478,618.2999878,1,717.2999878,1,222.6000061,1,1,0
2020-03-06 4:00,625078,694,478,445.1000061,1,516.4000244,1,419.1000061,1,1,0
2020-03-06 5:00,625078,694,478,613.9000244,1,712.2000122,1,194.9000092,1,1,0
2020-03-06 6:00,625078,694,478,561.2000122,1,651.1000366,1,148.8000031,1,1,0
2020-03-06 7:00,625078,694,478,436.2000122,1,506.1000061,1,107.9000015,1,1,0
2020-03-06 8:00,625078,694,478,250.5,1,290.6000061,1,96.20000458,1,0,0
2020-03-06 9:00,625078,694,478,,,,,,,0,0
2020-03-06 10:00,625078,694,478,,,,,,,0,0
2020-03-06 11:00,625078,694,478,,,,,,,0,0
2020-03-06 12:00,625078,694,478,,,,,,,0,0
2020-03-06 13:00,625078,694,478,,,,,,,0,0
2020-03-06 14:00,625078,694,478,,,,,,,0,0
