지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C)
108,서울,2018-03-29,15.4,11.8,21.1
108,서울,2018-03-30,14.8,9.8,21.9
108,서울,2018-03-31,14,9.3,20.1
108,서울,2018-04-01,15.6,11.7,18.5
108,서울,2018-04-02,18.4,14.9,23.7
108,서울,2018-04-03,17.8,14.9,21.2
108,서울,2018-04-04,13.4,9.5,18.2
108,서울,2018-04-05,7.6,6.7,9.5
108,서울,2018-04-06,5.8,3,8.6
108,서울,2018-04-07,4.2,1.4,8.6
108,서울,2018-04-08,3.9,.6,7.9
108,서울,2018-04-09,7.9,.1,15.4
108,서울,2018-04-10,15.1,6.9,21.9
108,서울,2018-04-11,12.6,8.7,17.3
108,서울,2018-04-12,13.3,6.8,19.6
108,서울,2018-04-13,14.6,8.3,19.3
108,서울,2018-04-14,9,7.5,14.8
108,서울,2018-04-15,9.5,5.6,14.2
108,서울,2018-04-16,11.6,4.9,18.8
108,서울,2018-04-17,12.9,6.8,20.1
108,서울,2018-04-18,12.4,6.2,19.3
108,서울,2018-04-19,14,7.4,20.5
108,서울,2018-04-20,18.4,11,26.3
108,서울,2018-04-21,18.7,12.3,25.6
108,서울,2018-04-22,15.5,10.7,21
108,서울,2018-04-23,9.3,8.4,10.7
108,서울,2018-04-24,12.1,8.9,16.1
108,서울,2018-04-25,14.6,5.7,23.3
108,서울,2018-04-26,14.9,10,22.1
108,서울,2018-04-27,15.7,9.7,23.3
108,서울,2018-04-28,15.4,10.5,21.7
108,서울,2018-04-29,16.2,9.4,22.9
108,서울,2018-04-30,19.2,14.1,25
108,서울,2018-05-01,20.4,17.8,23.3
108,서울,2018-05-02,15.1,8.7,19.7
108,서울,2018-05-03,11.2,6.9,14.7
108,서울,2018-05-04,14.1,8.8,20
108,서울,2018-05-05,18.3,11.6,24.6
108,서울,2018-05-06,16.6,15,20.7
108,서울,2018-05-07,19.2,14,25.5
108,서울,2018-05-08,17.5,11.6,22.9
108,서울,2018-05-09,15.7,9.2,21.8
108,서울,2018-05-10,15.4,11.3,21.4
108,서울,2018-05-11,16.1,11.9,21.3
108,서울,2018-05-12,14.2,11.8,16.1
108,서울,2018-05-13,15.8,12.7,20
108,서울,2018-05-14,18.2,11.9,24.5
108,서울,2018-05-15,23.2,15.4,29.3
108,서울,2018-05-16,22.3,21.8,24.4
108,서울,2018-05-17,20.9,18.8,23.5
108,서울,2018-05-18,16.3,12.2,19.3
108,서울,2018-05-19,17.6,10.3,24.7
108,서울,2018-05-20,17,11.5,22.6
108,서울,2018-05-21,17.8,11.3,23.7
108,서울,2018-05-22,18.1,15.4,23.2
108,서울,2018-05-23,17.3,13.6,23.3
108,서울,2018-05-24,18.3,11.2,23.7
108,서울,2018-05-25,19.7,13.8,26.2
108,서울,2018-05-26,21.8,14,29.6
108,서울,2018-05-27,20.3,17.3,24.7
108,서울,2018-05-28,22.3,16.2,29.1
108,서울,2018-05-29,21.4,19.1,25.9
108,서울,2018-05-30,20.2,15.8,24.7
108,서울,2018-05-31,20.9,14.2,27.6
108,서울,2018-06-01,23.8,17.5,30.2
108,서울,2018-06-02,23.4,17.6,30.1
108,서울,2018-06-03,24,16.9,30.8
108,서울,2018-06-04,22.6,18.9,27.5
108,서울,2018-06-05,23.7,17.7,29.2
108,서울,2018-06-06,23,18.4,27.9
108,서울,2018-06-07,22.2,17.8,29.4
108,서울,2018-06-08,21.9,18.5,27
108,서울,2018-06-09,23.7,18.9,30.1
108,서울,2018-06-10,21.3,18.3,24.9
108,서울,2018-06-11,20.2,18,23.9
108,서울,2018-06-12,21.3,16.6,27.1
108,서울,2018-06-13,22,18.3,27
108,서울,2018-06-14,21.6,18.8,25.1
108,서울,2018-06-15,21.7,17.2,27
108,서울,2018-06-16,22.5,16.3,28.7
108,서울,2018-06-17,22.8,18.9,27.5
108,서울,2018-06-18,24.8,19.9,30.8
108,서울,2018-06-19,22.4,19.1,27.2
108,서울,2018-06-20,22.7,19.1,28.4
108,서울,2018-06-21,23.7,19.4,28.7
108,서울,2018-06-22,25,18.2,32
108,서울,2018-06-23,24.5,20.9,28.9
108,서울,2018-06-24,25.2,20.1,32.1
108,서울,2018-06-25,27.1,21.3,32.9
108,서울,2018-06-26,22.3,20.2,26.9
108,서울,2018-06-27,22.3,19.1,25.5
108,서울,2018-06-28,23.3,20.6,27.3
108,서울,2018-06-29,24.7,21.9,29.1
108,서울,2018-06-30,24.4,21.6,27.9
108,서울,2018-07-01,21.9,21,22.8
108,서울,2018-07-02,22.6,20.6,25.3
108,서울,2018-07-03,27.4,22.5,32.6
108,서울,2018-07-04,27.3,24,31.8
108,서울,2018-07-05,25.3,23.4,29
108,서울,2018-07-06,23.9,21.5,27.1
108,서울,2018-07-07,23.7,19.5,29.2
108,서울,2018-07-08,23.3,17.7,28.1
108,서울,2018-07-09,20.8,20.1,24.2
108,서울,2018-07-10,23.7,20.4,26.5
108,서울,2018-07-11,26.8,24.4,29.5
108,서울,2018-07-12,26.6,25.1,28.2
108,서울,2018-07-13,27.3,24.7,30.9
108,서울,2018-07-14,27.9,24.6,31.9
108,서울,2018-07-15,28.3,24.5,33.2
108,서울,2018-07-16,28.7,24,34
108,서울,2018-07-17,28.1,23.9,32.1
108,서울,2018-07-18,28.2,23.7,33.2
108,서울,2018-07-19,28.7,23.2,34.1
108,서울,2018-07-20,29.5,24.6,34.7
108,서울,2018-07-21,30.6,24.9,36.9
108,서울,2018-07-22,31.8,25.3,38
108,서울,2018-07-23,31.7,29.2,35.7
108,서울,2018-07-24,31.4,27.2,36.8
108,서울,2018-07-25,30.1,27.7,34.1
108,서울,2018-07-26,30.1,27.3,33.7
108,서울,2018-07-27,30.9,27.2,35.4
108,서울,2018-07-28,29.5,28,35.2
108,서울,2018-07-29,31.3,26.4,36.7
108,서울,2018-07-30,31.7,26.2,36.9
108,서울,2018-07-31,32.6,27.8,38.3
108,서울,2018-08-01,33.6,27.8,39.6
108,서울,2018-08-02,33.7,30.3,37.9
108,서울,2018-08-03,33.1,30,37.9
108,서울,2018-08-04,31.1,28,34.9
108,서울,2018-08-05,30,27.2,33.9
108,서울,2018-08-06,30.5,28.3,35.3
108,서울,2018-08-07,30.5,26.8,35.9
108,서울,2018-08-08,31,27.6,35.3
108,서울,2018-08-09,28.8,27.1,32.5
108,서울,2018-08-10,30.7,25.7,36.8
108,서울,2018-08-11,31,26.4,36
108,서울,2018-08-12,30.6,27.2,35.3
108,서울,2018-08-13,30.5,26.7,34.4
108,서울,2018-08-14,31.7,27.7,37.2
108,서울,2018-08-15,31.7,28.3,38
108,서울,2018-08-16,29.9,24.1,35.6
108,서울,2018-08-17,27.2,21.7,33.8
108,서울,2018-08-18,26.7,21.5,32.1
108,서울,2018-08-19,28.2,23,34.4
108,서울,2018-08-20,29.1,25.1,33.3
108,서울,2018-08-21,26.6,23.4,31
108,서울,2018-08-22,30.7,23.4,37.6
108,서울,2018-08-23,29.4,25.7,32.2
108,서울,2018-08-24,24.4,23.2,26.3
108,서울,2018-08-25,25.2,22.7,29.3
108,서울,2018-08-26,23.2,20.3,29
108,서울,2018-08-27,22.7,20.2,24.9
108,서울,2018-08-28,23.7,22.5,26.1
108,서울,2018-08-29,25.2,22.7,27.4
108,서울,2018-08-30,25.3,23.9,28.2
108,서울,2018-08-31,25.6,22.8,30.3
108,서울,2018-09-01,25.5,20.8,30.9
108,서울,2018-09-02,25.1,20.1,29.6
108,서울,2018-09-03,23.3,21.4,25.8
108,서울,2018-09-04,23.2,20,27.8
108,서울,2018-09-05,24,19.6,28.5
108,서울,2018-09-06,24.1,20.9,28.2
108,서울,2018-09-07,22,19.1,25.5
108,서울,2018-09-08,21.7,15.9,27.7
108,서울,2018-09-09,22.2,15.6,28.9
108,서울,2018-09-10,22.9,18.6,28.4
108,서울,2018-09-11,21.6,16.8,26.1
108,서울,2018-09-12,22.8,16.8,28.2
108,서울,2018-09-13,23.5,20.3,28.3
108,서울,2018-09-14,23.5,20.3,26.8
108,서울,2018-09-15,23.3,21,26
108,서울,2018-09-16,22.2,21,23.9
108,서울,2018-09-17,22.3,18.5,27.7
108,서울,2018-09-18,22,17.7,26.5
108,서울,2018-09-19,22.1,18.9,26.6
108,서울,2018-09-20,19,17.8,20.1
108,서울,2018-09-21,19.4,17.6,21.9
108,서울,2018-09-22,20.8,17.2,25.5
108,서울,2018-09-23,19.4,15.6,25.3
108,서울,2018-09-24,17.6,14.2,22.1
108,서울,2018-09-25,17.8,10.8,24.3
108,서울,2018-09-26,19.4,16.2,24.8
108,서울,2018-09-27,18.9,13.2,25
108,서울,2018-09-28,17.5,14.3,22.2
108,서울,2018-09-29,20.2,14.6,27
108,서울,2018-09-30,17.6,14,21.6
108,서울,2018-10-01,15.4,13,19.7
108,서울,2018-10-02,15.9,10.3,22
108,서울,2018-10-03,17.3,11.2,24.2
108,서울,2018-10-04,19.3,13,25.6
108,서울,2018-10-05,16.9,15.7,19
108,서울,2018-10-06,18,16.3,21.7
108,서울,2018-10-07,16.4,12.3,21.1
108,서울,2018-10-08,14.8,9.2,20.9
108,서울,2018-10-09,15.3,10.7,19.8
108,서울,2018-10-10,12,7.9,16.7
108,서울,2018-10-11,9.7,6.1,13.9
108,서울,2018-10-12,10.9,5.2,17.4
108,서울,2018-10-13,12.5,6.1,19.8
108,서울,2018-10-14,13.2,6.8,20.3
108,서울,2018-10-15,15.2,10.9,21
108,서울,2018-10-16,14.5,9.9,20.3
108,서울,2018-10-17,12.4,8.4,18.6
108,서울,2018-10-18,12.7,7.5,19
108,서울,2018-10-19,13.1,7.2,20.4
108,서울,2018-10-20,13.4,6.9,21.4
108,서울,2018-10-21,13.4,7.2,21.1
108,서울,2018-10-22,14,8.8,20.6
108,서울,2018-10-23,12.2,9.8,16.9
108,서울,2018-10-24,12.5,7.6,18.7
108,서울,2018-10-25,13.8,7,21.2
108,서울,2018-10-26,12.2,9.9,14.7
108,서울,2018-10-27,8.7,6.2,11.6
108,서울,2018-10-28,8.3,5.2,13.5
108,서울,2018-10-29,7.2,3.4,11.7
108,서울,2018-10-30,6.1,.7,11.6
108,서울,2018-10-31,7.4,3,12.6
108,서울,2018-11-01,8.4,2.5,15.2
108,서울,2018-11-02,10.6,4,19
108,서울,2018-11-03,11.2,5,19.1
108,서울,2018-11-04,11.6,5.3,19.4
108,서울,2018-11-05,11.9,6.6,18.3
108,서울,2018-11-06,12.2,8,17.5
108,서울,2018-11-07,12.8,10.3,15.7
